CS; p; issig
CyclomaticComplexity ; 0.000140792721957886 ; *
NPathComplexity ; 0.000179768884105747 ; *
ExcessiveMethodLength ; 0.000158913572040062 ; *
ExcessiveClassLength ; 0.000300116688425283 ; *
ExcessiveParameterList ; 0.0971940498512915 ; 
ExcessivePublicCount ; 0.112012638953103 ; 
TooManyFields ; 0.00999811814959315 ; *
TooManyMethods ; 0.105438607963422 ; 
TooManyPublicMethods ; 0.00114288511023465 ; *
ExcessiveClassComplexity ; 0.000333039025316772 ; *
NumberOfChildren ; 0.265077441751019 ; 
DepthOfInheritance ; all 0 ; 0
CouplingBetweenObjects ; 0.290438102991183 ; 
DevelopmentCodeFragment ; 0.212812616968409 ; 
UnusedPrivateField ; all 0 ; 0
UnusedLocalVariable ; 0.00795725397468586 ; *
UnusedPrivateMethod ; 0.63786986509471 ; 
UnusedFormalParameter ; 0.000970028123247595 ; *
embed.JS ; 0.00786470565354685 ; *
inline.JS ; 0.0105999698219421 ; *
embed.CSS ; 0.238184377897468 ; 
inline.CSS ; 0.00100556697381522 ; *
css.in.JS ; 0.000207664190081251 ; *
css.in.JS..jquery ; 0.150777436675146 ; 
max.lines ; 0.00110595074103305 ; *
max.lines.per.function ; 0.00431088658327752 ; *
max.params ; 0.103162442139503 ; 
complexity ; 0.11397106167644 ; 
max.depth ; 0.136563863187839 ; 
max.nested.callbacks ; 0.156670971340523 ; 
