Id;Version;Date;Age;VersionAge; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks;PHP;HTML;JavaScript;CSS;HTML_template;HTML_diff;Client;SUM
1;2.0.1;2006-02-24;0;0;129;77;64;9;4;9;16;8;25;26;1;0;0;0;0;460;0;166;7;10;2;27;28;0;1;3;2;2;0;0;116833;3574;322;2384;0;2733;6280;133155
2;2.2.0;2007-12-26;670;670;297;203;104;19;9;19;40;12;38;55;2;0;2;3;0;578;0;211;30;154;5;44;32;0;6;21;5;12;2;0;140596;7477;1992;2561;931;6508;12030;160866
3;2.4.0;2008-08-22;910;240;327;231;124;18;11;19;41;9;39;58;2;0;0;3;0;650;0;230;29;153;5;53;84;0;6;24;5;15;2;0;144117;6832;2015;3193;931;5863;12040;168440
4;2.4.1;2008-10-31;980;70;328;231;124;18;11;19;41;9;39;58;2;0;0;3;0;650;0;230;29;153;5;53;84;0;6;24;5;15;2;0;144194;6832;2015;3193;931;5863;12040;168516
5;2.5.0;2008-12-29;1039;59;333;229;124;18;14;20;40;10;40;61;2;0;0;3;0;653;0;226;51;201;13;96;103;0;7;54;11;45;14;0;147644;10402;6979;6269;931;6491;23650;180472
6;2.6.0;2009-04-25;1156;117;341;247;128;20;14;20;41;10;41;60;2;0;0;4;0;682;0;245;52;201;14;97;103;0;7;54;11;45;14;0;152298;10435;6997;5455;931;6524;22887;180424
7;2.6.1;2009-06-14;1206;50;341;247;128;20;14;20;41;10;41;60;2;0;0;4;0;684;0;245;52;201;14;97;103;0;7;54;11;45;14;0;152304;10456;6997;5455;931;6524;22908;180451
8;2.7.0;2009-12-04;1379;173;362;259;143;23;17;23;43;10;45;60;2;0;0;4;0;674;0;260;63;198;15;120;118;0;7;54;12;45;14;0;160588;11939;7833;4312;1046;7883;24084;189914
9;2.7.1;2009-12-30;1405;26;362;260;143;23;17;23;43;10;45;60;2;0;0;4;0;674;0;259;63;198;15;120;118;0;7;54;12;45;14;0;160609;11939;8070;4312;1046;7883;24321;190172
10;2.8.0;2010-03-16;1481;76;374;268;147;22;18;23;46;11;45;62;2;0;1;4;0;735;0;260;70;199;18;134;122;0;7;55;12;46;14;0;166055;13446;8171;4312;1619;8817;25929;200409
11;2.8.1;2010-05-02;1528;47;377;271;150;22;18;23;46;11;45;62;2;0;1;4;0;738;0;260;70;199;18;134;122;0;7;55;12;46;14;0;167099;14308;8171;4312;1609;9689;26791;206492
12;2.9.0;2010-09-29;1678;150;352;246;152;23;26;21;44;14;37;56;1;0;2;2;0;725;0;241;67;89;15;131;122;0;7;55;12;42;14;0;166492;14364;8160;4318;196;11304;26842;206879
13;3.0.0;2011-04-11;1872;194;355;251;146;19;24;21;39;12;32;50;1;0;1;2;0;735;0;245;88;75;17;132;122;0;8;53;12;41;12;0;164079;12345;7670;4988;0;9479;25003;206179
14;3.0.1;2011-07-10;1962;90;355;251;146;19;24;21;39;12;32;50;1;0;1;2;0;735;0;245;88;75;17;132;122;0;8;53;12;41;12;0;164081;12345;7670;4988;0;9479;25003;206181
15;3.1.0;2012-01-01;2137;175;402;278;160;20;29;23;42;11;32;57;1;0;1;2;1;809;0;255;117;72;15;142;125;0;9;59;12;40;12;0;175092;14063;8905;4994;0;11136;27962;224512
16;3.1.1;2012-03-01;2197;60;403;280;160;20;29;23;42;11;32;57;1;0;1;2;1;808;0;255;117;72;15;142;125;0;9;59;12;40;12;0;175232;14063;8917;4994;0;11136;27974;224653
17;3.2.0;2012-07-11;2329;132;565;401;263;27;31;24;48;11;38;81;3;0;1;1;1;1038;2;375;120;50;12;125;15;0;7;52;8;10;7;1;211359;11755;5575;2910;0;11444;20240;259186
18;3.2.1;2012-08-29;2378;49;567;406;265;27;31;24;48;11;38;81;3;0;1;1;0;1047;2;378;121;50;12;124;15;0;7;52;8;10;7;1;211608;11861;5639;2910;0;11550;20410;259544
19;3.2.2;2012-09-12;2392;14;567;406;265;27;31;24;48;11;38;81;3;0;1;1;0;1047;2;379;121;50;12;124;15;0;7;52;8;10;7;1;211671;11772;5566;2910;0;11461;20248;259528
20;3.2.3;2012-12-05;2476;84;574;412;265;28;32;24;48;11;38;84;3;0;1;1;0;1053;2;401;121;50;12;124;15;0;7;52;8;10;7;1;212381;11772;5566;2910;0;11461;20248;260050
21;3.3.0;2013-02-20;2553;77;623;445;284;34;37;27;50;11;40;87;3;0;1;1;0;1160;2;427;142;60;8;181;15;0;3;64;13;10;7;1;228283;14291;5991;2268;0;13983;22550;279601
22;3.3.1;2013-03-18;2579;26;623;446;283;34;37;27;50;11;40;88;3;0;1;1;0;1160;2;425;142;60;8;181;15;0;3;64;13;10;7;1;228243;14289;5991;2268;0;13981;22548;279562
23;3.3.2;2013-05-22;2644;65;622;447;284;34;37;27;50;11;40;88;3;0;1;1;0;1171;2;428;141;60;8;176;15;0;3;64;13;10;7;1;228088;14269;5981;2268;0;13961;22518;279392
24;3.3.3;2013-07-24;2707;63;622;447;284;34;37;27;50;11;40;88;3;0;1;1;0;1171;2;428;141;60;8;176;15;0;3;64;13;10;7;1;228110;14269;5981;2268;0;13961;22518;279414
25;3.4.0;2013-08-04;2718;11;664;485;308;34;38;28;52;12;41;92;3;0;1;2;0;1296;2;444;143;69;8;197;15;0;3;65;13;10;7;1;240234;14105;6185;2708;0;13797;22998;297306
26;3.4.1;2013-10-13;2788;70;666;486;311;34;38;28;52;12;41;92;3;0;1;2;0;1299;2;444;143;69;8;191;15;0;3;65;13;10;7;1;240489;14105;6182;2708;0;13797;22995;297776
27;3.4.2;2014-01-05;2872;84;668;488;313;34;38;28;52;12;41;92;3;0;1;2;0;1299;2;444;143;69;8;191;15;0;3;65;13;10;7;1;240652;14101;6179;2708;0;13792;22988;297964
28;3.5.0;2014-02-03;2901;29;714;530;349;39;42;30;55;12;41;99;4;0;1;1;1;1391;2;478;156;72;8;201;15;0;3;66;13;10;7;1;255273;14841;6866;2692;0;14532;24399;318889
29;3.5.1;2014-03-09;2935;34;715;533;350;39;42;30;55;12;41;99;4;0;1;1;1;1391;2;477;156;72;8;195;15;0;3;66;13;10;7;1;255435;14853;6900;2692;0;14544;24445;319148
30;3.5.2;2014-04-13;2970;35;718;538;350;40;42;30;55;12;41;99;4;0;1;1;1;1389;2;479;156;72;8;207;15;0;3;66;13;10;7;1;255703;14854;6900;2692;0;14545;24446;319445
31;3.5.3;2014-05-31;3018;48;724;543;352;40;42;30;56;12;41;99;4;0;1;1;1;1389;2;479;156;71;8;207;15;0;3;66;13;10;7;1;256050;14858;6906;2692;0;14549;24456;319806
32;3.5.4;2014-07-15;3063;45;725;544;352;40;42;31;56;12;41;99;4;0;1;1;1;1389;2;480;157;71;8;207;15;0;3;66;13;10;7;1;256432;14856;6935;2692;0;14547;24483;320197
33;3.6.0;2014-08-16;3095;32;747;569;366;37;46;28;54;12;44;104;4;0;1;1;1;1379;3;449;159;70;9;218;45;20;4;83;51;91;30;1;263846;13917;7669;3341;0;13054;24927;420675
34;3.6.1;2014-10-04;3144;49;747;570;366;37;46;28;54;12;44;104;4;0;1;1;1;1373;3;447;159;70;9;218;45;20;4;83;51;91;30;1;264179;13905;7673;3341;0;13042;24919;421009
35;3.6.2;2014-12-27;3228;84;747;571;368;37;46;28;54;12;44;104;4;0;1;1;1;1374;3;447;159;70;9;218;45;20;4;83;51;91;30;1;264343;13905;7673;3341;0;13042;24919;421279
36;3.6.3;2015-04-19;3341;113;748;570;368;37;46;28;54;12;44;104;4;0;1;1;1;1373;3;446;159;70;9;219;45;20;4;83;51;91;30;1;264480;13905;7670;3341;0;13042;24916;421433
37;3.7.0;2015-04-20;3342;1;769;596;381;39;52;29;60;12;46;107;4;0;1;1;1;1549;3;468;184;98;9;296;21;0;3;68;13;10;7;1;278336;13647;6787;2724;0;13318;23158;353472
38;3.7.1;2015-06-01;3384;42;770;597;381;39;52;29;60;12;46;107;4;0;1;1;1;1547;3;468;184;98;9;296;21;0;3;68;13;10;7;1;278448;13647;6787;2724;0;13318;23158;353606
39;3.8.0;2015-09-13;3488;104;876;692;438;44;64;32;73;15;53;130;4;0;1;1;2;1798;3;549;199;105;11;376;23;7;6;119;72;109;17;1;314553;17163;10555;4050;0;16753;31768;418692
40;3.8.1;2015-10-11;3516;28;876;693;439;44;64;32;73;15;53;130;4;0;1;1;2;1798;3;549;199;105;11;376;23;7;6;120;72;109;17;1;314644;17182;10555;4050;0;16772;31787;418850
41;3.8.2;2015-11-08;3544;28;877;694;440;44;64;32;73;15;53;130;4;0;1;1;2;1818;3;542;199;105;11;376;23;7;6;120;72;109;17;1;315048;17217;10555;4050;0;16807;31822;405929
42;3.8.3;2015-12-27;3593;49;880;694;441;44;65;32;73;16;53;130;4;0;1;1;2;1812;3;543;199;105;11;376;23;7;6;120;72;109;17;1;315532;17223;10560;4050;0;16813;31833;406119
43;3.8.4;2016-03-12;3669;76;881;694;442;44;65;32;73;16;53;130;4;0;1;1;2;1810;3;543;200;105;11;381;23;7;6;120;72;109;17;1;315830;17229;11283;4050;0;16819;32562;406440
44;3.9.0;2016-03-13;3670;1;910;713;450;45;69;30;61;17;56;133;4;0;1;2;2;1843;3;532;206;103;9;444;6;0;1;34;3;2;0;1;322950;11380;6304;1189;0;11087;18873;352461
45;3.9.1;2016-04-23;3711;41;911;714;451;45;69;30;61;17;56;133;4;0;1;2;2;1845;3;531;206;103;9;444;6;0;1;34;3;2;0;1;323028;11372;6296;1189;0;11079;18857;352531
46;3.9.2;2016-06-06;3755;44;913;715;452;45;69;30;61;17;56;134;4;0;1;2;2;1843;3;531;206;103;9;442;6;0;1;34;3;2;0;1;323172;11372;6296;1189;0;11079;18857;352685
47;3.9.3;2016-07-17;3796;41;915;714;452;45;69;30;61;17;56;134;4;0;1;2;2;1840;3;531;206;103;9;443;6;0;1;34;3;2;0;1;323469;11370;6296;1189;0;11077;18855;352977
48;4.0.0;2016-09-03;3844;48;972;756;476;48;76;32;68;17;62;147;4;0;3;2;1;1886;5;593;221;116;11;453;6;0;1;36;3;2;0;1;344700;12214;6484;1173;0;11921;19871;376972
49;4.0.1;2016-10-02;3873;29;974;756;476;48;77;32;68;17;62;147;4;0;3;2;1;1875;5;591;221;116;11;455;6;0;1;36;3;2;0;1;344822;12267;6478;1173;0;11974;19918;377151
50;4.0.2;2016-10-31;3902;29;974;756;477;48;77;32;68;17;62;147;4;0;3;2;1;1873;5;590;221;116;11;455;6;0;1;36;3;2;0;1;344963;12292;6504;1173;0;11999;19969;377316
51;4.0.3;2016-12-26;3958;56;973;755;477;48;77;32;68;17;62;147;4;0;3;2;1;1879;5;590;221;117;11;456;6;0;1;36;3;2;0;1;345613;12294;6508;1173;0;12001;19975;377968
52;4.0.4;2017-01-24;3987;29;974;755;477;48;77;32;68;17;62;147;4;0;3;2;1;1879;5;590;221;117;11;456;6;0;1;36;3;2;0;1;345689;12293;6508;1173;0;12000;19974;378043
53;5.0.0;2017-03-12;4034;47;1055;814;494;47;78;32;73;15;60;161;5;0;5;2;1;2036;5;624;223;124;11;452;6;0;1;36;3;2;0;1;366925;12622;6640;1234;0;12329;20496;399971
54;5.0.1;2017-04-03;4056;22;1060;817;497;47;78;32;73;16;60;161;5;0;5;2;1;2041;5;629;222;124;11;452;6;0;1;36;3;2;0;1;367537;12667;6634;1234;0;12374;20535;400644
55;5.0.2;2017-05-06;4089;33;1062;819;498;47;78;32;73;16;60;161;5;0;5;2;1;2042;5;627;222;124;12;452;6;0;1;36;3;2;0;1;367975;12667;6635;1234;0;12374;20536;401083
56;5.0.3;2017-06-01;4115;26;1063;819;499;47;78;32;73;16;60;161;5;0;5;2;1;2043;5;627;222;124;12;452;6;0;1;36;3;2;0;1;368143;12667;6641;1234;0;12374;20542;401261
57;5.0.4;2017-06-26;4140;25;1063;819;499;47;78;32;73;16;60;161;5;0;5;2;1;2039;5;627;222;124;12;452;6;0;1;36;3;2;0;1;368468;12672;6643;1234;0;12379;20549;401591
58;5.0.5;2017-08-26;4201;61;1066;820;501;47;78;32;73;16;60;161;5;0;5;2;1;2041;5;627;221;124;12;452;6;0;1;36;3;2;0;1;368853;12674;6650;1234;0;12381;20558;401989
59;6.0.0;2017-09-04;4210;9;1150;875;536;49;86;34;78;16;64;176;5;0;5;4;2;2313;7;703;243;126;11;496;6;0;1;42;5;2;0;1;396831;13949;7686;3738;0;13656;25373;446146
60;6.0.1;2017-09-20;4226;16;1152;878;537;50;86;34;79;16;64;176;5;0;5;4;2;2311;7;703;243;126;11;496;6;0;1;42;5;2;0;1;397560;13949;7687;3738;0;13656;25374;446887
61;6.0.2;2017-10-07;4243;17;1154;879;538;50;86;34;79;16;65;176;5;0;5;4;2;2313;7;702;243;126;11;496;6;0;1;42;5;2;0;1;397850;13961;7687;3738;0;13668;25386;447201
62;6.0.3;2017-10-29;4265;22;1156;880;538;50;86;34;79;16;66;175;5;0;6;4;2;2314;7;702;243;126;11;496;6;0;1;43;5;2;0;1;398257;13967;7708;3738;0;13674;25413;447638
63;6.0.4;2017-12-05;4302;37;1157;880;538;50;86;34;79;16;66;175;5;0;6;4;2;2316;7;702;243;126;11;496;6;0;1;43;5;2;0;1;398470;13972;7708;3738;0;13679;25418;447758
64;6.0.5;2018-01-26;4354;52;1158;880;538;50;86;34;79;16;66;175;5;0;6;4;2;2315;7;702;243;126;11;496;6;0;1;43;5;2;0;1;399085;13983;7710;3738;0;13690;25431;448384
65;7.0.0;2018-02-18;4377;23;1229;938;580;55;94;36;83;17;71;187;5;0;6;4;2;2436;6;718;265;134;13;575;6;0;1;48;5;2;0;3;419078;15017;9038;3945;0;14709;28000;493281
66;7.0.1;2018-03-23;4410;33;1234;941;581;56;94;37;83;17;71;187;5;0;6;4;2;2440;6;719;265;134;13;576;6;0;1;48;5;2;0;3;419692;15030;9042;3945;0;14722;28017;493923
67;7.0.2;2018-05-12;4460;50;1232;941;581;56;94;37;83;17;71;188;5;0;6;4;2;2444;6;718;265;135;13;576;6;0;1;48;5;2;0;1;419890;15036;9060;3945;0;14728;28041;494131
68;7.0.3;2018-06-23;4502;42;1233;942;582;56;94;37;83;17;71;188;5;0;6;4;2;2447;6;718;265;135;13;576;6;0;1;48;5;2;0;1;419987;15036;9061;3945;0;14728;28042;493615
