Id;Version;Date;Age;VersionAge; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks;PHP;HTML;JavaScript;CSS;HTML_template;HTML_diff;Client;SUM
1;2_7_2;2005-06-01;0;0;471;249;117;15;10;25;33;26;71;67;5;0;0;17;0;682;0;372;82;260;34;215;68;0;6;49;12;28;0;0;167944;30641;6653;808;59;10475;38102;234783
2;2_8_0;2005-11-11;163;163;471;251;118;15;10;26;33;26;71;67;5;0;0;17;0;685;0;371;110;291;41;255;68;0;8;64;17;36;0;0;170319;31991;7209;814;59;11789;40014;238799
3;2_8_1;2006-01-17;230;67;471;251;119;15;10;26;33;26;72;67;5;0;0;17;0;685;0;373;115;294;44;261;68;0;8;64;18;36;0;0;171327;32392;7300;829;59;12146;40521;240590
4;2_8_3;2007-08-22;812;582;490;265;129;15;10;28;33;27;74;72;5;0;0;17;0;722;0;366;187;633;82;359;74;0;8;66;18;51;6;0;184255;36382;9158;1096;59;15231;46636;261746
5;2_9_0;2008-08-06;1162;350;546;294;139;15;11;30;35;28;77;75;5;0;0;18;0;849;0;384;292;721;157;574;83;21;10;94;57;115;77;0;199699;49104;12915;2559;59;21239;64578;271228
6;3_0_0;2009-03-15;1383;221;558;302;144;15;10;30;35;28;77;75;2;0;0;18;0;856;0;383;315;730;164;614;83;21;10;97;57;115;77;0;204805;50897;13686;3230;59;22874;67813;276877
7;3_0_1;2009-03-31;1399;16;559;302;144;15;10;30;35;28;77;75;2;0;0;18;0;856;0;383;317;737;164;618;83;21;10;97;57;115;77;0;205126;51082;13729;3230;59;23015;68041;277786
8;3_1_0;2009-08-24;1545;146;475;256;121;15;10;26;33;27;71;68;5;0;0;17;0;691;0;367;137;355;65;357;68;0;9;68;15;35;0;0;174374;39805;8716;828;59;13381;49349;225731
9;3_2_0;2010-02-16;1721;176;478;254;118;15;9;30;35;28;74;74;2;0;0;18;0;684;0;343;278;552;150;552;48;21;10;68;51;103;77;0;110976;43334;11991;3121;59;18924;58446;174184
10;4_0_0;2011-03-26;2124;403;520;285;137;15;10;30;35;28;77;76;2;0;0;18;0;750;0;399;388;870;205;945;88;194;16;181;110;217;150;0;130321;51183;20423;5334;59;27683;76940;251219
11;4_1_0;2011-09-21;2303;179;561;301;146;15;12;30;35;28;83;82;3;0;2;18;0;811;0;425;479;1066;228;1127;222;260;125;965;406;691;320;12;148762;60587;103604;14978;59;32896;179169;373073
12;4_1_1;2012-08-30;2647;344;667;369;174;20;15;37;44;39;101;107;3;0;3;26;0;886;0;477;507;1117;235;1238;552;354;138;1257;622;1086;398;13;167654;69504;120951;17160;59;34561;207615;421276
13;4_1_2;2013-08-17;2999;352;923;533;284;35;26;47;52;47;119;133;3;3;3;28;0;1137;0;540;533;1203;255;1363;557;355;139;1277;671;1167;410;13;202987;82488;123030;19097;59;46711;224615;473299
14;4_1_2_3;2013-11-02;3076;77;924;534;284;35;26;47;52;47;119;133;3;3;3;28;0;1139;0;539;535;1206;255;1364;557;355;139;1277;671;1167;410;13;203143;82549;123054;19093;59;46757;224696;473512
