Id;Version;Date;Age;VersionAge; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks;PHP;HTML;JavaScript;CSS;HTML_template;HTML_diff;Client;SUM
1;1.0.0;2014-04-05;0;0;308;190;81;19;3;8;14;17;37;54;1;0;5;6;3;77;12;78;43;118;16;75;404;121;29;965;195;510;215;26;102710;12082;43385;12670;0;3565;68137;178009
2;1.0.1;2014-05-09;34;34;309;190;81;19;3;8;14;16;37;54;1;0;5;6;3;76;12;78;43;118;16;75;404;121;29;965;195;511;215;26;102773;12081;43398;12670;0;3564;68149;178035
3;1.0.2;2014-07-20;106;72;310;191;81;19;3;8;14;16;37;54;1;0;5;6;3;76;12;78;43;118;16;75;404;121;29;967;195;512;215;26;102836;12081;43449;12673;0;3564;68203;178161
4;1.0.3;2014-09-29;177;71;313;192;82;19;3;8;14;16;37;54;1;0;5;6;3;76;12;78;43;118;16;75;404;121;29;968;195;513;215;26;102948;12076;43467;12673;0;3559;68216;178286
5;1.0.4;2014-12-18;257;80;313;193;82;19;3;8;14;16;37;54;1;0;5;6;3;76;12;78;43;118;16;75;404;121;29;968;195;513;215;26;107893;12028;43485;12672;0;3511;68185;183200
6;1.0.5;2015-01-23;293;36;313;193;82;19;3;8;14;16;37;54;1;0;5;6;3;76;12;78;43;118;16;75;404;121;29;969;195;514;216;26;107907;12028;43490;12672;0;3511;68190;183223
7;1.1.0;2015-02-07;308;15;278;168;72;12;1;6;12;11;33;46;1;0;3;5;0;53;4;65;40;119;16;74;87;148;12;435;173;469;61;26;102444;6045;31292;14392;0;2275;51729;160491
8;1.1.1;2015-03-16;345;37;278;170;74;12;1;6;12;11;33;46;1;0;3;5;0;53;4;64;40;119;16;75;87;147;12;436;178;473;61;26;102615;6081;31407;14509;0;2275;51997;161046
9;1.1.2;2015-06-05;426;81;280;171;74;12;1;6;12;11;33;46;1;0;3;5;0;52;4;64;40;119;16;76;87;147;12;436;178;474;63;26;103527;6113;31441;14524;0;2307;52078;162053
10;1.1.3;2015-09-10;523;97;282;173;75;13;1;6;12;11;33;47;1;0;3;5;0;55;4;64;40;119;16;76;87;146;12;439;178;476;63;26;103571;6112;31503;14525;0;2306;52140;162175
11;1.1.4;2015-12-23;627;104;284;174;75;12;1;6;12;11;33;47;1;0;3;5;0;55;4;64;40;119;16;76;87;147;12;440;178;476;63;26;103586;6112;31522;14528;0;2306;52162;162207
12;1.1.5;2016-04-19;745;118;285;176;76;12;1;6;12;11;33;47;1;0;3;5;0;55;4;65;40;119;16;76;87;147;12;439;179;476;63;26;103733;6112;31498;14528;0;2306;52138;162338
13;1.2.0;2016-05-21;777;32;299;192;82;15;1;6;12;13;36;50;1;0;5;5;0;65;4;65;41;125;16;78;88;147;14;464;221;535;71;27;96936;6021;35610;14909;0;2063;56540;160372
14;1.2.1;2016-07-26;843;66;302;194;82;15;1;6;12;13;36;50;1;0;5;5;0;67;4;66;41;125;16;78;87;150;14;466;252;549;76;23;100606;6089;36566;14909;0;2131;57564;165117
15;1.2.2;2016-09-28;907;64;303;195;82;15;1;6;12;13;36;50;1;0;5;5;0;68;4;66;41;125;16;78;87;150;14;466;252;549;76;23;100734;6089;36572;14914;0;2131;57575;165292
16;1.2.3;2016-11-28;968;61;304;195;82;15;1;6;12;13;36;50;1;0;5;5;0;70;4;66;42;125;16;78;87;150;14;467;253;549;76;23;102368;6110;36589;14914;0;2153;57613;166980
17;1.2.4;2017-03-10;1070;102;304;196;82;15;1;6;12;13;36;50;1;0;5;5;0;70;4;66;42;125;16;78;87;150;14;466;253;549;76;23;102375;6110;36602;14914;0;2153;57626;167000
18;1.2.5;2017-04-28;1119;49;305;196;82;15;1;6;12;13;36;50;1;0;5;5;0;70;4;66;42;125;16;78;87;150;14;466;253;549;76;23;102384;6110;36604;14914;0;2153;57628;167014
19;1.3.0;2017-06-26;1178;59;314;198;84;15;1;6;13;13;37;52;1;0;5;5;0;76;4;65;40;131;17;71;71;137;13;463;50;196;17;0;105004;6296;19351;13545;0;2206;39192;151647
20;1.3.1;2017-09-04;1248;70;315;200;83;15;1;6;13;13;37;53;1;0;5;5;0;78;4;67;40;131;17;72;71;137;13;463;50;196;17;0;106770;6334;19369;13541;0;2244;39244;153484
