1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;51;;;;
2;CS; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig;;;;;;;;
3;CyclomaticComplexity ;0.150406094;  ;0.469297287;  ;0.540244061;  ;0.430609501;  ;0.228619374;  ;0.189979797; * ;0.126232471;  ;0.167024468;  ;0.569784218;  ;0.171846699;  ;;           *         ;*;1;           #         ;•;           |         ;|
4;NPathComplexity ;0.154149697; * ;0.469297287;  ;0.197577174;  ;0.430609501;  ;0.182965198;  ;0.208514308; * ;0.132860459;  ;0.167024468;  ;0.366843898;  ;0.115812281;  ;; *          *         ;**;2; #          #         ;••; |          |         ;||
5;ExcessiveMethodLength ;0.112620417; * ;0.446306437;  ;0.624889784;  ;0.430609501;  ;0.184290161;  ;0.192662088;  ;0.189679442;  ;0.167024468;  ;0.345050442;  ;0.166733063;  ;; *                   ;*;1; #                   ;•; |                   ;|
6;ExcessiveClassLength ;0.150269346;  ;0.450850391;  ;0.516021157;  ;0.457369632;  ;0.171282794;  ;0.190114595;  ;0.113548802;  ;0.188878316;  ;0.529931379;  ;0.024514086;  ;;                    ;;0;                    ;;                    ;
7;ExcessiveParameterList ;0.10966597; * ;0.451638214; * ;0.392621258;  ;0.462719619;  ;0.229050867;  ;0;  ;0.230287529;  ;0.201126614;  ;0.529931379; * ;0.222770026; * ;; *  *              *  * ;****;4; #  #              #  # ;••••; |  |              |  | ;||||
8;ExcessivePublicCount ;0.159843533; * ;0.367515821;  ;0.450283887;  ;0.472219638;  ;0.167064288;  ;0.163819602;  ;0.18026784;  ;0.15612661;  ;0.410302563;  ;0;  ;; *                   ;*;1; #                   ;•; |                   ;|
9;TooManyFields ;0.12146276;  ;0.467952049;  ;1;  ;0.653163352;  ;0.17078476;  ;0.241985467;  ;0.328381555;  ;0.165202435;  ;0.410302563;  ;0.080943206;  ;;                    ;;0;                    ;;                    ;
10;TooManyMethods ;0.220398513; * ;0.401034611;  ;0.450283887;  ;0.461010756;  ;0.141265182;  ;0.200199137;  ;0.123981391;  ;0.165202435;  ;0.534644921; * ;0.097626739;  ;; *                *   ;**;2; #                #   ;••; |                |   ;||
11;TooManyPublicMethods ;0.211701073; * ;0.410871;  ;0.624889784;  ;0.50775969;  ;0.172670935;  ;0.146904217;  ;0.166221712;  ;0.165202435;  ;0.569784218;  ;0.084757254;  ;; *                   ;*;1; #                   ;•; |                   ;|
12;ExcessiveClassComplexity ;0.173882033; * ;0.511852179;  ;0.545257447;  ;0.582379452; * ;0.188489273;  ;0.119271101;  ;0.116877344;  ;0.145005985;  ;0.569784218;  ;0.261709781;  ;; *      *             ;**;2; #      #             ;••; |      |             ;||
13;NumberOfChildren ;0.2110009; * ;0.418409053;  ;0;;0.331711472;  ;0.210999944;  ;0.192779004;  ;0.168990375;  ;1;  ;0.446051313;  ;0.05628576;  ;; *                 ;*;1; #                 ;•; |                 ;|
14;DepthOfInheritance ;0;  ;0;  ;0;  ;0;  ;0.021003716;  ;0;  ;0;  ;0;  ;0.261248189; * ;0;  ;;                 *   ;*;1;                 #   ;•;                 |   ;|
15;CouplingBetweenObjects ;0.170523082;  ;0.460094615;  ;0;;0.347959236;  ;0.27280773;  ;0.125709481;  ;0.252507228;  ;0.165202435;  ;0.416967717;  ;0.307883967; * ;;                 * ;*;1;                 # ;•;                 | ;|
16;DevelopmentCodeFragment ;0.151326969; * ;0.281647063;  ;0.500535253;  ;0.430609501;  ;0.196187497;  ;0.140133484;  ;0.229366453;  ;0.15612661;  ;0.529931379;  ;0;  ;; *                   ;*;1; #                   ;•; |                   ;|
17;UnusedPrivateField ;0.207941914; * ;0;  ;0.555273387;  ;0;  ;0.220583313; * ;0.196856026;  ;0.128174928;  ;0.173643286; * ;0.573753267;  ;0;  ;; *        *      *     ;***;3; #        #      #     ;•••; |        |      |     ;|||
18;UnusedLocalVariable ;0.170086099;  ;0.432906085;  ;0.34686382;  ;0.532992475;  ;0.168156447;  ;0.250836962;  ;0.119577341;  ;0.145005985;  ;0.569784218;  ;0.170940737;  ;;                    ;;0;                    ;;                    ;
19;UnusedPrivateMethod ;0.136736669;  ;0;  ;0.624889784; * ;0.039274571;  ;0.18419805;  ;0.168016669;  ;0.124754343;  ;0.201126614;  ;0.534644921;  ;0.068870533;  ;;     *               ;*;1;     #               ;•;     |               ;|
20;UnusedFormalParameter ;0.259773927; * ;0.398815332;  ;0.33223994;  ;0.564560555;  ;0.235736349;  ;0.265024301; * ;0.137934835;  ;0.15612661;  ;0.534644921; * ;0.213250556;  ;; *          *      *   ;***;3; #          #      #   ;•••; |          |      |   ;|||
21;embed.JS ;0.211948493;  ;0.282307545;  ;0.274634132;  ;0.514358808;  ;0.167981281;  ;0.258396722;  ;0.107396848;  ;0.34518267;  ;0.507142781;  ;0.190495257;  ;;                    ;;0;                    ;;                    ;
22;inline.JS ;0.268521776; * ;0.437152453;  ;0.6163914; * ;0.372708291; * ;0.224171984;  ;0.180969945;  ;0.105423159;  ;0.284060449;  ;0.507142781;  ;0;  ;; *    *  *             ;***;3; #    #  #             ;•••; |    |  |             ;|||
23;embed.CSS ;0.22829839; * ;0.437152453;  ;0.392621258;  ;0.344284124; * ;0.117480879;  ;0.222631072;  ;0.204441252;  ;0.281047044;  ;0.656880196;  ;0.114105583;  ;; *      *             ;**;2; #      #             ;••; |      |             ;||
24;inline.CSS ;0.232961418; * ;0.439099183;  ;0.624889784;  ;0.646653545; * ;0.167958404;  ;0.304620633; * ;0.171475983;  ;0.194415015;  ;0.534644921;  ;0.121170141;  ;; *      *    *         ;***;3; #      #    #         ;•••; |      |    |         ;|||
