1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;159;;;;
2;CS; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig; cor_ts; sig;;;;;;;;
3;CyclomaticComplexity ;0.55;   *;0.39; ;0.07; ;-0.82;   *;0.37;   *;0.83;   *;0.71;   *;0.64;   *;0.32; ;-0.47;   *;;   *     *   *   *   *   *    *;*******;7;   #     #   #   #   #   #    #;•••••••;   |     |   |   |   |   |    |;|||||||
4;NPathComplexity ;0.58;   *;0.46; ;0.11; ;-0.82;   *;0.23; ;0.81;   *;0.73;   *;0.64;   *;0.54;   *;-0.54;   *;;   *     *    *   *   *   *   *;*******;7;   #     #    #   #   #   #   #;•••••••;   |     |    |   |   |   |   |;|||||||
5;ExcessiveMethodLength ;0.5;   *;0.33; ;0.19; ;-0.82;   *;0.37;   *;0.86;   *;0.73;   *;0.7;   *;0.62;   *;0; ;;   *     *   *   *   *   *   * ;*******;7;   #     #   #   #   #   #   # ;•••••••;   |     |   |   |   |   |   | ;|||||||
6;ExcessiveClassLength ;0.23;   *;0.35; ;-0.1; ;-0.78;   *;0.49;   *;0.84;   *;0.69;   *;0.28; ;0.45; ;-0.01; ;;   *     *   *   *   *   ;*****;5;   #     #   #   #   #   ;•••••;   |     |   |   |   |   ;|||||
7;ExcessiveParameterList ;0.61;   *;-0.32; ;0.23; ;-0.43; ;0.55;   *;0; ;0.73;   *;-0.05; ;0.69;   *;-0.42;   *;;   *      *    *    *   *;*****;5;   #      #    #    #   #;•••••;   |      |    |    |   |;|||||
8;ExcessivePublicCount ;0.37;   *;0.02; ;-0.27; ;-0.48;   *;0.48;   *;0.84;   *;0.7;   *;-0.05; ;0.52;   *;0; ;;   *     *   *   *   *    * ;******;6;   #     #   #   #   #    # ;••••••;   |     |   |   |   |    | ;||||||
9;TooManyFields ;0.23;   *;0.15; ;1; ;-0.58;   *;0.52;   *;0.85;   *;0.75;   *;0.38; ;0.46; ;-0.08; ;;   *     *   *   *   *   ;*****;5;   #     #   #   #   #   ;•••••;   |     |   |   |   |   ;|||||
10;TooManyMethods ;0.16; ;0.22; ;-0.32; ;-0.58;   *;0.34;   *;0.87;   *;0.71;   *;0.31; ;-0.53;   *;0.09; ;;      *   *   *   *    * ;*****;5;      #   #   #   #    # ;•••••;      |   |   |   |    | ;|||||
11;TooManyPublicMethods ;0.13; ;0.37; ;0.13; ;-0.77;   *;0.49;   *;0.82;   *;0.72;   *;0.61;   *;-0.18; ;-0.14; ;;      *   *   *   *   *  ;*****;5;      #   #   #   #   #  ;•••••;      |   |   |   |   |  ;|||||
12;ExcessiveClassComplexity ;0.32;   *;0.39; ;0.14; ;-0.79;   *;0.26; ;0.81;   *;0.71;   *;0.48;   *;0.3; ;-0.57;   *;;   *     *    *   *   *    *;******;6;   #     #    #   #   #    #;••••••;   |     |    |   |   |    |;||||||
13;NumberOfChildren ;0.09; ;0.18; ;-0.21; ;-0.37; ;0.48;   *;0.65;   *;0.63;   *;1; ;0.28; ;-0.44;   *;;       *   *   *     *;****;4;       #   #   #     #;••••;       |   |   |     |;||||
14;DepthOfInheritance ;0; ;0; ;0; ;0; ;0.01; ;0; ;0; ;0; ;-0.39; ;0; ;;          ;;0;          ;;          ;
15;CouplingBetweenObjects ;-0.15; ;0.26; ;-0.21; ;-0.37; ;0.54;   *;0.76;   *;0.56;   *;0.6;   *;0.57;   *;-0.28; ;;       *   *   *   *   * ;*****;5;       #   #   #   #   # ;•••••;       |   |   |   |   | ;|||||
16;DevelopmentCodeFragment ;0.39;   *;0.49;   *;0.26; ;-0.24; ;0.44;   *;0.81;   *;0.52;   *;-0.05; ;-0.66;   *;0; ;;   *   *     *   *   *    * ;******;6;   #   #     #   #   #    # ;••••••;   |   |     |   |   |    | ;||||||
17;UnusedPrivateField ;-0.19;   *;0; ;0.22; ;0; ;-0.47;   *;0.74;   *;0.62;   *;-0.05; ;0.33; ;0; ;;   *      *   *   *   ;****;4;   #      #   #   #   ;••••;   |      |   |   |   ;||||
18;UnusedLocalVariable ;-0.15; ;-0.57;   *;-0.14; ;-0.28; ;-0.48;   *;0.45;   *;0.73;   *;-0.04; ;0.82;   *;-0.46;   *;;    *     *   *   *    *   *;******;6;    #     #   #   #    #   #;••••••;    |     |   |   |    |   |;||||||
19;UnusedPrivateMethod ;0.46;   *;0; ;0.17; ;0.15; ;0.5;   *;0.17; ;0.39;   *;-0.05; ;0.67;   *;0.24; ;;   *      *    *    * ;****;4;   #      #    #    # ;••••;   |      |    |    | ;||||
20;UnusedFormalParameter ;-0.41;   *;0.14; ;-0.19; ;-0.77;   *;-0.07; ;0.79;   *;0.69;   *;0.57;   *;-0.38; ;-0.61;   *;;   *     *    *   *   *    *;******;6;   #     #    #   #   #    #;••••••;   |     |    |   |   |    |;||||||
21;embed.JS ;-0.48;   *;-0.24; ;-0.2; ;-0.44; ;-0.33;   *;0.77;   *;0.74;   *;0.33; ;0.81;   *;-0.54;   *;;   *      *   *   *    *   *;******;6;   #      #   #   #    #   #;••••••;   |      |   |   |    |   |;||||||
22;inline.JS ;-0.39;   *;0.78;   *;-0.44; ;-0.31; ;-0.18; ;-0.83;   *;0.7;   *;0.72;   *;0.85;   *;0; ;;   *   *      *   *   *   * ;******;6;   #   #      #   #   #   # ;••••••;   |   |      |   |   |   | ;||||||
23;embed.CSS ;0.44;   *;0.82;   *;-0.54;   *;0.41; ;0.38;   *;0.34; ;0.46;   *;0.65;   *;0.15; ;-0.35;   *;;   *   *   *    *    *   *    *;*******;7;   #   #   #    #    #   #    #;•••••••;   |   |   |    |    |   |    |;|||||||
24;inline.CSS ;0.57;   *;-0.14; ;-0.43; ;-0.46;   *;-0.02; ;0.71;   *;0.74;   *;0.41;   *;0.87;   *;-0.2; ;;   *     *    *   *   *   * ;******;6;   #     #    #   #   #   # ;••••••;   |     |    |   |   |   | ;||||||
25;css.in.JS ;0.35;   *;-0.54;   *;-0.53; ;-0.57;   *;-0.31;   *;0.88;   *;-0.4;   *;-0.06; ;0.75;   *;0.32;   *;;   *   *    *   *   *   *    *   *;********;8;   #   #    #   #   #   #    #   #;••••••••;   |   |    |   |   |   |    |   |;||||||||
26;css.in.JS..jquery ;0.46;   *;0.08; ;-0.56;   *;-0.38; ;-0.02; ;0.88;   *;-0.06; ;0.08; ;0.84;   *;0.69;   *;;   *    *     *     *   *;*****;5;   #    #     #     #   #;•••••;   |    |     |     |   |;|||||
27;max.lines ;0.33;   *;0.4; ;-0.34; ;-0.75;   *;-0.29; ;0.89;   *;-0.24; ;-0.02; ;0.54;   *;0.5;   *;;   *     *    *     *   *;*****;5;   #     #    #     #   #;•••••;   |     |    |     |   |;|||||
