CS; cor_ts; p; sig
CyclomaticComplexity ; 0.37 ; 0.0122 ;   *
NPathComplexity ; 0.23 ; 0.12879 ; 
ExcessiveMethodLength ; 0.37 ; 0.0132 ;   *
ExcessiveClassLength ; 0.49 ; 0.00067 ;   *
ExcessiveParameterList ; 0.55 ; 0.00011 ;   *
ExcessivePublicCount ; 0.48 ; 0.00101 ;   *
TooManyFields ; 0.52 ; 0.00032 ;   *
TooManyMethods ; 0.34 ; 0.02249 ;   *
TooManyPublicMethods ; 0.49 ; 0.00077 ;   *
ExcessiveClassComplexity ; 0.26 ; 0.08257 ; 
NumberOfChildren ; 0.48 ; 0.00086 ;   *
DepthOfInheritance ; 0.01 ; 0.93048 ; 
CouplingBetweenObjects ; 0.54 ; 0.00016 ;   *
DevelopmentCodeFragment ; 0.44 ; 0.00269 ;   *
UnusedPrivateField ; -0.47 ; 0.00146 ;   *
UnusedLocalVariable ; -0.48 ; 9e-04 ;   *
UnusedPrivateMethod ; 0.5 ; 0.00061 ;   *
UnusedFormalParameter ; -0.07 ; 0.64871 ; 
embed.JS ; -0.33 ; 0.03114 ;   *
inline.JS ; -0.18 ; 0.23017 ; 
embed.CSS ; 0.38 ; 0.01186 ;   *
inline.CSS ; -0.02 ; 0.88529 ; 
css.in.JS ; -0.31 ; 0.04016 ;   *
css.in.JS..jquery ; -0.02 ; 0.91088 ; 
max.lines ; -0.29 ; 0.05894 ; 
max.lines.per.function ; 0.03 ; 0.86022 ; 
max.params ; 0.55 ; 1e-04 ;   *
complexity ; 0.5 ; 0.00051 ;   *
max.depth ; 0.35 ; 0.01984 ;   *
max.nested.callbacks ; 0.46 ; 0.00191 ;   *
