1;CS;phpmyadmin;dokuwiki;opencart;phpbb;phppgadmin;mediawiki;prestashop;vanilla;dolibarr;roundcubemail;openemr;kanboard
2;CyclomaticComplexity ;0.00138561883380427;0.42924852759003;0.176401380193225;0.281868611664216;0.370915956095162;1.15734774724404e-10;0.29103367888967;0.486562036300604;7.70357749582443e-18;0.0830107324640993;0.646521622546029;0.0566175780432734
3;NPathComplexity ;0.00909531848617675;0.582739356355675;0.565001945438657;0.234910094671233;0.603269410291418;7.93733586118248e-11;0.311126385786192;0.0982211347368379;8.14404140685421e-16;0.0914444744211111;0.115284496448821;0.111887833383632
4;ExcessiveMethodLength ;1.9338396591618e-07;0.703616406095944;0.163356671523753;0.202611131804009;0.0962901635746203;1.58193632863857e-09;0.136799047841828;1.27539525199919e-05;3.50577345598867e-10;0.0799033443675051;0.186353314039495;0.277536414471188
5;ExcessiveClassLength ;6.14109604562696e-10;0.711890639332471;0.827248939226544;0.412752366191677;0.0933750315510458;1.1213621682769e-09;0.352605718328388;0.00225357480144527;8.99750560372641e-08;0.0626675922119234;0.21728638467692;0.490572580129003
6;ExcessiveParameterList ;0.000368265668921128;0.0765927594211703;0.6996395285071;0.0562114039092283;0.398601589737125;7.98838700509207e-07;0.201239781302603;1;7.95190567562997e-08;0.279030772063575;0.441916645956997;0.926179015008379
7;ExcessivePublicCount ;9.96082314089548e-05;0.615114438405104;0.838945188887933;0.938404177387105;0.288892895909528;0.0512907872576946;0.192259676970036;0.507885811177698;0.558668829203865;0.0619569127788376;0.14279911288878;1
8;TooManyFields ;0.141325063950204;0.94927275894173;1;0.774252494812505;0.696325962516683;1.19760292617113e-08;0.868862352928166;0.354151453280444;0.269140451461674;0.0632680711574242;0.435043960753188;0.276384182476452
9;TooManyMethods ;0.0156844699989708;0.854364144417429;0.783348240164847;0.573802356299139;0.204739325605638;9.71794302246819e-09;0.374165105443825;0.0527881039153372;1.23753181596054e-07;0.0537225205008053;0.0174054725107498;0.635349628422941
10;TooManyPublicMethods ;5.94854525467488e-12;0.391425677222722;0.883307135920368;0.882375846174581;0.690136873502225;0.810457862409954;0.151936508503839;0.247448314462011;0.00609707707524226;0.0775087000150751;0.0273715534537476;0.999400627632702
11;ExcessiveClassComplexity ;4.12773015196811e-10;0.783226896106526;0.923341724177251;0.427003675949177;0.662490715254899;1.93951564182421e-10;0.270062531800299;0.815582209387257;6.02708960600598e-11;0.072077310837117;0.914834110366326;0.48383190462196
12;NumberOfChildren ;7.86482175920074e-18;0.619497262738469;0.13647537751811;0.79762015083083;0.912175324668746;8.84927327425103e-08;0.995061413215692;0.537607051102865;0.00976879947345663;1;0.0629501119089137;0.359752207615525
13;DepthOfInheritance ;1;1;1;1;0.160906592207863;1;0.813753168895778;1;1;1;0.548418879708257;1
