1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;67;;;;
2;CS; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig;;;;;;;;
3;CyclomaticComplexity ;0.015163673; ;0.196814839; *;0.016403327; ;0.354482932; *;0.000281118; ;0.005612751; ;0.012247211; ;0.000162912; ;0.061716478; ;0.002477467; ;;  *  *      ;**;2;  #  #      ;••;  |  |      ;||
4;NPathComplexity ;0.009763446; ;0.224388194; *;0.003067939; ;0.323075792; *;0.000454989; ;0.011874193; ;0.08961381; *;0.000848897; ;0.010327046; ;0.157143941; *;;  *  *   *   *;****;4;  #  #   #   #;••••;  |  |   |   |;||||
5;ExcessiveMethodLength ;0.021773019; *;0.112626962; ;0.011310401; ;0.310357371; *;0.000192166; ;0.149698814; *;0.059625226; *;9.50E-05; ;0.011979948; ;0.065605133; *;; *   *  * *   *;*****;5; #   #  # #   #;•••••; |   |  | |   |;|||||
6;ExcessiveClassLength ;0.070525262; *;0.009615126; ;0.020268848; ;0.361825444; *;0.020232966; ;0.046940281; ;0.003797097; ;0.003104877; ;7.15E-05; ;0;;; *   *     ;**;2; #   #     ;••; |   |     ;||
7;ExcessiveParameterList ;1.50E-05; ;0;;0.00525784; ;0.120521258; ;0.094300369; *;0; ;0.065139682; *;0;;0.001285653; ;0.242112359; *;;    *  *  *;***;3;    #  #  #;•••;    |  |  |;|||
8;ExcessivePublicCount ;0.018787695; ;0.047667336; ;0.011171507; ;0.070873287; ;0.008989307; ;0.001773623; ;0.04424624; ;0;;0.000926962; ;0; ;;         ;;0;         ;;         ;
9;TooManyFields ;0.032738184; *;0.040381796; ;1; ;0.211801689; *;0.012579049; ;0.001195252; ;0.03550232; ;0.000722953; ;0.005313745; ;0;;; *   *     ;**;2; #   #     ;••; |   |     ;||
10;TooManyMethods ;0.000774292; ;0.013465039; ;0.013046095; ;0.092197531; ;0.011953608; ;0.069080921; *;0.013695688; ;0.003323903; ;0.036115752; ;0;;;      *   ;*;1;      #   ;•;      |   ;|
11;TooManyPublicMethods ;0.022301971; *;0.203207819; *;0.003967652; ;0.145002808; *;0.002069196; ;0.007419224; ;0.000390029; ;3.96E-05; ;0.021279628; ;0.16919508; *;; * *  *      *;****;4; # #  #      #;••••; | |  |      |;||||
12;ExcessiveClassComplexity ;0.099985014; *;0.19014864; *;1.39E-05; ;0.366558284; *;4.70E-06; ;5.44E-05; ;0.009109999; ;6.31E-06; ;0.010901782; ;0.074780663; *;; * *  *      *;****;4; # #  #      #;••••; | |  |      |;||||
13;NumberOfChildren ;0.032547715; *;0;;0;;0.029723927; ;0.213221032; *;0.001776941; ;0.015824006; ;1; ;0.000525574; ;0.069608963; *;; *  *     *;***;3; #  #     #;•••; |  |     |;|||
14;DepthOfInheritance ;0; ;0; ;0; ;0; ;0.010492263; ;0; ;0; ;0; ;0;;0; ;;         ;;0;         ;;         ;
15;CouplingBetweenObjects ;0.148076567; *;0;;0;;0.027356743; ;0.093833245; *;0.007243098; ;0.016461753; ;0.001889716; ;0.003700623; ;0.131267946; *;; *  *     *;***;3; #  #     #;•••; |  |     |;|||
16;DevelopmentCodeFragment ;0.127631197; *;0.231415313; *;0.00219207; ;0.0876868; ;0.037618625; ;5.41E-09; ;0.044152997; ;0;;0.071971294; ;0; ;; * *       ;**;2; # #       ;••; | |       ;||
17;UnusedPrivateField ;0.033092092; *;0; ;0.008155271; ;0; ;0.128344683; *;0.017869174; ;0.001247998; ;0;;0.277032466; *;0; ;; *    *   * ;***;3; #    #   # ;•••; |    |   | ;|||
18;UnusedLocalVariable ;0.010947305; ;0.102083064; ;0.013807624; ;0.055913566; ;0.048097137; ;0.001952669; ;0.048489203; ;0.010398044; ;9.52E-05; ;0.094610631; *;;          *;*;1;          #;•;          |;|
19;UnusedPrivateMethod ;0.00268925; ;0; ;0.01701173; ;0;;0.105746909; *;0.002321709; ;0.002400223; ;0;;0.056113326; ;0;;;    *   ;*;1;    #   ;•;    |   ;|
20;UnusedFormalParameter ;0.048375678; *;0.146927333; *;0.005298353; ;0.340174049; *;0.000137616; ;6.32E-05; ;0.056129229; *;0.001715232; ;0.032918962; ;0.019746902; ;; * *  *   *   ;****;4; # #  #   #   ;••••; | |  |   |   ;||||
21;embed.JS ;0.001380952; ;0.128610482; *;0.015282567; ;0.003186901; ;0.013108976; ;0.006209654; ;0.100752613; *;0.069216114; ;0.176572021; ;0.05362853; ;;  *     *   ;**;2;  #     #   ;••;  |     |   ;||
22;inline.JS ;0.001628417; ;0.003684422; ;0.003343075; ;0.020295; ;0.016909959; ;0.005519443; ;0.080667578; *;0.050948222; ;0.21418636; ;0; ;;       *   ;*;1;       #   ;•;       |   ;|
23;embed.CSS ;0.016653335; ;0;;0.00102583; ;0.350253805; *;0.151327677; *;0.01185897; ;0.00125285; ;0.057359171; ;0.088809489; ;0.18401717; *;;   * *     *;***;3;   # #     #;•••;   | |     |;|||
24;inline.CSS ;0.039533674; *;0.030324351; ;0.005603294; ;0.020982037; ;0.010522498; ;0.031213662; ;0.087947598; *;0.055385765; ;0.31588849; *;0.208378072; *;; *      *  * *;****;4; #      #  # #;••••; |      |  | |;||||
25;css.in.JS ;0.001617893; ;0.111910882; ;3.80E-05; ;0.170701918; *;0.025216732; ;0.003907846; ;0.018204092; ;0.037720097; ;0.034423432; ;0.033891261; ;;    *      ;*;1;    #      ;•;    |      ;|
26;css.in.JS..jquery ;0.037796681; *;8.37E-05; ;0.000132622; ;0.042359713; ;0.000995819; ;0.038943276; ;0.000909783; ;0.058586943; ;0.25499167; *;3.03E-05; ;; *        * ;**;2; #        # ;••; |        | ;||
27;max.lines ;0.115473976; *;0.00075044; ;0.004185852; ;0.356631387; *;0.006366056; ;0.027562907; ;0.043266227; ;0.0055788; ;0.016277604; ;0.032026278; ;; *   *      ;**;2; #   #      ;••; |   |      ;||
28;max.lines.per.function ;0.012409556; ;0.197558855; *;0.022427341; ;0.252877294; *;0.000625639; ;0.054422146; ;0.001027525; ;0.009006004; ;0.00418893; ;0.026055508; ;;  *  *      ;**;2;  #  #      ;••;  |  |      ;||
29;max.params ;0.011351636; ;0.138567351; *;0.010165528; ;0.065946687; ;0.235256921; *;0.009392011; ;0.00551834; ;0.022802226; ;0.123212083; ;0.028976835; ;;  *   *     ;**;2;  #   #     ;••;  |   |     ;||
30;complexity ;0.011808579; ;0.183769728; *;0.009085517; ;0.034074076; ;0.189509567; *;0.005801449; ;0.000332136; ;0.017014519; ;0.014279444; ;0.016142441; ;;  *   *     ;**;2;  #   #     ;••;  |   |     ;||
31;max.depth ;0.005851815; ;0.010978983; ;0.005035539; ;0;;0.073129843; *;0.018955425; ;0.003152624; ;0.059057529; ;1.31E-07; ;0.025483157; ;;    *     ;*;1;    #     ;•;    |     ;|
32;max.nested.callbacks ;0.013065664; ;0;;0.015131421; ;0.039791738; ;0.127899957; *;0.013434055; ;0.004459518; ;0.045731262; ;0.085889548; ;0.033826207; ;;    *     ;*;1;    #     ;•;    |     ;|
