id;version1;version2;date1;date2;count
106;4.2.11;4.2.12;2014-10-31;2014-11-20;32
107;4.2.12;4.2.13;2014-11-20;2014-11-30;13
108;4.2.13;4.2.13.1;2014-11-30;2014-12-03;3
109;4.2.13.1;4.3.0;2014-12-03;2014-12-05;4
110;4.3.0;4.3.1;2014-12-05;2014-12-08;5
111;4.3.1;4.3.2;2014-12-08;2014-12-12;22
112;4.3.2;4.3.3;2014-12-12;2014-12-21;25
113;4.3.3;4.3.4;2014-12-21;2014-12-29;17
114;4.3.4;4.3.5;2014-12-29;2015-01-05;10
115;4.3.5;4.3.6;2015-01-05;2015-01-07;5
116;4.3.6;4.3.7;2015-01-07;2015-01-15;24
117;4.3.7;4.3.8;2015-01-15;2015-01-24;28
118;4.3.8;4.3.9;2015-01-24;2015-02-05;22
119;4.3.9;4.3.10;2015-02-05;2015-02-20;38
120;4.3.10;4.3.11;2015-02-20;2015-03-02;20
121;4.3.11;4.3.11.1;2015-03-02;2015-03-04;2
122;4.3.11.1;4.3.12;2015-03-04;2015-03-14;31
123;4.3.12;4.3.13;2015-03-14;2015-03-29;30
124;4.3.13;4.4.0;2015-03-29;2015-04-01;7
125;4.4.0;4.4.1;2015-04-01;2015-04-07;29
126;4.4.1;4.4.1.1;2015-04-07;2015-04-08;0
127;4.4.1.1;4.4.2;2015-04-08;2015-04-13;6
128;4.4.2;4.4.3;2015-04-13;2015-04-20;23
129;4.4.3;4.4.4;2015-04-20;2015-04-26;14
130;4.4.4;4.4.5;2015-04-26;2015-05-05;15
131;4.4.5;4.4.6;2015-05-05;2015-05-07;5
132;4.4.6;4.4.6.1;2015-05-07;2015-05-13;18
133;4.4.6.1;4.4.7;2015-05-13;2015-05-16;6
134;4.4.7;4.4.8;2015-05-16;2015-05-28;31
135;4.4.8;4.4.9;2015-05-28;2015-06-04;13
136;4.4.9;4.4.10;2015-06-04;2015-06-17;27
137;4.4.10;4.4.11;2015-06-17;2015-07-06;25
138;4.4.11;4.4.12;2015-07-06;2015-07-20;14
139;4.4.12;4.4.13;2015-07-20;2015-08-07;19
140;4.4.13;4.4.13.1;2015-08-07;2015-08-08;2
141;4.4.13.1;4.4.14;2015-08-08;2015-08-20;21
142;4.4.14;4.4.14.1;2015-08-20;2015-09-08;23
143;4.4.14.1;4.4.15;2015-09-08;2015-09-20;13
144;4.4.15;4.5.0;2015-09-20;2015-09-23;0
