1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;86;;;;
26;css.in.JS..jquery ;0.07530119; * ;0.203105659;  ;0.29682247;  ;0.17281254;  ;0.049002608;  ;0.134243934;  ;0.202016714; * ;0.112366556;  ;0.307337261;  ;0.129465153;  ;; *            *       ;**;2; #            #       ;••; |            |       ;||
27;max.lines ;0.092311258; * ;0.218219458;  ;0.550185636; * ;0.351397429;  ;0.076516175;  ;0.168467461; * ;0.112182884; * ;0.186502097;  ;0.313248735;  ;0.13720199;  ;; *    *      *  *       ;****;4; #    #      #  #       ;••••; |    |      |  |       ;||||
28;max.lines.per.function ;0.073530997;  ;0.140096299; * ;0.49860538; * ;0.217485747;  ;0.070472453;  ;0.119056042;  ;0.14314801;  ;0.142076365;  ;0.263247683;  ;0.097575677;  ;;   *  *               ;**;2;   #  #               ;••;   |  |               ;||
29;max.params ;0.166207503; * ;0.140096299; * ;0.435087818; * ;0.278252582;  ;0.054805707;  ;0.146833334;  ;0.152002074;  ;0.239515307; * ;0.247971274;  ;0.244291097; * ;; *  *  *          *    * ;*****;5; #  #  #          #    # ;•••••; |  |  |          |    | ;|||||
30;complexity ;0.07267835;  ;0.140096299; * ;0.459500795; * ;0.314396385;  ;0.07064098;  ;0.107611544;  ;0.164708009; * ;0.105329501;  ;0.289492878;  ;0.25559183; * ;;   *  *        *      * ;****;4;   #  #        #      # ;••••;   |  |        |      | ;||||
31;max.depth ;0.081643034; * ;0.205203167; * ;0.51220009; * ;0;;0.039217829;  ;0.105850722;  ;0.189986388; * ;0.241839322;  ;0.450922063;  ;0.25559183; * ;; *  *  *      *      * ;*****;5; #  #  #      #      # ;•••••; |  |  |      |      | ;|||||
32;max.nested.callbacks ;0.067292728; * ;0;;0.39450371;  ;0.185226826;  ;0.107275105;  ;0.115124204;  ;0.135092797;  ;0.121334542; * ;0.461875988; * ;0.111002941;  ;; *            *  *   ;***;3; #            #  #   ;•••; |            |  |   ;|||
33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;CS; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2; te2; issig2;;;;;;;;
36;CyclomaticComplexity ;0.096124704; ;0.203780116; ;0.520814614; *;0.306349469; ;0.098982172; ;0.062701015; ;0.049416289; ;0.185152648; ;0.373001921; ;0.059284674; ;;;;;;;;
37;NPathComplexity ;0.025915895; ;0.203780116; ;0.344639739; ;0.306349469; ;0.15856397; ;0.062701015; ;0.060071455; ;0.185152648; ;0.507971484; *;0.116535236; ;;;;;;;;
38;ExcessiveMethodLength ;0.034246123; ;0.280274141; ;0.254711301; ;0.306349469; ;0.092353105; ;0.074275738; ;0.053854513; ;0.185152648; ;0.476638504; *;0.130026943; ;;;;;;;;
39;ExcessiveClassLength ;0.092231742; ;0.187724376; ;0.297528384; ;0.170121243; ;0.146093388; ;0.075567302; ;0.114410159; ;0.11415877; ;0.398563326; ;0; ;;;;;;;;
40;ExcessiveParameterList ;0.07003744; ;0; ;0.314666127; ;0.287479817; ;0.111976563; ;0; ;0.084611102; ;0; ;0.392361009; ;0.047959204; ;;;;;;;;
41;ExcessivePublicCount ;0.048409682; ;0.348652491; ;0.281339038; ;0.192782517; ;0.141438042; ;0.093948695; ;0.071351278; ;0; ;0.365492541; ;0; ;;;;;;;;
42;TooManyFields ;0.026154824; ;0.249806242; ;0; ;0.162295812; ;0.221697375; *;0.098170446; ;0.151795121; ;0.09298384; ;0.264528798; ;0; ;;;;;;;;
