CS; cor_ts; p; sig
CyclomaticComplexity ; -0.82 ; 0.00018 ;   *
NPathComplexity ; -0.14 ; 0.61222 ; 
ExcessiveMethodLength ; -0.15 ; 0.60611 ; 
ExcessiveClassLength ; -0.14 ; 0.61761 ; 
ExcessiveParameterList ; 0.05 ; 0.85837 ; 
ExcessivePublicCount ; 0.08 ; 0.76833 ; 
TooManyFields ; -0.1 ; 0.71155 ; 
TooManyMethods ; -0.89 ; 1e-05 ;   *
TooManyPublicMethods ; -0.84 ; 9e-05 ;   *
ExcessiveClassComplexity ; -0.29 ; 0.28595 ; 
NumberOfChildren ; 0.04 ; 0.8885 ; 
DepthOfInheritance ; -0.46 ; 0.08226 ; 
CouplingBetweenObjects ; 0.56 ; 0.02857 ;   *
DevelopmentCodeFragment ; -0.89 ; 1e-05 ;   *
UnusedPrivateField ; 0.35 ; 0.20001 ; 
UnusedLocalVariable ; -0.09 ; 0.73647 ; 
UnusedPrivateMethod ; 0.76 ; 0.00099 ;   *
UnusedFormalParameter ; -0.87 ; 2e-05 ;   *
embed.JS ; -0.67 ; 0.00611 ;   *
inline.JS ; -0.63 ; 0.01115 ;   *
embed.CSS ; -0.7 ; 0.00376 ;   *
inline.CSS ; -0.46 ; 0.08162 ; 
css.in.JS ; -0.06 ; 0.82942 ; 
css.in.JS..jquery ; 0.74 ; 0.00152 ;   *
max.lines ; -0.82 ; 0.00019 ;   *
max.lines.per.function ; 0.89 ; 1e-05 ;   *
max.params ; 0.39 ; 0.14882 ; 
complexity ; -0.1 ; 0.71388 ; 
max.depth ; -0.65 ; 0.00843 ;   *
max.nested.callbacks ; 0.71 ; 0.00294 ;   *
