CS; cor_ts; p; sig
CyclomaticComplexity ; 0.16 ; 0.29972 ; 
NPathComplexity ; 0.11 ; 0.46423 ; 
ExcessiveMethodLength ; 0.17 ; 0.28043 ; 
ExcessiveClassLength ; 0.3 ; 0.04676 ;   *
ExcessiveParameterList ; 0.46 ; 0.00147 ;   *
ExcessivePublicCount ; 0.23 ; 0.12551 ; 
TooManyFields ; 0.23 ; 0.12901 ; 
TooManyMethods ; 0.24 ; 0.1107 ; 
TooManyPublicMethods ; 0.19 ; 0.22455 ; 
ExcessiveClassComplexity ; 0.12 ; 0.42233 ; 
NumberOfChildren ; 0.49 ; 0.00071 ;   *
DepthOfInheritance ; 0.01 ; 0.92587 ; 
CouplingBetweenObjects ; 0.42 ; 0.00422 ;   *
DevelopmentCodeFragment ; 0.47 ; 0.00129 ;   *
UnusedPrivateField ; -0.48 ; 0.00087 ;   *
UnusedLocalVariable ; -0.23 ; 0.13822 ; 
UnusedPrivateMethod ; 0.43 ; 0.00334 ;   *
UnusedFormalParameter ; 0.03 ; 0.85397 ; 
embed.JS ; -0.23 ; 0.12574 ; 
inline.JS ; -0.14 ; 0.37769 ; 
embed.CSS ; 0.41 ; 0.00639 ;   *
inline.CSS ; -0.05 ; 0.74712 ; 
css.in.JS ; -0.28 ; 0.06422 ; 
css.in.JS..jquery ; 0.12 ; 0.43233 ; 
max.lines ; -0.18 ; 0.24263 ; 
max.lines.per.function ; 0.03 ; 0.85293 ; 
max.params ; 0.58 ; 3e-05 ;   *
complexity ; 0.58 ; 4e-05 ;   *
max.depth ; 0.3 ; 0.04445 ;   *
max.nested.callbacks ; 0.52 ; 0.00031 ;   *
