1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p
24;inline.CSS ; 0.250942265034498 ; 0.673333333333333 ; 0.221663853311013 ; 0.966666666666667 ; 0.091126404576238 ; 0 ; 0.359865280335167 ; 0 ; 0.193796506477781 ; 0.873333333333333 ; 0.159604164604056 ; 0.803333333333333 ; 0.240640698658335 ; 0.386666666666667 ; 0.414182146626182 ; 0.226666666666667 ; 0 ; 0.816666666666667 ; 0.202685053648744 ; 0.793333333333333 
25;css.in.JS ; 0.206679294662236 ; 0.89 ; 0.0847384069949902 ; 1 ; 0.232276935733149 ; 0.79 ; 0.192095063455525 ; 0.933333333333333 ; 0.257462867439849 ; 0.223333333333333 ; 0.218893677147947 ; 0.743333333333333 ; 0.205857869136639 ; 0.933333333333333 ; 0.337631072090156 ; 0.363333333333333 ; 0 ; 0.993333333333333 ; 0.284168616308347 ; 0.586666666666667 
26;css.in.JS..jquery ; 0.17144516369871 ; 0.613333333333333 ; 0.0847384069949902 ; 0.98 ; 0.232276935733149 ; 0.79 ; 0.154001387409717 ; 1 ; 0.324867760805917 ; 0.726666666666667 ; 0.14107847237924 ; 1 ; 0.124493399055156 ; 0.996666666666667 ; 0.414182146626182 ; 0.25 ; 0 ; 0.966666666666667 ; 0.138105223006486 ; 0.826666666666667 
27;max.lines ; 0.188587390734559 ; 0.94 ; 0.190159473599825 ; 0.986666666666667 ; 0.091126404576238 ; 0 ; 0.287676009150968 ; 0.773333333333333 ; 0.222731882789217 ; 0.853333333333333 ; 0.154805909904453 ; 0.963333333333333 ; 0.181723127183884 ; 0.673333333333333 ; 0.467025395728635 ; 0.113333333333333 ; 0 ; 0.996666666666667 ; 0.185287800774302 ; 0.716666666666667 
28;max.lines.per.function ; 0.20444812412379 ; 0.993333333333333 ; 0.0847384069949902 ; 0 ; 0.091126404576238 ; 0.99 ; 0.359865280335167 ; 0.636666666666667 ; 0.157143339081158 ; 0.746666666666667 ; 0.143431537669647 ; 0.99 ; 0.155288625020902 ; 0.99 ; 0.228757830620912 ; 0.876666666666667 ; 0 ; 0.983333333333333 ; 0.238254964443077 ; 0.67 
29;max.params ; 0.224272077512102 ; 0.79 ; 0.0847384069949902 ; 0 ; 0.091126404576238 ; 0 ; 0.265014082096951 ; 0.896666666666667 ; 0.21594236502608 ; 0.666666666666667 ; 0.241177478279878 ; 0.876666666666667 ; 0.139825029994465 ; 0.996666666666667 ; 0.192344408152495 ; 0.933333333333333 ; 0 ; 0.99 ; 0.168444285533133 ; 0.753333333333333 
30;complexity ; 0.209821652285885 ; 0.826666666666667 ; 0.0847384069949902 ; 0 ; 0.091126404576238 ; 0 ; 0.265974312360848 ; 0.696666666666667 ; 0.129944530948244 ; 0.946666666666667 ; 0.166956399476577 ; 0.906666666666667 ; 0.15040283015221 ; 0.983333333333333 ; 0.395480877396031 ; 0.41 ; 0 ; 0.956666666666667 ; 0.167811828415401 ; 0.836666666666667 
31;max.depth ; 0.131680007646233 ; 0.666666666666667 ; 0.0993179325996625 ; 0 ; 0.091126404576238 ; 0 ; 0 ; 0 ; 0.171320226955634 ; 0.88 ; 0.236761858002313 ; 0.883333333333333 ; 0.113946976752397 ; 0 ; 0.204958276279669 ; 0.00333333333333333 ; 0 ; 0.983333333333333 ; 0.167811828415401 ; 0.836666666666667 
32;max.nested.callbacks ; 0.146822544621163 ; 0.463333333333333 ; 0 ; 0 ; 0.232276935733151 ; 0.856666666666667 ; 0.154001387409717 ; 0.993333333333333 ; 0.129944530948244 ; 0.943333333333333 ; 0.264186605142637 ; 0.853333333333333 ; 0.173629064513978 ; 0.913333333333333 ; 0.242849159872551 ; 0 ; 0 ; 0.926666666666667 ; 0.271744382795382 ; 0.986666666666667 
33;;;;;;;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;;;;;;;
35;CS; te2; p2; te2; p2; te2; p2; te2; p2; te2; p2; te2; p2; te2; p2; te2; p2; te2; p2; te2; p2
36;CyclomaticComplexity ; 0.101889534138045 ; 0.996666666666667 ; 0.172805023523752 ; 0.99 ; 0.293225396145097 ; 0.293333333333333 ; 0.45296495584467 ; 0.0633333333333333 ; 0.108805239352708 ; 0.993333333333333 ; 0.23015446804946 ; 0.52 ; 0.104525591301828 ; 0.993333333333333 ; 0.39275324055977 ; 0.03 ; 0.229191315500271 ; 0.363333333333333 ; 0.271636687976305 ; 0.146666666666667 
37;NPathComplexity ; 0.0898661398772557 ; 1 ; 0.172805023523752 ; 0.99 ; 0.412648524497897 ; 0.12 ; 0.45296495584467 ; 0.0633333333333333 ; 0.0411614138828005 ; 1 ; 0.244127061591792 ; 0.426666666666667 ; 0.124100009807218 ; 0.936666666666667 ; 0.39275324055977 ; 0.03 ; 0.229191315500271 ; 0.386666666666667 ; 0.229549180479013 ; 0.333333333333333 
