1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;107;;;;
25;css.in.JS ;0.119322063; * ;0.269256115; * ;0.374002136;  ;0.274674024; * ;0.104316324;  ;0.132594347;  ;0.195599012; * ;0.109706982;  ;0.521176734; * ;0.158655488;  ;; *  *    *      *    *   ;*****;5; #  #    #      #    #   ;•••••; |  |    |      |    |   ;|||||
26;css.in.JS..jquery ;0.121251948; * ;0.186787142;  ;0.361903298;  ;0.273820054; * ;0.103853485;  ;0.089505062;  ;0.158104362;  ;0.321254809; * ;0.356504816;  ;0.124466717;  ;; *      *        *     ;***;3; #      #        #     ;•••; |      |        |     ;|||
27;max.lines ;0.066276598;  ;0.269261188; * ;0.44413441; * ;0.292940579;  ;0.053772724;  ;0.198059797; * ;0.296436183; * ;0.19750677;  ;0.214459981;  ;0.046066844;  ;;   *  *      *  *       ;****;4;   #  #      #  #       ;••••;   |  |      |  |       ;||||
28;max.lines.per.function ;0.061736274;  ;0.131280346; * ;0.242590546;  ;0.439808974; * ;0.066103789;  ;0.107700022;  ;0.221399206; * ;0.283328482;  ;0.37630218;  ;0.180411109; * ;;   *    *      *      * ;****;4;   #    #      #      # ;••••;   |    |      |      | ;||||
29;max.params ;0.151733606; * ;0.131280346; * ;0.491630717; * ;0.439808974; * ;0.04083362;  ;0.076924013;  ;0.085361308;  ;0.170553283;  ;0.192283102;  ;0.339860979; * ;; *  *  *  *            * ;*****;5; #  #  #  #            # ;•••••; |  |  |  |            | ;|||||
30;complexity ;0.080494219; * ;0.131280346; * ;0.438149789; * ;0.166333061;  ;0.035422367;  ;0.162420968; * ;0.05129185;  ;0.183391024;  ;0.483243865;  ;0.124466717;  ;; *  *  *      *         ;****;4; #  #  #      #         ;••••; |  |  |      |         ;||||
31;max.depth ;0.109252756; * ;0.240621413; * ;0.286333118;  ;0;;0.091016796;  ;0.102318078;  ;0.066226171; * ;0.310745177; * ;0.233592481;  ;0.124466717;  ;; *  *        *  *     ;****;4; #  #        #  #     ;••••; |  |        |  |     ;||||
32;max.nested.callbacks ;0.094093153; * ;0;;0.470487334; * ;0.236073935;  ;0.04083362;  ;0.070690363;  ;0.259345306; * ;0.099327392; * ;0.302085229;  ;0.152860089;  ;; *  *        *  *     ;****;4; #  #        #  #     ;••••; |  |        |  |     ;||||
33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
