1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;phppgadmin;phppgadmin sig _;mediawiki;mediawiki sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;48;;;;
2;CS; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig; te; issig;;;;;;;;
15;CouplingBetweenObjects ;0.109914732;  ;0;;0;;0.189680824;  ;0;;0.220687665; * ;0.141036805;  ;0.13785485;  ;0.194580902;  ;0.343314479;  ;0.601591904; * ;0.180133644;  ;;   *          *   ;**;2;   #          #   ;••;   |          |   ;||
16;DevelopmentCodeFragment ;0.037884711;  ;0.167853238;  ;0.580976145;  ;0.328571137;  ;0;  ;0.196285247;  ;0.184463173;  ;0.16424385;  ;0.194259077;  ;0;;0.621679169;  ;0;  ;;                  ;;0;                  ;;                  ;
17;UnusedPrivateField ;0.099248874;  ;0;  ;0.486780166;  ;0;  ;0;  ;0.159603648;  ;0.131010923;  ;0.234690279;  ;0.210892756;  ;0;;0.299713543;  ;0;  ;;                  ;;0;                  ;;                  ;
18;UnusedLocalVariable ;0.118976996;  ;0.219415396;  ;0.6148969;  ;0.353157638;  ;0.633530442;  ;0.205310453;  ;0.19518092;  ;0.260836227;  ;0.255585721;  ;0.181292884;  ;0.504784832;  ;0.160147805;  ;;                    ;;0;                    ;;                    ;
19;UnusedPrivateMethod ;0.116219591;  ;0;  ;0.486780166; * ;0;;0;  ;0.104227142;  ;0.144033944;  ;0.226145804;  ;0.325495085; * ;0;;0.447763483;  ;0;;; *          *   ;**;2; #          #   ;••; |          |   ;||
20;UnusedFormalParameter ;0.096462285;  ;0.190171523;  ;0.546470225;  ;0.154915001;  ;0.387468746; * ;0.16660665;  ;0.252280577;  ;0.245759011; * ;0.229217165;  ;0.321157512; * ;0.386529228; * ;0.157017693;  ;;     *      *    *  *   ;****;4;     #      #    #  #   ;••••;     |      |    |  |   ;||||
21;embed.JS ;0.183496105;  ;0.383908708; * ;0.278195155;  ;0.274371279;  ;0.582680649;  ;0.241968395; * ;0.257315801;  ;0.349501469;  ;0.194263685;  ;0.24306629;  ;0.505168656;  ;0.319243944; * ;;       *            * ;**;2;       #            # ;••;       |            | ;||
22;inline.JS ;0.099688672;  ;0.178960323;  ;0.397152439; * ;0.210177147;  ;0.612023192;  ;0.228572148;  ;0.263421484;  ;0.271416742;  ;0.239759332; * ;0.225099807;  ;0.368221412;  ;0;  ;; *            *       ;**;2; #            #       ;••; |            |       ;||
23;embed.CSS ;0.12252168;  ;0.267805014;  ;0.492529491;  ;0.311667891; * ;0;;0.122041423;  ;0.197207025;  ;0.158023207;  ;0.121921478;  ;0.227311754;  ;0.505168656;  ;0.228132676;  ;;   *               ;*;1;   #               ;•;   |               ;|
24;inline.CSS ;0.122188625;  ;0.389843581;  ;0.486780166;  ;0.192516177; * ;0.66245357; * ;0.195705751; * ;0.191968998;  ;0.21824531;  ;0.208136026;  ;0.381252335;  ;0.423002816;  ;0.256912121; * ;;   *  *  *            * ;****;4;   #  #  #            # ;••••;   |  |  |            | ;||||
25;css.in.JS ;0.092343144;  ;0.405999683;  ;0.588916917;  ;0.18072759; * ;0.629421998; * ;0.210059202;  ;0.244004086;  ;0.255234683;  ;0.255844217;  ;0.146969342;  ;0.482976317;  ;0.21463355;  ;;   *  *               ;**;2;   #  #               ;••;   |  |               ;||
26;css.in.JS..jquery ;0.084493909;  ;0.10242631;  ;0.660615135; * ;0.186960493;  ;0;;0.147271009;  ;0.205371571;  ;0.334624154;  ;0.133832845;  ;0.227311754;  ;0.388939426;  ;0.155249219;  ;; *                 ;*;1; #                 ;•; |                 ;|
27;max.lines ;0.078287794;  ;0.111035601;  ;0.486780166; * ;0.180186925;  ;0.688108891; * ;0.183596432; * ;0.182407511;  ;0.187035488;  ;0.148445092;  ;0.462389453; * ;0.318896905;  ;0.142290907;  ;; *    *  *        *     ;****;4; #    #  #        #     ;••••; |    |  |        |     ;||||
28;max.lines.per.function ;0.083531875;  ;0.080202;  ;0.654293839;  ;0.207032169;  ;0.65413728;  ;0.225160611; * ;0.236157971;  ;0.255522731;  ;0.133243253;  ;0.297017135;  ;0.546212898;  ;0.29228812;  ;;       *             ;*;1;       #             ;•;       |             ;|
29;max.params ;0.078166455;  ;0.098738602;  ;0.397152439; * ;0.193936487;  ;0.513002545;  ;0.175172424;  ;0.189607477;  ;0.251334612;  ;0.155402351;  ;0.368447977;  ;0.442727054;  ;0.270249409; * ;; *                  * ;**;2; #                  # ;••; |                  | ;||
30;complexity ;0.080703603;  ;0.098738602;  ;0.486780166; * ;0.249267725;  ;0.581439219;  ;0.214062892;  ;0.189607477;  ;0.133534226;  ;0.119498993;  ;0.530782705; * ;0.539804802;  ;0.120625299;  ;; *              *     ;**;2; #              #     ;••; |              |     ;||
