CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _;;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _;;;;;;;phpmyadmin;dokuwiki;opencart;phpbb;prestashop;vanilla;dolibarr;roundcubemail;openemr;kanboard;;min;max;avg;dp
CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p;;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;;;;;;;;;;;;;;;;;;;;;
CyclomaticComplexity ;0.15293316;0.63;0.689894811;0.056666667;0.343103545;0.75;0.276545579;0.983333333;0.210928296;0.583333333;0.243481223;0.006666667;0.177386159;0.513333333;0.372439812;0.52;0.35033127;0.816666667;0.24548837;0.643333333;;;;;°;;;;;;;*;;;;;;;;;;;*;•;°;•°;;;0.689894811;;;;0.243481223;;;;;;0.243481223;0.689894811;0.466688017;0.315662075
NPathComplexity ;0.133803622;0.813333333;0.689894811;0.056666667;0.194425171;0.996666667;0.276545579;0.983333333;0.223889223;0.396666667;0.240824376;0.006666667;0.170971212;0.463333333;0.372439812;0.52;0.35033127;0.706666667;0.291861991;0.343333333;;;;;°;;;;;;;*;;;;;;;;;;;*;•;°;•°;;;0.689894811;;;;0.240824376;;;;;;0.240824376;0.689894811;0.465359593;0.31754075
ExcessiveMethodLength ;0.113480478;0;0.555730131;0.256666667;0.343103545;0;0.276545579;0.983333333;0.208310228;0.44;0.298596253;0.4;0.310623933;0.233333333;0.372439812;0.52;0.222514819;0.85;0.321453468;0.04;;*;;;;*;;;;;;;;;;;;;;*;;;***;•••;;•••;;0.113480478;;0.343103545;;;;;;;0.321453468;;0.113480478;0.343103545;0.25934583;0.126786068
ExcessiveClassLength ;0.152546755;0.63;0.416394365;0.77;0.405716533;0.106666667;0.336701776;0.836666667;0.269074565;0.48;0.204736946;0.81;0.152300921;0.94;0.199784152;0.816666667;0.35033127;0.666666667;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
ExcessiveParameterList ;0.093682255;0.62;0;0;0.488310279;0.513333333;0.444248777;0.66;0.344383585;0.383333333;0;0;0.212020684;0.846666667;0;0;0.35033127;0;0.228762336;0.353333333;;;;;;;;;;;;;;;;;;*;;;;;*;•;;•;;;;;;;;;;0.35033127;;;0.35033127;0.35033127;0.35033127;#DIV/0!
ExcessivePublicCount ;0.136283406;0.783333333;0.56371892;0.236666667;0.343103545;0.943333333;0.352095381;0.923333333;0.174247851;0.626666667;0.237097731;0.45;0.312399154;0.326666667;0;0;0.475922302;0.243333333;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
TooManyFields ;0.112255557;0.846666667;0.547995481;0.263333333;1;  all cs=1 ;0.494049216;0.783333333;0.221126062;0.74;0.263854208;0.66;0.271791688;0.373333333;0.164134371;0.926666667;0.475922302;0.243333333;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
TooManyMethods ;0.205040243;0.68;0.555730131;0.276666667;0.343103545;0.943333333;0.336701776;0.92;0.182342125;0.773333333;0.313240515;0.37;0.222675529;0.626666667;0.164134371;0.926666667;0.35033127;0;0;0;;;;;;;;;;;;;;;;;;*;;;;;*;•;;•;;;;;;;;;;0.35033127;;;0.35033127;0.35033127;0.35033127;#DIV/0!
TooManyPublicMethods ;0.134679047;0.646666667;0.619875375;0.133333333;0.343103545;0;0.334197162;0.916666667;0.243239287;0.156666667;0.284052335;0.59;0.338865469;0.106666667;0.269576622;0.746666667;0.475922302;0.423333333;0.29067597;0.163333333;;;;;;*;;;;;;;;;;;;;;;;;*;•;;•;;;;0.343103545;;;;;;;;;0.343103545;0.343103545;0.343103545;#DIV/0!
ExcessiveClassComplexity ;0.15770385;0.596666667;0.623697565;0.053333333;0.40665153;0.383333333;0.336701776;0.836666667;0.252140632;0.456666667;0.240956748;0.006666667;0.272319029;0;0.215865787;0.86;0.475922302;0.416666667;0.323018295;0.12;;;;;°;;;;;;;*;;*;;;;;;;;;**;••;°;••°;;;0.623697565;;;;0.240956748;0.272319029;;;;;0.240956748;0.623697565;0.378991114;0.212501373
NumberOfChildren ;0.144201972;0.973333333;0;0;0;0;0.268166516;0.976666667;0.238369479;0.383333333;0.245535607;0.73;0.229450701;0.51;1;  all cs=1 ;0.35033127;0.53;0.266691931;0.22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
DepthOfInheritance ;0;0;0;0;0;0;0;0;0.012740759;0.83;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
CouplingBetweenObjects ;0.164453885;0.953333333;0;0;0;0;0.187116811;0.856666667;0.331520227;0.42;0.191280585;0.82;0.232657977;0.64;0.269576622;0.746666667;0.475922302;0.366666667;0.287191899;0.153333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;#DIV/0!;#DIV/0!
DevelopmentCodeFragment ;0.110113768;0.03;0.519856338;0.376666667;0.40665153;0.79;0.276545579;0.983333333;0.31408969;0.383333333;0.225447221;0.573333333;0.222168815;0.56;0;0;0.475922302;0.48;0;0;;*;;;;;;;;;;;;;;;;;;;;;*;•;;•;;0.110113768;;;;;;;;;;;0.110113768;0.110113768;0.110113768;#DIV/0!
UnusedPrivateField ;0.213350787;0.11;0;0;0.343103545;0;0;0;0.244971884;0.203333333;0.19647195;0.996666667;0.107243145;0.993333333;0;0;0.475922302;0.47;0;0;;;;;;*;;;;;;;;;;;;;;;;;*;•;;•;;;;0.343103545;;;;;;;;;0.343103545;0.343103545;0.343103545;#DIV/0!
UnusedLocalVariable ;0.166335975;0.753333333;0.516804692;0.303333333;0.298113653;0.963333333;0.37267729;0.956666667;0.238546606;0.8;0.27077191;0.006666667;0.169686777;0.563333333;0.215865787;0.86;0.35033127;0.756666667;0.224424004;0.52;;;;;;;;;;;;*;;;;;;;;;;;*;•;;•;;;;;;;0.27077191;;;;;;0.27077191;0.27077191;0.27077191;#DIV/0!
