1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;29;;;;
2;CyclomaticComplexity ;0.83259313; ;0.138125312; ;0.757035687; ;0.08353115; ;0.924198217; ;3.57E-05; *;0.509491451; ;0.98004185; ;0.552709686; ;0.391183755; ;;      *    ;*;1;      #    ;•;      |    ;|
3;NPathComplexity ;0.68588397; ;0.099798891; ;0.600414846; ;0.058518206; ;0.942129144; ;0.048534914; *;0.780731076; ;0.959568021; ;0.531043193; ;0.802126202; ;;      *    ;*;1;      #    ;•;      |    ;|
4;ExcessiveMethodLength ;0.532994783; ;0.103058409; ;0.429565389; ;0.078041697; ;0.919226491; ;0.030192181; *;0.59093664; ;0.968448806; ;0.150601594; ;0.486768968; ;;      *    ;*;1;      #    ;•;      |    ;|
5;ExcessiveClassLength ;0.028337737; *;0.286120164; ;0.414197775; ;0.017292703; *;0.792985803; ;0.214448093; ;0.761918248; ;0.893281171; ;0.586493122; ;1;;; *   *     ;**;2; #   #     ;••; |   |     ;||
6;ExcessiveParameterList ;0.301236505; ;1;;1;;0.01690854; *;0.828557605; ;1;;0.125172791; ;1;;0.441961558; ;0.973012156; ;;  *    ;*;1;  #    ;•;  |    ;|
7;ExcessivePublicCount ;0.24297838; ;0.101486417; ;0.618121106; ;0.069367834; ;0.839607498; ;0.68283925; ;0.645278129; ;1;;0.427437421; ;1;;;        ;;0;        ;;        ;
8;TooManyFields ;0.567050344; ;0.386537134; ;1;;0.040345765; *;0.862581927; ;0.58435789; ;0.318124293; ;1;;0.46059531; ;1;;;   *    ;*;1;   #    ;•;   |    ;|
9;TooManyMethods ;0.37640181; ;0.576814594; ;0.627796032; ;0.158342865; ;0.820489605; ;0.005603802; *;0.485071566; ;0.87024586; ;0.660109882; ;1;;;      *   ;*;1;      #   ;•;      |   ;|
10;TooManyPublicMethods ;0.056318166; ;0.198597615; ;0.795997875; ;0.149405026; ;0.959051834; ;0.096697942; ;0.388534076; ;0.954110436; ;0.587216148; ;0.753306707; ;;          ;;0;          ;;          ;
11;ExcessiveClassComplexity ;0.191244313; ;0.057441663; ;0.72033021; ;0.00612338; *;0.902794897; ;0.280887337; ;0.796851418; ;0.916403454; ;0.329946211; ;0.559681152; ;;    *      ;*;1;    #      ;•;    |      ;|
