1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _;;total sig;;40;;;;
2;CyclomaticComplexity ;0.917422949; ;0.202592432; ;0.561409228; ;0.045940281; *;0.911190717; ;1.31E-05; *;0.391666796; ;0.937299787; ;0.989600717; ;0.006730374; *;;    *  *    *;***;3;    #  #    #;•••;    |  |    |;|||
3;NPathComplexity ;0.954390351; ;0.20305011; ;0.744242159; ;0.035985512; *;0.925623239; ;0.039161563; *;0.884388924; ;0.994213639; ;0.748963017; ;0.570331517; ;;    *  *    ;**;2;    #  #    ;••;    |  |    ;||
4;ExcessiveMethodLength ;0.777633606; ;0.12067057; ;0.748212697; ;0.050376792; ;0.904215994; ;0.006231043; *;0.731660308; ;0.918968743; ;0.123802347; ;0.001997909; *;;      *    *;**;2;      #    #;••;      |    |;||
5;ExcessiveClassLength ;0.131025978; ;0.052715671; ;0.032749634; *;0.173104799; ;0.807820845; ;0.146307557; ;0.859310926; ;0.666094907; ;0.166112328; ;1;;;   *      ;*;1;   #      ;•;   |      ;|
6;ExcessiveParameterList ;0.453747569; ;1;;1;;0.045809357; *;0.757859528; ;1;;0.045279609; *;1;;0.016784872; *;0.879123743; ;;  *  * * ;***;3;  #  # # ;•••;  |  | | ;|||
7;ExcessivePublicCount ;0.693701892; ;0.331596117; ;0.587759429; ;0.054690115; ;0.824134058; ;0.606213297; ;0.449111041; ;1;;0.737145352; ;1;;;        ;;0;        ;;        ;
8;TooManyFields ;0.901048731; ;0.026191407; *;1;;0.057858963; ;0.852697698; ;0.489316121; ;0.233042919; ;1;;0.594271197; ;1;;;  *     ;*;1;  #     ;•;  |     ;|
9;TooManyMethods ;0.945032734; ;0.264407977; ;0.594855318; ;0.329638979; ;0.639047985; ;0.122928545; ;0.831290046; ;0.660435101; ;0.910108509; ;1;;;         ;;0;         ;;         ;
10;TooManyPublicMethods ;0.254488291; ;0.375558451; ;0.893390957; ;0.625004066; ;0.950632057; ;0.059281657; ;0.606102936; ;0.885718063; ;0.597352428; ;0.003021782; *;;          *;*;1;          #;•;          |;|
11;ExcessiveClassComplexity ;0.191245746; ;0.213593986; ;0.339667994; ;0.257711136; ;0.889313991; ;0.416391345; ;0.465755471; ;0.841880509; ;0.012059172; *;0.052706271; ;;         * ;*;1;         # ;•;         | ;|
