1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;phppgadmin;phppgadmin p _;mediawiki;mediawiki p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _
2;CS; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p; te; p
3;CyclomaticComplexity ; 0.119843626933692 ; 0.64 ; 0.329871860597197 ; 0.5 ; 0.469960497930826 ; 0.396666666666667 ; 0.424177770838313 ; 0.0633333333333333 ; 0.40839815625991 ; 0.836666666666667 ; 0.217946496907837 ; 0.733333333333333 ; 0.225903419268995 ; 0.636666666666667 ; 0.241530620215017 ; 0.00333333333333333 ; 0.317955172040683 ; 0.293333333333333 ; 0.185944148492932 ; 0.833333333333333 ; 0.293191701680092 ; 0.936666666666667 ; 0.205359898044353 ; 0.646666666666667 
4;NPathComplexity ; 0.0858840105089529 ; 0.92 ; 0.388437891969237 ; 0.123333333333333 ; 0.604644055886778 ; 0.183333333333333 ; 0.362681580002217 ; 0.18 ; 0.316984817005878 ; 0.873333333333333 ; 0.256471465081458 ; 0.516666666666667 ; 0.225903419268995 ; 0.68 ; 0.248792297760375 ; 0.00333333333333333 ; 0.217692473842906 ; 0.566666666666667 ; 0.185944148492932 ; 0.833333333333333 ; 0.36452733871838 ; 0.813333333333333 ; 0.178338662411247 ; 0.743333333333333 
5;ExcessiveMethodLength ; 0.0843383180132958 ; 0 ; 0.299833914116562 ; 0.523333333333333 ; 0.469960497930826 ; 0 ; 0.426284525631081 ; 0.0766666666666667 ; 0.36798656059931 ; 0.833333333333333 ; 0.219212784751064 ; 0.73 ; 0.241020169225965 ; 0.66 ; 0.294104014854252 ; 0.423333333333333 ; 0.313970078236338 ; 0.09 ; 0.185944148492932 ; 0.833333333333333 ; 0.49763088703843 ; 0.243333333333333 ; 0.191507083003275 ; 0.33 
6;ExcessiveClassLength ; 0.162621519789545 ; 0.283333333333333 ; 0.42419927706593 ; 0.13 ; 0.409955555580914 ; 0.1 ; 0.17655476226119 ; 0.923333333333333 ; 0.214616400260154 ; 0.993333333333333 ; 0.159512951189559 ; 0.643333333333333 ; 0.274587660371781 ; 0.626666666666667 ; 0.218604406593318 ; 0.71 ; 0.283511709766067 ; 0.636666666666667 ; 0.234343508804079 ; 0.56 ; 0.299191857705241 ; 0.973333333333333 ; 0 ; 0 
7;ExcessiveParameterList ; 0.115621850945505 ; 0.176666666666667 ; 0 ; 0 ; 0.521093653944073 ; 0.386666666666667 ; 0.227582123092054 ; 0.8 ; 0.36798656059931 ; 0.87 ; 0.149681123351814 ; 0.833333333333333 ; 0.232999038819818 ; 0.78 ; 0 ; 0 ; 0.295261452233972 ; 0.0866666666666667 ; 0 ; 0 ; 0.343173529655235 ; 0.97 ; 0.163132098324725 ; 0.566666666666667 
8;ExcessivePublicCount ; 0.131155918672898 ; 0.54 ; 0.314977002526163 ; 0.1 ; 0.520816215244983 ; 0.466666666666667 ; 0.330140592673615 ; 0.686666666666667 ; 0.389174088190078 ; 0.706666666666667 ; 0.117315933109114 ; 0.996666666666667 ; 0.307959004270798 ; 0.393333333333333 ; 0.249104914489027 ; 0.396666666666667 ; 0.243658128653008 ; 0.506666666666667 ; 0 ; 0 ; 0.36476958557546 ; 0.68 ; 0 ; 0 
9;TooManyFields ; 0.076759361886729 ; 0.893333333333333 ; 0.262166483207611 ; 0.17 ; 1 ;  all cs=1 ; 0.162044275115783 ; 0.94 ; 0 ; 0 ; 0.238135621823347 ; 0.756666666666667 ; 0.307363139882104 ; 0.293333333333333 ; 0.304330419471165 ; 0.486666666666667 ; 0.32694984354019 ; 0.11 ; 0.221664753291433 ; 0.646666666666667 ; 0.364419036340308 ; 0.773333333333333 ; 0 ; 0 
10;TooManyMethods ; 0.20927306327897 ; 0.4 ; 0.284274190695594 ; 0.216666666666667 ; 0.520816215244983 ; 0.466666666666667 ; 0.334964161123635 ; 0.59 ; 0.314750399651054 ; 0.923333333333333 ; 0.143707176454019 ; 0.936666666666667 ; 0.280218989776583 ; 0.66 ; 0.241252357655521 ; 0.673333333333333 ; 0.313849202998217 ; 0.263333333333333 ; 0.221664753291433 ; 0.646666666666667 ; 0.298884344762438 ; 0 ; 0 ; 0 
11;TooManyPublicMethods ; 0.129483643283323 ; 0.43 ; 0.302261014102836 ; 0.106666666666667 ; 0.469960497930826 ; 0 ; 0.232967356446386 ; 0.646666666666667 ; 0.252455780160419 ; 0 ; 0.163298929793436 ; 0.856666666666667 ; 0.232865477167589 ; 0.646666666666667 ; 0.202811896825561 ; 0.863333333333333 ; 0.240974349134004 ; 0.67 ; 0.230312656595805 ; 0.643333333333333 ; 0.41349277754039 ; 0.843333333333333 ; 0.320154222230395 ; 0.0433333333333333 
