CS; cor_ts; p; sig
CyclomaticComplexity ; -0.88 ; 3e-05 ;   *
NPathComplexity ; -0.28 ; 0.32848 ; 
ExcessiveMethodLength ; 0.01 ; 0.96164 ; 
ExcessiveClassLength ; -0.32 ; 0.26001 ; 
ExcessiveParameterList ; 0.27 ; 0.35183 ; 
ExcessivePublicCount ; -0.04 ; 0.90327 ; 
TooManyFields ; -0.25 ; 0.39168 ; 
TooManyMethods ; -0.89 ; 2e-05 ;   *
TooManyPublicMethods ; -0.93 ; 0 ;   *
ExcessiveClassComplexity ; -0.54 ; 0.0474 ;   *
NumberOfChildren ; -0.14 ; 0.62433 ; 
DepthOfInheritance ; -0.47 ; 0.09186 ; 
CouplingBetweenObjects ; 0.39 ; 0.17376 ; 
DevelopmentCodeFragment ; -0.87 ; 5e-05 ;   *
UnusedPrivateField ; 0.29 ; 0.30764 ; 
UnusedLocalVariable ; 0.16 ; 0.57886 ; 
UnusedPrivateMethod ; 0.71 ; 0.00412 ;   *
UnusedFormalParameter ; -0.81 ; 0.00041 ;   *
embed.JS ; -0.71 ; 0.00437 ;   *
inline.JS ; -0.67 ; 0.00886 ;   *
embed.CSS ; -0.72 ; 0.00338 ;   *
inline.CSS ; -0.5 ; 0.06901 ; 
css.in.JS ; -0.2 ; 0.49513 ; 
css.in.JS..jquery ; 0.75 ; 0.002 ;   *
max.lines ; -0.83 ; 0.00021 ;   *
max.lines.per.function ; 0.91 ; 1e-05 ;   *
max.params ; 0.46 ; 0.1014 ; 
complexity ; -0.17 ; 0.5622 ; 
max.depth ; -0.69 ; 0.00587 ;   *
max.nested.callbacks ; 0.83 ; 0.00021 ;   *
