id;version1;version2;date1;date2;count
112;1.23.1;1.23.2;2014-06-25;2014-07-30;1
113;1.23.2;1.23.3;2014-07-30;2014-08-27;1
114;1.23.3;1.23.4;2014-08-27;2014-09-24;2
115;1.23.4;1.23.5;2014-09-24;2014-10-01;0
116;1.23.5;1.23.6;2014-10-01;2014-10-29;2
118;1.23.6;1.24.0;2014-10-29;2014-11-27;0
119;1.24.0;1.24.1;2014-11-27;2014-12-17;0
120;1.24.1;1.24.2;2014-12-17;2015-03-31;4
122;1.24.2;1.25.1;2015-03-31;2015-05-25;0
123;1.25.1;1.25.2;2015-05-25;2015-08-10;1
124;1.25.2;1.25.3;2015-08-10;2015-10-16;2
125;1.25.3;1.26.0;2015-10-16;2015-11-25;0
126;1.26.0;1.26.1;2015-11-25;2015-12-18;3
127;1.26.1;1.26.2;2015-12-18;2015-12-20;2
128;1.26.2;1.26.3;2015-12-20;2016-05-20;2
129;1.26.3;1.27.0;2016-05-20;2016-06-28;7
130;1.27.0;1.27.1;2016-06-28;2016-08-23;1
131;1.27.1;1.28.0;2016-08-23;2016-11-28;5
132;1.28.0;1.28.1;2016-11-28;2017-04-06;1
133;1.28.1;1.28.2;2017-04-06;2017-04-30;1
134;1.28.2;1.29.0;2017-04-30;2017-07-13;3
135;1.29.0;1.29.1;2017-07-13;2017-08-23;2
136;1.29.1;1.29.2;2017-08-23;2017-11-14;2
137;1.29.2;1.30.0;2017-11-14;2017-12-08;1
138;1.30.0;1.31.0;2017-12-08;2018-06-13;10
139;1.31.0;1.31.1;2018-06-13;2018-09-20;5
140;1.31.1;1.32.0;2018-09-20;2019-01-10;5
141;1.32.0;1.32.1;2019-01-10;2019-02-14;0
142;1.32.1;1.32.2;2019-02-14;2019-06-06;3
144;1.32.2;1.33.0;2019-06-06;2019-07-02;3
145;1.33.0;1.33.1;2019-07-02;2019-10-07;2
146;1.33.1;next;2019-10-07;2019-12-19;1
