id;version1;version2;date1;date2;count
2;0.1.0;0.5.0;2002-02-11;2002-12-14;0
3;0.5.0;0.6.0;2002-12-14;2002-12-24;0
4;0.6.0;0.6.5;2002-12-24;2003-01-17;0
5;0.6.5;3.0.1;2003-01-17;2003-08-13;0
6;3.0.1;3.2.1;2003-08-13;2003-12-03;0
7;3.2.1;3.3.1;2003-12-03;2004-03-07;0
8;3.3.1;3.4.1;2004-03-07;2004-07-01;0
9;3.4.1;3.5.1;2004-07-01;2004-12-13;0
10;3.5.1;3.5.2;2004-12-13;2005-02-18;0
11;3.5.2;3.5.3;2005-02-18;2005-04-16;0
12;3.5.3;3.5.4;2005-04-16;2005-07-15;0
13;3.5.4;3.5.5;2005-07-15;2005-08-12;0
14;3.5.5;3.5.6;2005-08-12;2005-10-18;0
15;3.5.6;4.0.1;2005-10-18;2005-11-23;0
16;4.0.1;4.1.1;2005-11-23;2007-03-24;0
17;4.1.1;4.1.2;2007-03-24;2007-06-01;0
18;4.1.2;4.1.3;2007-06-01;2007-07-11;0
19;4.1.3;4.2.1;2007-07-11;2008-08-02;0
20;4.2.1;4.2.2;2008-08-02;2008-12-18;0
21;4.2.2;4.2.3;2008-12-18;2010-03-23;0
22;4.2.3;5.0.0;2010-03-23;2010-11-29;0
23;5.0.0;5.0.1;2010-11-29;2010-12-13;0
24;5.0.1;5.0.2;2010-12-13;2011-01-03;0
25;5.0.2;5.0.3;2011-01-03;2011-10-03;2
26;5.0.3;5.0.4;2011-10-03;2012-03-22;0
27;5.0.4;5.1.0;2012-03-22;2013-04-14;11
28;5.1.0;5.6.0;2013-04-14;2018-11-12;39
29;5.6.0;7.12.0;2018-11-12;2019-09-28;10
30;7.12.0;next;2019-09-28;2019-12-09;22
