1;CS;phpmyadmin;phpmyadmin_sig;dokuwiki;dokuwiki sig _;opencart;opencart sig _;phpbb;phpbb sig _;phppgadmin;phppgadmin sig _;mediawiki;mediawiki sig _;prestashop;prestashop sig _;vanilla;vanilla sig _;dolibarr;dolibarr sig _;roundcubemail;roundcubemail sig _;openemr;openemr sig _;kanboard;kanboard sig _
2;CS; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig; r^2; issig
3;CyclomaticComplexity ; 0.0633972814723311 ; *; 0.0451439589582047 ; ; 0.0866902041838205 ; ; 0.170764356674899 ; *; 0.013471163601374 ; ; 0.212999095892412 ; *; 0.0544014640226835 ; *; 0.00231180470894439 ; ; 0.159083105989332 ; *; 0.0371251094588606 ; ; 0.0158910556538818 ; ; 0.31313274446429 ; *
4;NPathComplexity ; 0.0452288446523625 ; *; 0.0208938860890214 ; ; 0.046621940212154 ; ; 0.182012371615672 ; *; 0.00418893658604378 ; ; 0.220235994116391 ; *; 0.0626437569632617 ; *; 0.0316130589770666 ; ; 0.179133674847134 ; *; 0.0313414635850299 ; ; 0.0556423063422209 ; ; 0.366398396783564 ; *
5;ExcessiveMethodLength ; 0.130714154396106 ; *; 0.0166311817794495 ; ; 0.152554940087688 ; *; 0.177487959512554 ; *; 0.0907001008122324 ; ; 0.213567502203531 ; *; 0.057873351600881 ; *; 0.134130091252216 ; *; 0.233745469375703 ; *; 0.0390354330321275 ; ; 0.0085336150284061 ; ; 0.00864792048934871 ; 
6;ExcessiveClassLength ; 0.17728191501626 ; *; 0.0177796512101944 ; ; 0.0111257011061728 ; ; 0.143274319452259 ; *; 0.0676605267295565 ; ; 0.277793819363581 ; *; 0.031184032314958 ; ; 0.165656713509422 ; *; 0.00923942291870177 ; ; 0.088322281995919 ; ; 0.0555454839158352 ; ; 0 ; unique <=2
7;ExcessiveParameterList ; 0.0674669127645552 ; *; 0 ; unique <=2; 0.00661610736897339 ; ; 0.195110874600337 ; *; 0.045209831575458 ; ; 0.237652011913279 ; *; 0.0177378897096207 ; ; 0 ; ; 0.213257723850092 ; *; 0 ; unique <=2; 0.000328877565167532 ; ; 0.00235431648347525 ; 
8;ExcessivePublicCount ; 0.0932626489369131 ; *; 0.0394997912420263 ; ; 0.211420112326708 ; *; 0.0128587418159846 ; ; 0.0115278463836684 ; ; 0.0251751297294193 ; ; 0.0375321809887731 ; ; 0.00375108085029893 ; ; 0.203745706018058 ; *; 0 ; unique <=2; 0.0827787325495979 ; ; 0 ; 
9;TooManyFields ; 0.0146894130422967 ; ; 0.0302954536572717 ; ; 1 ; ; 0.0623628090455146 ; ; 0 ; unique <=2; 0.206665355803793 ; *; 0.0237819865004593 ; ; 0.0227114510365595 ; ; 0.275480175820238 ; *; 0.0555369518862706 ; ; 0.0504651817023669 ; ; 0 ; unique <=2
10;TooManyMethods ; 0.036369448336035 ; *; 0.0363280945323171 ; ; 0.23827253302106 ; *; 0.0369838487728326 ; ; 0.0254806365050977 ; ; 0.238714849331716 ; *; 0.029114245302377 ; ; 0.00173595815536676 ; ; 0.354560383826907 ; *; 0.0954598498914491 ; ; 0.146462959062286 ; *; 0 ; unique <=2
11;TooManyPublicMethods ; 0.187717818413761 ; *; 0.0673581306087093 ; ; 0.0420084447267586 ; ; 0.0440138554269978 ; ; 0.0362729296402946 ; ; 0.0181975049557623 ; ; 0.0531447958824871 ; *; 0.0317063573218357 ; ; 0.211446775095546 ; *; 0.047922508250234 ; ; 0.110650463435027 ; ; 0.0200279174703367 ; 
12;ExcessiveClassComplexity ; 0.181476974953023 ; *; 0.0291434273951982 ; ; 0.00364719161894073 ; ; 0.144541896797638 ; *; 0.0674878209870356 ; ; 0.262117511713606 ; *; 0.0620471914772797 ; *; 0.00337492250386096 ; ; 0.0592790123330049 ; *; 0.0511955570194893 ; ; 0.00580221004809104 ; ; 0.137246748019875 ; *
13;NumberOfChildren ; 0.244161060863999 ; *; 0 ; unique <=2; 0 ; unique <=2; 0.00161201270782701 ; ; 0 ; unique <=2; 0.242790202076268 ; *; 0.000259650355778498 ; ; 2.12550764021209e-06 ; ; 0.00153889980158346 ; ; 1 ; ; 0.00581497041182622 ; ; 0.0454829447737624 ; 
14;DepthOfInheritance ; 0 ; ; 0 ; ; 0 ; ; 0 ; ; 0.256242721385172 ; *; 0 ; ; 8.65377379342724e-05 ; ; 0 ; ; 0 ; ; 0 ; ; 0 ; unique <=2; 0 ; 
15;CouplingBetweenObjects ; 0.0480373212644079 ; *; 0 ; unique <=2; 0 ; unique <=2; 0.00164843424457184 ; ; 0 ; unique <=2; 0.339087884998036 ; *; 0.0224718714669407 ; ; 0.00291551950821298 ; ; 0.00482317854682237 ; ; 0.0484144941600616 ; ; 0.13571979099547 ; *; 0.0137081615666333 ; 
16;DevelopmentCodeFragment ; 0.125081330773415 ; *; 0.0334096958091227 ; ; 0.0168429403465185 ; ; 0.0699829088452602 ; ; 0 ; ; 0.0508847111427706 ; *; 5.00417599086867e-05 ; ; 0.00839554385895601 ; ; 0.146841285907992 ; *; 0 ; unique <=2; 0.134984788255957 ; *; 0 ; 
17;UnusedPrivateField ; 0.0384632884961704 ; *; 0 ; ; 0.119374208148331 ; ; 0 ; ; 0 ; ; 0.01886389121495 ; ; 0.000312937736445077 ; ; 0.00530171067506894 ; ; 0.0701617042760516 ; *; 0 ; unique <=2; 0.0459624625971195 ; ; 0 ; 
18;UnusedLocalVariable ; 0.066013971452845 ; *; 0.001802270229081 ; ; 0.124908980688681 ; ; 0.124609805354251 ; *; 0.0146058493434417 ; ; 0.240638380202638 ; *; 0.0148016770396292 ; ; 0.014429913666472 ; ; 0.231438510457747 ; *; 0.0242175559449502 ; ; 0.0254717598111509 ; ; 0.0273015597557393 ; 
