1;CS;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;phppgadmin;phppgadmin p _;mediawiki;mediawiki p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _;;phpmyadmin;phpmyadmin_p;dokuwiki;dokuwiki p _;opencart;opencart p _;phpbb;phpbb p _;prestashop;prestashop p _;vanilla;vanilla p _;dolibarr;dolibarr p _;roundcubemail;roundcubemail p _;openemr;openemr p _;kanboard;kanboard p _;;;;;;;phpmyadmin;dokuwiki;opencart;phpbb;prestashop;vanilla;dolibarr;roundcubemail;openemr;kanboard;;min;max;avg;dp
2;CS; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p; r^2; p;;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;p0.05;p0.10;;;;;;;;;;;;;;;;;;;;;
13;NumberOfChildren ;0.244161061;2.08E-12;0;0;0;0;0.001612013;0.781908022;0;0;0.242790202;8.30E-10;0.00025965;0.891612611;2.13E-06;0.990952108;0.0015389;0.724758016;1;  all cs=1 ;0.00581497;0.673184565;0.045482945;0.088056777;;;;;;;;*;;;;;;;;;;;;;°;;*;•;°;•°;;;;;0.242790202;;;;;;0.045482945;;0.045482945;0.242790202;0.144136573;0.1395173
14;DepthOfInheritance ;0;0;0;0;0;0;0;0;0.256242721;0.005081751;0;0;8.65E-05;0.937300676;0;0;0;0;0;0;0;0;0;0;;;;;;*;;;;;;;;;;;;;;;;;*;•;;•;;;;0.256242721;;;;;;;;;0.256242721;0.256242721;0.256242721;#DIV/0!
15;CouplingBetweenObjects ;0.048037321;0.003201128;0;0;0;0;0.001648434;0.779519037;0;0;0.339087885;6.81E-14;0.022471871;0.202378189;0.00291552;0.674265562;0.004823179;0.532712997;0.048414494;0.234285433;0.135719791;0.034897986;0.013708162;0.352978033;;;;;;;;*;;;;;;;;;;*;;;;;**;••;;••;;;;;0.339087885;;;;;0.135719791;;;0.135719791;0.339087885;0.237403838;0.143802958
16;DevelopmentCodeFragment ;0.125081331;1.19E-06;0.033409696;0.258936891;0.01684294;0.527459998;0.069982909;0.063380295;0;0;0.050884711;0.007809489;5.00E-05;0.95230079;0.008395544;0.475097748;0.146841286;0.000349321;0;0;0.134984788;0.035432326;0;0;;;;;°;;;*;;;;;;*;;;;*;;;;;***;•••;°;•••°;;;0.069982909;;0.050884711;;;0.146841286;;0.134984788;;;0.050884711;0.146841286;0.100673424;0.047362309
17;UnusedPrivateField ;0.038463288;0.008510034;0;0;0.119374208;0.083846074;0;0;0;0;0.018863891;0.108187068;0.000312938;0.881083001;0.005301711;0.57063634;0.070161704;0.015521633;0;0;0.045962463;0.230888606;0;0;;;°;;;;;;;;;;;*;;;;;;;;;*;•;°;•°;;0.119374208;;;;;;0.070161704;;;;;0.070161704;0.119374208;0.094767956;0.034798495
18;UnusedLocalVariable ;0.066013971;0.000516786;0.00180227;0.794786273;0.124908981;0.076534782;0.124609805;0.011920524;0.014605849;0.532305798;0.24063838;1.01E-09;0.014801677;0.301790427;0.014429914;0.348363713;0.23143851;4.15E-06;0.024217556;0.403177872;0.02547176;0.374982186;0.02730156;0.188390393;;;°;*;;;;*;;;;;;*;;;;;;;;;***;•••;°;•••°;;0.124908981;0.124609805;;0.24063838;;;0.23143851;;;;;0.124609805;0.24063838;0.180398919;0.064356795
19;UnusedPrivateMethod ;0.052206676;0.002095575;0;0;0.041179064;0.320110689;0;0;0;0;0.180933904;1.99E-07;0.008531012;0.433809742;0.020393623;0.264197271;0.124626915;0.001062185;0;0;0.1645693;0.019166913;0;0;;;;;;;;*;;;;;;*;;;;*;;;;;***;•••;;•••;;;;;0.180933904;;;0.124626915;;0.1645693;;;0.124626915;0.180933904;0.156710039;0.028964551
20;UnusedFormalParameter ;0.079397301;0.000132801;0.032123692;0.268466628;0.229698751;0.013237434;0.067928001;0.067541141;0.047611743;0.255483859;0.005044572;0.40777614;0.059586583;0.036088522;0.0097988;0.440194465;0.136826399;0.000577898;0.053243413;0.211710293;0.171225072;0.016674251;0.013221183;0.361732636;;*;;;°;;;;;*;;;;*;;;;*;;;;;****;••••;°;••••°;;0.229698751;0.067928001;;;0.059586583;;0.136826399;;0.171225072;;;0.059586583;0.229698751;0.133052961;0.071502319
21;embed.JS ;0.144963102;1.46E-07;0.002098332;0.778961238;0.079789628;0.162067919;0.167139416;0.003201183;0.011977599;0.571977217;0.082506906;0.000635733;0.009625976;0.405616593;0.005491337;0.563807728;0.174477437;8.53E-05;0.046541426;0.24378138;0.20895191;0.007486625;0.32072355;8.79E-07;;;;*;;;;*;;;;;;*;;;;*;;*;;;*****;•••••;;•••••;;;0.167139416;;0.082506906;;;0.174477437;;0.20895191;0.32072355;;0.082506906;0.32072355;0.190759844;0.086260153
22;inline.JS ;0.157947697;3.62E-08;0.034433944;0.251636254;0.036968834;0.346701705;0.204651516;0.000972558;0.009237675;0.619917586;0.086976064;0.000445735;0.044138952;0.072394857;0.03117582;0.166268332;0.170336861;0.000105594;0.017196154;0.481952616;0.263288552;0.002260873;0;0;;;;*;;;;*;;;°;;;*;;;;*;;;;;****;••••;°;••••°;;;0.204651516;;0.086976064;0.044138952;;0.170336861;;0.263288552;;;0.044138952;0.263288552;0.153878389;0.088512768
23;embed.CSS ;0.117539753;2.63E-06;0.094552138;0.053589149;0.005827966;0.710889294;0.099093566;0.025977181;0;0;0.137092196;7.82E-06;0.005232344;0.540234615;0.007215377;0.50802643;0.00641639;0.471612503;0.03391661;0.321312415;0.212778124;0.006894162;0.275031466;7.32E-06;;;;*;;;;*;;;;;;;;;;*;;*;;;****;••••;;••••;;;0.099093566;;0.137092196;;;;;0.212778124;0.275031466;;0.099093566;0.275031466;0.180998838;0.078503344
24;inline.CSS ;0.096689448;2.27E-05;0.037723928;0.22978194;0.049721403;0.273545425;0.096099329;0.028461528;0.006713853;0.672621723;0.081724053;0.000676491;0.007252796;0.470637192;0.054652421;0.065176437;0.150809954;0.000285854;0.033394121;0.325133657;0.137400101;0.03370618;0.131792941;0.00295681;;;;*;;;;*;;;;;°;*;;;;*;;*;;;*****;•••••;°;•••••°;;;0.096099329;;0.081724053;;0.054652421;0.150809954;;0.137400101;0.131792941;;0.054652421;0.150809954;0.108746466;0.037250059
25;css.in.JS ;0.004991936;0.347302747;0.015907526;0.438047415;0.00984544;0.629624006;0.231537439;0.000404056;0.00133557;0.85071283;0.214836933;1.03E-08;0.002090675;0.698876167;0.008434172;0.474079359;0.152549391;0.000261754;0.050076605;0.226216717;0.023904397;0.390282024;0.003764316;0.627313247;;;;*;;;;*;;;;;;*;;;;;;;;;***;•••;;•••;;;0.231537439;;0.214836933;;;0.152549391;;;;;0.152549391;0.231537439;0.199641254;0.041628829
26;css.in.JS..jquery ;0.001406435;0.618195792;0.005853354;0.638912923;0.010027222;0.626463689;1.77E-05;0.976845735;0;0;0.113926536;5.16E-05;0.0311363;0.132605203;0.096368423;0.013280792;0.000225456;0.892827084;0.048611948;0.233309682;0.070792127;0.134487872;0.055569336;0.058706209;;;;;;;;*;;;;*;;;;;;;;;°;;**;••;°;••°;;;;;0.113926536;;0.096368423;;;;0.055569336;;0.055569336;0.113926536;0.088621432;0.029939983
27;max.lines ;0.004423791;0.376366905;0.002263636;0.770645222;0.12949046;0.07097024;0.181739592;0.002021954;0.08616553;0.122225612;0.07001841;0.001711015;0.004817456;0.556791593;0.064911773;0.043891077;0.333227577;1.11E-08;0.001216925;0.852206987;0.101590008;0.070628904;0.051098042;0.070200251;;;°;*;;;;*;;;;*;;*;;;;;°;;°;;****;••••;°°°;••••°°°;;0.12949046;0.181739592;;0.07001841;;0.064911773;0.333227577;;0.101590008;0.051098042;;0.051098042;0.333227577;0.133153694;0.098974734
28;max.lines.per.function ;0.082183555;0.000100004;0.000853529;0.857975258;0.19050141;0.025798451;0.096875776;0.027795272;0.101908942;0.091413242;0.199445231;4.01E-08;1.64E-05;0.97271259;0.003437491;0.648076304;0.061524044;0.023762845;4.01E-05;0.973021392;0.151441015;0.025195873;0.000318476;0.887792748;;*;;*;;;°;*;;;;;;*;;;;*;;;;;*****;•••••;°;•••••°;;0.19050141;0.096875776;0.101908942;0.199445231;;;0.061524044;;0.151441015;;;0.061524044;0.199445231;0.13361607;0.055569057
29;max.params ;0.014775866;0.105032308;0.034233266;0.253047088;0.082482005;0.154859524;0.001521668;0.787962009;0.035707273;0.32623728;0.00265032;0.548729709;0.002012429;0.704299874;0.001032575;0.802579213;0.013808823;0.290050643;0.003241551;0.760961394;0.022098135;0.409014322;0.056798332;0.0559026;;;;;;;;;;;;;;;;;;;;;°;;;;°;°;;;;;;;;;;;0.056798332;;0.056798332;0.056798332;0.056798332;#DIV/0!
30;complexity ;0.015081284;0.101479071;0.021137622;0.370720362;0.091656088;0.132753847;0.005110248;0.621779992;0.035676471;0.326449879;0.221589017;5.67E-09;0.009444534;0.410099021;0.009878662;0.438328106;0.082009681;0.008674248;2.47E-05;0.978845729;0.003747915;0.735031077;0.056214141;0.057217568;;;;;;;;*;;;;;;*;;;;;;;°;;**;••;°;••°;;;;;0.221589017;;;0.082009681;;;0.056214141;;0.056214141;0.221589017;0.119937613;0.088972515
31;max.depth ;0.009398763;0.19669615;0.00064649;0.876241955;0.056410023;0.242682757;0;0;0;0;0.001513247;0.650554528;0.004273798;0.579996887;0.020112868;0.267544919;0.053236292;0.035854296;0.050648648;0.223514157;0.079353913;0.112243152;0.055867304;0.058013378;;;;;;;;;;;;;;*;;;;;;;°;;*;•;°;•°;;;;;;;;0.053236292;;;0.055867304;;0.053236292;0.055867304;0.054551798;0.001860407
32;max.nested.callbacks ;0.017924186;0.073983979;0;0;0.199210462;0.022278206;3.92E-06;0.989119029;0;0;0.213491974;1.17E-08;0.005159378;0.543080268;0.038429714;0.123608185;0.154267534;0.000239917;0.008992368;0.611853468;0.112256413;0.056651973;0.034552604;0.138203315;;*;;;;;;*;;;;;;*;;;;;°;;;;***;•••;°;•••°;;0.199210462;;;0.213491974;;;0.154267534;;0.112256413;;;0.112256413;0.213491974;0.169806596;0.045921983
