Id;Version;Date; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery
1;2_7_2;2005-06-01;82;260;34;215;68;0
2;2_8_0;2005-11-11;110;291;41;255;68;0
3;2_8_1;2006-01-17;115;294;44;261;68;0
4;2_8_3;2007-08-22;187;633;82;359;74;0
5;2_9_0;2008-08-06;292;721;157;574;83;21
6;3_0_0;2009-03-15;315;730;164;614;83;21
7;3_0_1;2009-03-31;317;737;164;618;83;21
8;3_1_0;2009-08-24;137;355;65;357;68;0
9;3_2_0;2010-02-16;278;552;150;552;48;21
10;4_0_0;2011-03-26;388;870;205;945;88;194
11;4_1_0;2011-09-21;479;1066;228;1127;222;260
12;4_1_1;2012-08-30;507;1117;235;1238;552;354
13;4_1_2;2013-08-17;533;1203;255;1363;557;355
14;4_1_2_3;2013-11-02;535;1206;255;1364;557;355
15;4_1_2_6;2014-06-07;535;1206;255;1364;557;355
16;4_1_2_7;2014-06-13;535;1206;255;1364;557;355
17;4_2_0;2014-12-21;582;1298;285;1537;631;870
18;4_2_0_3;2015-05-30;582;1299;285;1537;631;870
19;4_2_1;2016-03-24;626;1333;300;1705;839;1439
20;4_2_2;2016-05-18;629;1331;302;1707;839;1439
21;5_0_0;2017-02-14;668;1605;313;2521;1110;3000
22;5_0_0_5;2017-09-23;668;1605;312;2492;1110;3000
23;5_0_0_6;2017-11-10;668;1605;312;2492;1110;3000
24;5_0_1;2018-04-21;666;1565;228;2501;1785;3606
25;5_0_1_1;2018-04-28;666;1565;228;2501;1785;3606
26;5_0_1_2;2018-05-07;666;1565;228;2501;1785;3606
27;5_0_1_3;2018-05-28;666;1565;228;2503;1785;3606
28;5_0_1_4;2018-07-15;666;1565;228;2503;1785;3606
29;5_0_1_5;2018-08-17;666;1565;228;2503;1785;3606
30;5_0_1_6;2018-09-09;666;1565;228;2503;1781;3606
31;5_0_1_7;2019-02-15;666;1565;228;2506;1781;3606
32;5_0_2;2019-08-04;612;1550;221;2360;400;1158
33;5_0_2_1;2019-10-11;620;1551;221;2370;400;1167
