Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;2_7_2;2005-06-01;471;249;117;15;10;25;33;26;71;67;5;0;0;17;0;682;0;372
2;2_8_0;2005-11-11;471;251;118;15;10;26;33;26;71;67;5;0;0;17;0;685;0;371
3;2_8_1;2006-01-17;471;251;119;15;10;26;33;26;72;67;5;0;0;17;0;685;0;373
4;2_8_3;2007-08-22;490;265;129;15;10;28;33;27;74;72;5;0;0;17;0;722;0;366
5;2_9_0;2008-08-06;546;294;139;15;11;30;35;28;77;75;5;0;0;18;0;849;0;384
6;3_0_0;2009-03-15;558;302;144;15;10;30;35;28;77;75;2;0;0;18;0;856;0;383
7;3_0_1;2009-03-31;559;302;144;15;10;30;35;28;77;75;2;0;0;18;0;856;0;383
8;3_1_0;2009-08-24;475;256;121;15;10;26;33;27;71;68;5;0;0;17;0;691;0;367
9;3_2_0;2010-02-16;478;254;118;15;9;30;35;28;74;74;2;0;0;18;0;684;0;343
10;4_0_0;2011-03-26;520;285;137;15;10;30;35;28;77;76;2;0;0;18;0;750;0;399
11;4_1_0;2011-09-21;561;301;146;15;12;30;35;28;83;82;3;0;2;18;0;811;0;425
12;4_1_1;2012-08-30;667;369;174;20;15;37;44;39;101;107;3;0;3;26;0;886;0;477
13;4_1_2;2013-08-17;923;533;284;35;26;47;52;47;119;133;3;3;3;28;0;1137;0;540
14;4_1_2_3;2013-11-02;924;534;284;35;26;47;52;47;119;133;3;3;3;28;0;1139;0;539
15;4_1_2_6;2014-06-07;924;534;284;35;26;47;52;47;119;133;3;3;3;28;0;1139;0;539
16;4_1_2_7;2014-06-13;924;534;284;35;26;47;52;47;119;133;3;3;3;28;0;1139;0;539
17;4_2_0;2014-12-21;1375;761;350;50;31;52;64;56;196;290;11;3;61;26;0;1275;1;676
18;4_2_0_3;2015-05-30;1376;761;351;50;31;52;64;56;196;290;11;3;61;26;0;1279;1;677
19;4_2_1;2016-03-24;1435;799;386;52;33;56;64;58;201;299;13;3;61;27;0;1506;1;750
20;4_2_2;2016-05-18;1338;775;375;53;33;48;53;54;182;289;16;0;60;19;0;1391;1;670
21;5_0_0;2017-02-14;515;319;236;15;30;16;13;13;31;45;3;0;2;7;0;1507;1;307
22;5_0_0_5;2017-09-23;515;319;236;15;30;16;13;13;31;45;3;0;2;7;0;1507;1;307
23;5_0_0_6;2017-11-10;515;319;236;15;30;16;13;13;31;45;3;0;2;7;0;1507;1;307
24;5_0_1;2018-04-21;1210;950;420;55;33;117;117;15;92;229;7;0;67;14;5;1630;5;363
25;5_0_1_1;2018-04-28;1210;950;420;55;33;117;117;15;92;229;7;0;67;14;5;1630;5;363
26;5_0_1_2;2018-05-07;1210;950;420;55;33;117;117;15;92;229;7;0;67;14;5;1630;5;363
27;5_0_1_3;2018-05-28;1209;950;419;55;33;117;117;15;92;229;7;0;67;14;5;1630;5;363
28;5_0_1_4;2018-07-15;1209;950;419;55;33;117;117;15;92;229;7;0;67;14;5;1630;5;363
29;5_0_1_5;2018-08-17;1209;950;419;55;33;117;117;15;92;229;7;0;67;15;5;1630;5;363
30;5_0_1_6;2018-09-09;1209;950;419;55;33;117;117;15;92;229;7;0;67;15;5;1630;5;363
31;5_0_1_7;2019-02-15;1209;950;419;55;33;117;117;15;92;229;7;0;67;15;5;1632;5;362
32;5_0_2;2019-08-04;1349;1095;440;71;29;139;138;11;119;284;7;0;94;13;30;1495;8;311
33;5_0_2_1;2019-10-11;1350;1098;440;71;29;139;138;11;119;284;7;0;94;13;30;1497;8;312
