Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;2.0.1;2006-02-24;129;77;64;9;4;9;16;8;25;26;1;0;0;0;0;460;0;166
2;2.2.0;2007-12-26;297;203;104;19;9;19;40;12;38;55;2;0;2;3;0;578;0;211
3;2.4.0;2008-08-22;327;231;124;18;11;19;41;9;39;58;2;0;0;3;0;650;0;230
4;2.4.1;2008-10-31;328;231;124;18;11;19;41;9;39;58;2;0;0;3;0;650;0;230
5;2.5.0;2008-12-29;333;229;124;18;14;20;40;10;40;61;2;0;0;3;0;653;0;226
6;2.6.0;2009-04-25;341;247;128;20;14;20;41;10;41;60;2;0;0;4;0;682;0;245
7;2.6.1;2009-06-14;341;247;128;20;14;20;41;10;41;60;2;0;0;4;0;684;0;245
8;2.7.0;2009-12-04;362;259;143;23;17;23;43;10;45;60;2;0;0;4;0;674;0;260
9;2.7.1;2009-12-30;362;260;143;23;17;23;43;10;45;60;2;0;0;4;0;674;0;259
10;2.8.0;2010-03-16;374;268;147;22;18;23;46;11;45;62;2;0;1;4;0;735;0;260
11;2.8.1;2010-05-02;377;271;150;22;18;23;46;11;45;62;2;0;1;4;0;738;0;260
12;2.9.0;2010-09-29;352;246;152;23;26;21;44;14;37;56;1;0;2;2;0;725;0;241
13;3.0.0;2011-04-11;355;251;146;19;24;21;39;12;32;50;1;0;1;2;0;735;0;245
14;3.0.1;2011-07-10;355;251;146;19;24;21;39;12;32;50;1;0;1;2;0;735;0;245
15;3.1.0;2012-01-01;402;278;160;20;29;23;42;11;32;57;1;0;1;2;1;809;0;255
16;3.1.1;2012-03-01;403;280;160;20;29;23;42;11;32;57;1;0;1;2;1;808;0;255
17;3.2.0;2012-07-11;565;401;263;27;31;24;48;11;38;81;3;0;1;1;1;1038;2;375
18;3.2.1;2012-08-29;567;406;265;27;31;24;48;11;38;81;3;0;1;1;0;1047;2;378
19;3.2.2;2012-09-12;567;406;265;27;31;24;48;11;38;81;3;0;1;1;0;1047;2;379
20;3.2.3;2012-12-05;574;412;265;28;32;24;48;11;38;84;3;0;1;1;0;1053;2;401
21;3.3.0;2013-02-20;623;445;284;34;37;27;50;11;40;87;3;0;1;1;0;1160;2;427
22;3.3.1;2013-03-18;623;446;283;34;37;27;50;11;40;88;3;0;1;1;0;1160;2;425
23;3.3.2;2013-05-22;622;447;284;34;37;27;50;11;40;88;3;0;1;1;0;1171;2;428
24;3.3.3;2013-07-24;622;447;284;34;37;27;50;11;40;88;3;0;1;1;0;1171;2;428
25;3.4.0;2013-08-04;664;485;308;34;38;28;52;12;41;92;3;0;1;2;0;1296;2;444
26;3.4.1;2013-10-13;666;486;311;34;38;28;52;12;41;92;3;0;1;2;0;1299;2;444
27;3.4.2;2014-01-05;668;488;313;34;38;28;52;12;41;92;3;0;1;2;0;1299;2;444
28;3.5.0;2014-02-03;714;530;349;39;42;30;55;12;41;99;4;0;1;1;1;1391;2;478
29;3.5.1;2014-03-09;715;533;350;39;42;30;55;12;41;99;4;0;1;1;1;1391;2;477
30;3.5.2;2014-04-13;718;538;350;40;42;30;55;12;41;99;4;0;1;1;1;1389;2;479
31;3.5.3;2014-05-31;724;543;352;40;42;30;56;12;41;99;4;0;1;1;1;1389;2;479
32;3.5.4;2014-07-15;725;544;352;40;42;31;56;12;41;99;4;0;1;1;1;1389;2;480
33;3.6.0;2014-08-16;747;569;366;37;46;28;54;12;44;104;4;0;1;1;1;1379;3;449
34;3.6.1;2014-10-04;747;570;366;37;46;28;54;12;44;104;4;0;1;1;1;1373;3;447
35;3.6.2;2014-12-27;747;571;368;37;46;28;54;12;44;104;4;0;1;1;1;1374;3;447
36;3.6.3;2015-04-19;748;570;368;37;46;28;54;12;44;104;4;0;1;1;1;1373;3;446
37;3.7.0;2015-04-20;769;596;381;39;52;29;60;12;46;107;4;0;1;1;1;1549;3;468
38;3.7.1;2015-06-01;770;597;381;39;52;29;60;12;46;107;4;0;1;1;1;1547;3;468
39;3.8.0;2015-09-13;876;692;438;44;64;32;73;15;53;130;4;0;1;1;2;1798;3;549
