Id;Version;Date; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks
1;1.0.0;2014-04-05;29;965;195;510;215;26
2;1.0.1;2014-05-09;29;965;195;511;215;26
3;1.0.2;2014-07-20;29;967;195;512;215;26
4;1.0.3;2014-09-29;29;968;195;513;215;26
5;1.0.4;2014-12-18;29;968;195;513;215;26
6;1.0.5;2015-01-23;29;969;195;514;216;26
7;1.1.0;2015-02-07;12;435;173;469;61;26
8;1.1.1;2015-03-16;12;436;178;473;61;26
9;1.1.2;2015-06-05;12;436;178;474;63;26
10;1.1.3;2015-09-10;12;439;178;476;63;26
11;1.1.4;2015-12-23;12;440;178;476;63;26
12;1.1.5;2016-04-19;12;439;179;476;63;26
13;1.2.0;2016-05-21;14;464;221;535;71;27
14;1.2.1;2016-07-26;14;466;252;549;76;23
15;1.2.2;2016-09-28;14;466;252;549;76;23
16;1.2.3;2016-11-28;14;467;253;549;76;23
17;1.2.4;2017-03-10;14;466;253;549;76;23
18;1.2.5;2017-04-28;14;466;253;549;76;23
19;1.3.0;2017-06-26;13;463;50;196;17;0
20;1.3.1;2017-09-04;13;463;50;196;17;0
21;1.3.2;2017-10-30;13;464;50;197;17;0
22;1.3.3;2017-11-08;13;464;50;197;17;0
23;1.3.4;2018-01-14;13;464;50;197;17;0
24;1.3.5;2018-03-15;13;464;50;197;17;0
25;1.3.6;2018-04-11;13;464;50;197;17;0
26;1.3.7;2018-07-27;13;464;50;197;17;0
27;1.3.8;2018-10-26;13;464;50;197;17;0
28;1.3.9;2019-03-31;13;465;50;198;17;0
29;1.3.10;2019-08-28;13;465;50;198;17;0
30;1.4.0;2019-11-09;13;497;57;212;18;0
31;1.4.1;2019-11-22;13;496;57;213;18;0
