Id;Version;Date; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery
1;3.0.0;2008-09-27;43;164;8;53;40;0
2;3.0.1;2008-10-22;43;164;8;53;40;0
3;3.0.1.1;2008-10-30;43;164;8;53;40;0
4;3.1.0;2008-11-28;48;169;7;60;47;0
5;3.1.1;2008-12-06;48;169;7;60;47;0
6;3.1.2;2009-01-19;48;169;7;60;47;0
7;3.1.3;2009-02-28;48;169;7;60;47;0
8;3.1.3.1;2009-03-24;48;169;7;60;47;0
9;3.1.3.2;2009-04-14;48;169;7;60;47;0
10;3.1.4;2009-04-25;48;169;7;60;47;0
11;3.1.5;2009-05-15;48;169;7;60;47;0
12;3.2.0;2009-06-15;51;169;7;60;47;0
13;3.2.0.1;2009-06-30;51;169;7;60;47;0
14;3.2.2;2009-09-13;51;169;7;60;47;0
15;3.2.2.1;2009-10-12;51;169;7;60;47;0
16;3.2.3;2009-10-30;51;169;10;60;47;0
17;3.2.4;2009-12-02;51;169;10;60;47;0
18;3.2.5;2010-01-10;51;169;10;60;47;0
19;3.3.0;2010-03-07;57;210;12;116;50;0
20;3.3.1;2010-03-16;57;210;12;117;50;0
21;3.3.2;2010-04-13;57;210;12;117;50;0
22;3.3.3;2010-05-10;57;210;12;117;50;0
23;3.3.4;2010-06-28;57;210;12;117;50;0
24;3.3.5;2010-07-26;57;210;12;119;50;0
25;3.3.5.1;2010-08-20;52;208;12;118;50;0
26;3.3.6;2010-08-28;52;208;12;118;50;0
27;3.3.7;2010-09-07;52;208;12;118;50;0
28;3.3.8;2010-10-25;52;207;12;118;50;0
29;3.3.8.1;2010-11-29;52;207;12;118;50;0
30;3.3.9;2011-01-03;52;207;12;118;50;0
31;3.3.9.1;2011-02-08;52;207;12;118;50;0
32;3.3.9.2;2011-02-11;52;207;12;118;50;0
33;3.3.10;2011-03-19;52;207;12;118;50;0
34;3.4.0;2011-05-11;39;177;12;118;32;144
35;3.4.1;2011-05-20;39;177;12;118;32;144
36;3.4.2;2011-06-07;39;177;12;118;32;144
37;3.4.3;2011-06-27;39;177;12;118;32;144
38;3.4.3.1;2011-07-03;39;177;12;118;32;144
39;3.4.3.2;2011-07-23;39;177;12;118;32;144
40;3.4.4;2011-08-24;39;176;12;118;32;144
41;3.4.5;2011-09-14;39;176;10;107;32;144
42;3.4.6;2011-10-16;39;176;10;107;32;144
43;3.4.7;2011-10-23;39;176;10;107;32;144
44;3.4.7.1;2011-11-10;39;176;10;107;32;144
45;3.4.8;2011-12-01;39;176;10;107;32;144
46;3.4.9;2011-12-21;39;176;10;107;32;144
47;3.4.10;2012-02-14;39;176;10;107;32;144
48;3.4.10.1;2012-02-18;39;176;10;107;32;144
49;3.4.10.2;2012-03-28;39;176;10;107;32;144
50;3.5.0;2012-04-07;38;145;9;169;223;232
51;3.5.1;2012-05-03;38;145;9;167;223;233
52;3.5.2;2012-07-07;38;144;9;165;227;289
53;3.5.2.1;2012-08-03;38;144;9;165;227;289
54;3.5.2.2;2012-08-12;38;144;9;165;227;289
55;3.5.3;2012-10-08;38;144;9;166;225;281
56;3.5.4;2012-11-16;38;144;9;166;225;281
57;3.5.5;2012-12-20;38;144;9;166;225;281
58;3.5.6;2013-01-28;38;144;9;166;225;283
59;3.5.7;2013-02-15;38;144;9;166;225;283
60;3.5.8;2013-04-08;38;144;9;166;225;283
61;3.5.8.1;2013-04-24;38;144;9;166;225;283
62;4.0.0;2013-05-03;23;102;9;138;14;32
63;4.0.1;2013-05-14;23;102;9;138;14;32
64;4.0.2;2013-05-24;24;101;9;138;14;32
65;4.0.3;2013-06-05;24;101;9;138;14;32
66;4.0.4;2013-06-17;24;101;9;138;14;32
67;4.0.4.1;2013-06-30;24;101;9;138;14;32
68;4.0.4.2;2013-07-28;24;101;9;138;14;32
69;4.0.5;2013-08-04;24;101;10;138;238;296
70;4.0.6;2013-09-05;24;101;10;138;269;553
71;4.0.7;2013-09-23;24;101;10;138;269;555
72;4.0.8;2013-10-06;24;101;10;138;269;555
73;4.0.9;2013-11-04;24;101;10;138;269;555
74;4.0.10;2013-12-04;24;100;10;138;269;555
75;4.1.0;2013-12-12;20;94;13;146;296;557
76;4.1.1;2013-12-17;20;94;13;146;296;557
77;4.1.2;2013-12-23;20;95;13;146;296;557
78;4.1.3;2013-12-31;20;95;13;146;296;554
79;4.1.4;2014-01-07;20;95;13;146;296;554
80;4.1.5;2014-01-17;20;95;13;146;296;554
81;4.1.6;2014-01-26;20;95;13;146;296;554
82;4.1.7;2014-02-09;20;95;13;146;291;556
83;4.1.8;2014-02-22;20;96;13;146;291;558
84;4.1.9;2014-03-06;20;96;13;146;291;558
86;4.1.11;2014-03-22;20;96;13;146;291;558
