"id";"version";"date"
"1";"1.5.5.1";"2013-04-28"
"2";"1.5.6";"2013-08-01"
"3";"1.5.6.1";"2014-01-09"
"4";"1.5.6.2";"2014-04-10"
"5";"1.5.6.3";"2014-04-15"
"6";"1.5.6.4";"2014-04-24"
"7";"2.0.0.0";"2014-10-01"
"8";"2.0.1.0";"2014-11-30"
"9";"2.0.1.1";"2014-12-06"
"10";"2.0.2.0";"2015-03-30"
"11";"2.0.3.0";"2015-05-20"
"12";"2.0.3.1";"2015-05-27"
"13";"2.1.0.0";"2015-09-27"
"14";"2.1.0.1";"2015-10-06"
"15";"2.1.0.2";"2015-12-30"
"16";"2.2.0.0";"2016-03-02"
"17";"2.3.0.0";"2016-07-30"
"18";"2.3.0.1";"2016-07-31"
"19";"2.3.0.2";"2016-08-01"
"20";"3.0.0.0";"2017-06-19"
"23";"3.0.1.1";"2017-07-04"
"24";"3.0.1.2";"2017-07-07"
"25";"3.0.2.0";"2017-07-17"
"26";"3.0.3.0";"2019-01-02"
"27";"3.0.3.1";"2019-01-04"
"28";"3.0.3.2";"2019-04-09"
