Id;Version;Date; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks
1;2.0.0;2002-04-04;0;1;0;1;0;0
2;2.0.1;2002-05-20;0;1;0;1;0;0
3;2.0.2;2002-08-08;0;1;0;1;0;0
4;2.0.3;2002-09-28;0;1;0;1;0;0
5;2.0.4;2003-01-15;0;2;0;1;0;0
6;2.0.5;2003-06-15;0;2;0;1;0;0
7;2.0.6;2003-08-03;0;2;0;1;0;0
8;2.0.7;2004-03-13;0;2;0;1;0;0
9;2.0.8;2004-03-25;0;2;0;1;0;0
10;2.0.8a;2004-03-28;0;2;0;1;0;0
11;2.0.9;2004-07-11;0;2;0;1;0;0
12;2.0.10;2004-07-17;0;2;0;1;0;0
13;2.0.11;2004-11-18;0;2;0;1;0;0
14;2.0.12;2005-02-21;0;2;0;1;0;0
15;2.0.13;2005-02-27;0;2;0;1;0;0
16;2.0.14;2005-04-18;0;2;0;1;0;0
17;2.0.15;2005-05-13;0;2;0;1;0;0
18;2.0.16;2005-06-28;0;2;0;1;0;0
19;2.0.17;2005-08-08;0;2;0;1;0;0
20;2.0.18;2005-10-31;0;2;0;1;0;0
21;2.0.19;2005-12-30;0;2;0;1;0;0
22;2.0.20;2006-04-05;0;2;0;1;0;0
23;2.0.21;2006-05-30;0;2;0;1;0;0
24;3.0.0;2007-12-12;4;43;5;5;0;0
25;3.0.1;2008-04-08;4;43;5;5;0;0
26;3.0.2;2008-07-10;4;43;5;5;0;0
27;3.0.3;2008-11-12;4;43;5;5;0;0
28;3.0.4;2008-12-13;4;43;5;5;0;0
29;3.0.5;2009-05-31;4;43;5;5;0;0
30;3.0.6;2009-11-17;5;47;6;7;0;0
31;3.0.7;2010-02-28;5;47;6;7;0;0
32;3.0.8;2010-11-19;5;49;6;7;0;0
33;3.0.9;2011-07-10;5;51;7;7;0;0
34;3.0.10;2012-01-02;5;51;7;7;0;0
35;3.0.11;2012-08-20;5;51;7;7;0;0
36;3.0.12;2013-09-28;5;51;7;7;0;0
37;3.1.0;2014-10-28;6;81;68;97;5;5
38;3.1.1;2014-11-01;6;81;68;97;5;5
39;3.1.2;2014-11-25;6;81;68;97;5;5
40;3.1.3;2015-02-01;6;81;68;97;5;5
41;3.1.4;2015-05-03;6;81;68;97;5;5
42;3.1.5;2015-06-14;6;84;68;97;5;5
43;3.1.6;2015-09-05;6;85;72;95;5;3
44;3.1.7;2015-12-19;6;85;72;95;5;3
45;3.1.8;2016-02-18;6;85;72;95;5;3
46;3.1.9;2016-04-16;6;85;72;95;5;3
47;3.1.10;2016-10-02;6;85;72;95;5;3
48;3.2.0;2017-01-07;8;101;75;97;5;4
49;3.2.1;2017-07-16;8;99;75;97;5;4
50;3.2.2;2018-01-07;8;99;77;98;5;8
