Id;Version;Date; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks
1;1.5.0.0;2011-07-06;43;1106;383;543;297;20
2;1.5.0.1;2011-11-23;52;1358;560;801;380;35
3;1.5.0.2;2011-12-23;52;1343;405;575;304;31
4;1.5.0.3;2011-12-29;52;1348;408;575;304;31
5;1.5.0.5;2012-02-14;49;1283;404;569;302;26
6;1.5.0.9;2012-03-26;49;1291;402;588;306;26
7;1.5.0.13;2012-06-07;62;1352;439;714;279;31
8;1.5.0.15;2012-08-06;62;1356;439;714;279;31
9;1.5.0.17;2012-09-13;64;1394;450;741;280;32
10;1.5.1.0;2012-10-04;64;1393;450;742;280;32
11;1.5.2.0;2012-10-23;64;1393;450;742;280;32
12;1.5.3.0;2012-12-28;65;1511;451;745;280;32
13;1.5.3.1;2012-12-31;65;1511;451;745;280;32
14;1.5.4.0;2013-03-27;65;1402;451;754;279;32
15;1.5.4.1;2013-04-25;65;1402;451;754;279;32
16;1.5.5.0;2013-08-29;68;1441;463;782;279;33
17;1.5.6.0;2013-10-07;68;1172;431;706;222;30
18;1.6.0.1;2013-11-18;75;1295;445;742;232;30
19;1.5.6.1;2013-11-20;68;1174;432;706;222;30
20;1.6.0.2;2013-12-19;77;1315;441;745;232;30
21;1.5.6.2;2014-01-20;68;1182;432;706;222;30
22;1.6.0.3;2014-02-03;65;1225;343;587;216;30
23;1.6.0.4;2014-03-06;47;918;347;656;191;42
24;1.6.0.5;2014-03-17;47;912;346;655;191;42
25;1.6.0.6;2014-04-10;45;859;331;620;176;40
26;1.6.0.7;2014-06-17;48;935;335;638;177;40
27;1.6.0.8;2014-06-20;48;935;335;638;177;40
28;1.6.0.9;2014-07-30;48;937;335;640;177;40
29;1.6.0.10;2014-11-14;47;929;331;640;177;40
30;1.6.0.11;2015-01-07;48;945;335;641;177;41
31;1.6.0.12;2015-02-23;48;953;337;643;177;41
32;1.6.0.13;2015-02-24;48;953;337;643;177;41
33;1.6.0.14;2015-03-06;48;953;337;643;177;41
34;1.6.1.0;2015-07-02;49;976;337;647;178;41
35;1.6.1.1;2015-08-20;49;975;337;647;178;41
36;1.6.1.2;2015-10-29;49;975;337;649;178;41
37;1.6.1.3;2015-11-26;49;975;337;649;178;41
38;1.6.1.4;2016-01-07;49;975;337;649;178;41
39;1.6.1.5;2016-04-15;49;976;337;649;178;41
40;1.6.1.6;2016-06-15;49;976;337;649;178;41
41;1.6.1.7;2016-09-08;49;976;337;649;178;41
42;1.6.1.8;2016-10-20;49;976;337;649;178;41
43;1.6.1.9;2016-11-07;49;976;337;649;178;41
44;1.7.0.0;2016-11-08;47;1433;584;1175;268;59
45;1.7.0.1;2016-11-16;47;1433;584;1175;268;59
46;1.7.0.2;2016-11-28;47;1433;633;1251;271;59
47;1.7.0.3;2016-12-21;47;1434;584;1176;268;59
48;1.7.0.4;2017-01-10;47;1179;549;1124;233;58
49;1.7.0.5;2017-02-13;48;2520;598;1201;297;58
50;1.7.0.6;2017-03-03;48;2520;598;1201;297;58
51;1.7.1.0;2017-04-03;47;1183;549;1126;233;58
52;1.7.1.1;2017-04-20;47;1183;553;1130;233;58
53;1.7.1.2;2017-06-07;47;1180;553;1130;233;56
54;1.7.2.0;2017-07-20;45;1119;553;1130;204;56
55;1.7.2.1;2017-08-18;46;1166;553;1130;233;56
56;1.7.2.2;2017-08-31;46;1166;553;1130;233;56
57;1.7.2.3;2017-10-05;46;1163;553;1130;233;57
58;1.7.2.4;2017-10-24;46;1163;553;1130;233;57
59;1.7.2.5;2018-02-21;46;1163;553;1130;233;57
60;1.7.3.0;2018-02-26;47;1206;996;1609;262;62
61;1.7.3.1;2018-04-09;47;1206;996;1609;262;62
62;1.7.3.2;2018-05-03;47;1206;997;1608;262;62
63;1.7.3.3;2018-05-24;47;1206;997;1608;262;62
64;1.7.3.4;2018-06-27;47;1206;997;1608;262;62
65;1.7.4.0;2018-07-03;46;1200;994;1620;267;62
66;1.7.4.1;2018-07-16;46;1200;994;1620;267;62
67;1.7.4.2;2018-07-27;46;1200;994;1620;267;62
68;1.7.4.3;2018-10-03;46;1200;994;1620;267;62
69;1.7.4.4;2018-11-06;46;1200;994;1620;267;62
70;1.7.5.0;2018-12-17;44;1135;961;1473;245;63
71;1.7.5.1;2019-02-18;50;1332;934;1456;292;63
72;1.7.5.2;2019-05-02;50;1332;934;1456;292;63
73;1.7.6.0;2019-07-09;44;1192;1429;1854;346;63
74;1.7.6.1;2019-08-26;44;1192;1429;1855;346;63
