"id";"version";"date"
"1";"0.1.0";"2002-02-11"
"2";"0.5.0";"2002-12-14"
"3";"0.6.0";"2002-12-24"
"4";"0.6.5";"2003-01-17"
"5";"3.0.1";"2003-08-13"
"6";"3.2.1";"2003-12-03"
"7";"3.3.1";"2004-03-07"
"8";"3.4.1";"2004-07-01"
"9";"3.5.1";"2004-12-13"
"10";"3.5.2";"2005-02-18"
"11";"3.5.3";"2005-04-16"
"12";"3.5.4";"2005-07-15"
"13";"3.5.5";"2005-08-12"
"14";"3.5.6";"2005-10-18"
"15";"4.0.1";"2005-11-23"
"16";"4.1.1";"2007-03-24"
"17";"4.1.2";"2007-06-01"
"18";"4.1.3";"2007-07-11"
"19";"4.2.1";"2008-08-02"
"20";"4.2.2";"2008-12-18"
"21";"4.2.3";"2010-03-23"
"22";"5.0.0";"2010-11-29"
"23";"5.0.1";"2010-12-13"
"24";"5.0.2";"2011-01-03"
"25";"5.0.3";"2011-10-03"
"26";"5.0.4";"2012-03-22"
"27";"5.1.0";"2013-04-14"
"28";"5.6.0";"2018-11-12"
"29";"7.12.0";"2019-09-28"
