Id;Version;Date; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery
1;1.5.5.1;2013-04-28;271;390;33;296;270;595
2;1.5.6;2013-08-01;363;626;34;625;274;604
3;1.5.6.1;2014-01-09;293;589;3;503;274;604
4;1.5.6.2;2014-04-10;293;590;3;508;274;604
5;1.5.6.3;2014-04-15;293;590;3;508;274;604
6;1.5.6.4;2014-04-24;293;590;3;508;274;604
7;2.0.0.0;2014-10-01;301;330;2;390;86;135
8;2.0.1.0;2014-11-30;293;312;2;406;88;157
9;2.0.1.1;2014-12-06;293;312;2;407;88;157
10;2.0.2.0;2015-03-30;308;310;2;434;87;177
11;2.0.3.0;2015-05-20;313;312;2;440;87;177
12;2.0.3.1;2015-05-27;313;312;2;440;87;177
13;2.1.0.0;2015-09-27;309;313;2;441;90;175
14;2.1.0.1;2015-10-06;309;313;2;441;90;175
15;2.1.0.2;2015-12-30;309;313;2;441;90;175
16;2.2.0.0;2016-03-02;341;320;5;461;84;189
17;2.3.0.0;2016-07-30;382;324;12;503;223;475
18;2.3.0.1;2016-07-31;382;324;12;503;223;475
19;2.3.0.2;2016-08-01;382;324;12;503;223;475
20;3.0.0.0;2017-06-19;392;338;13;545;222;495
23;3.0.1.1;2017-07-04;402;338;14;550;303;568
24;3.0.1.2;2017-07-07;403;338;14;550;304;568
25;3.0.2.0;2017-07-17;407;338;14;554;305;568
26;3.0.3.0;2019-01-02;427;337;28;550;305;568
27;3.0.3.1;2019-01-04;427;337;28;550;305;568
28;3.0.3.2;2019-04-09;429;337;29;551;305;568
