Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;1.5.0.0;2011-07-06;748;453;202;34;13;19;53;21;72;153;2;0;50;9;36;612;45;304
2;1.5.0.1;2011-11-23;866;513;246;44;18;26;67;28;91;182;6;5;65;12;43;564;27;289
3;1.5.0.2;2011-12-23;583;337;171;23;16;18;39;19;60;132;4;9;52;6;27;329;15;234
4;1.5.0.3;2011-12-29;578;330;170;22;15;17;37;18;59;128;4;10;52;6;27;321;15;232
5;1.5.0.5;2012-02-14;577;326;169;21;14;17;34;18;61;126;4;16;54;6;25;259;19;230
6;1.5.0.9;2012-03-26;586;344;179;22;15;17;36;18;63;132;4;16;55;6;25;251;19;232
7;1.5.0.13;2012-06-07;587;351;181;22;15;17;37;17;66;130;4;17;60;6;22;237;4;204
8;1.5.0.15;2012-08-06;603;360;185;23;16;17;36;17;68;130;4;18;62;6;22;242;4;203
9;1.5.0.17;2012-09-13;613;365;190;24;16;17;36;17;68;130;4;21;64;6;23;249;4;205
10;1.5.1.0;2012-10-04;602;359;188;23;16;17;36;16;69;129;4;21;67;6;23;245;4;211
11;1.5.2.0;2012-10-23;603;360;188;23;16;17;36;16;69;129;4;21;67;6;23;245;4;211
12;1.5.3.0;2012-12-28;611;365;188;23;16;18;36;16;69;129;4;21;67;6;23;242;4;208
13;1.5.3.1;2012-12-31;611;365;188;23;16;18;36;16;69;129;4;21;67;6;23;242;4;208
14;1.5.4.0;2013-03-27;626;373;195;23;16;17;36;16;68;130;0;0;70;6;23;251;4;252
15;1.5.4.1;2013-04-25;630;378;195;23;16;17;36;16;69;129;0;0;71;6;23;253;3;253
16;1.5.5.0;2013-08-29;652;394;200;23;16;18;36;16;74;130;0;0;73;5;23;259;3;265
17;1.5.6.0;2013-10-07;653;397;200;23;16;18;36;16;74;131;0;0;72;5;23;257;3;266
18;1.6.0.1;2013-11-18;643;391;202;23;15;18;34;18;79;134;0;0;65;5;24;231;3;268
19;1.5.6.1;2013-11-20;663;405;202;23;16;18;36;16;75;134;0;0;73;5;23;263;3;265
20;1.6.0.2;2013-12-19;616;378;202;24;15;19;35;19;76;126;0;0;60;5;18;221;2;248
21;1.5.6.2;2014-01-20;665;407;202;23;16;18;36;16;75;135;0;0;74;5;23;262;3;265
22;1.6.0.3;2014-02-03;626;385;202;24;15;19;35;19;76;126;0;0;60;5;13;226;0;247
23;1.6.0.4;2014-03-06;633;395;205;26;16;20;35;21;77;124;0;0;60;4;11;218;4;254
24;1.6.0.5;2014-03-17;637;397;205;26;16;20;35;21;77;125;0;0;60;4;11;220;4;254
25;1.6.0.6;2014-04-10;618;383;193;26;16;20;35;21;73;117;0;0;59;5;7;212;4;184
26;1.6.0.7;2014-06-17;630;389;195;26;16;20;35;22;73;116;0;0;60;5;7;214;4;184
27;1.6.0.8;2014-06-20;630;389;196;26;16;20;35;22;73;116;0;0;60;5;7;214;4;184
28;1.6.0.9;2014-07-30;632;393;197;26;16;20;35;22;74;116;0;0;60;5;7;217;4;186
29;1.6.0.10;2014-11-14;645;393;201;26;16;20;35;22;75;122;0;0;62;5;7;224;4;187
30;1.6.0.11;2015-01-07;654;389;205;26;16;20;35;22;76;124;0;0;64;5;7;213;4;189
31;1.6.0.12;2015-02-23;672;398;208;26;16;20;36;23;76;126;0;0;64;5;7;219;4;187
32;1.6.0.13;2015-02-24;672;398;208;26;16;20;36;23;76;126;0;0;64;5;7;219;4;187
33;1.6.0.14;2015-03-06;672;398;208;26;16;20;36;23;76;126;0;0;64;5;7;219;4;187
34;1.6.1.0;2015-07-02;690;410;214;28;19;21;36;23;78;129;0;0;66;7;7;213;6;187
35;1.6.1.1;2015-08-20;693;412;219;28;20;21;37;23;78;130;0;0;66;7;7;213;6;188
36;1.6.1.2;2015-10-29;699;412;219;28;20;21;37;23;78;130;0;0;66;7;7;217;6;190
37;1.6.1.3;2015-11-26;699;412;219;28;20;21;37;23;78;130;0;0;66;7;7;217;6;190
38;1.6.1.4;2016-01-07;700;412;219;28;20;21;37;23;78;130;0;0;66;7;7;217;6;190
39;1.6.1.5;2016-04-15;701;412;218;28;20;21;37;23;78;130;0;0;66;7;7;219;6;191
40;1.6.1.6;2016-06-15;701;412;218;28;20;21;37;23;78;130;0;0;66;7;7;219;6;191
41;1.6.1.7;2016-09-08;701;412;218;28;20;21;37;23;78;130;0;0;66;7;7;219;6;191
42;1.6.1.8;2016-10-20;701;412;218;28;20;21;37;23;78;129;0;0;66;7;7;219;6;191
43;1.6.1.9;2016-11-07;701;412;218;28;20;21;37;23;78;129;0;0;66;7;7;219;6;191
44;1.7.0.0;2016-11-08;697;405;226;32;25;21;37;21;77;134;1;0;82;6;11;240;8;186
45;1.7.0.1;2016-11-16;697;405;226;32;25;21;37;21;77;134;1;0;82;6;11;240;8;186
46;1.7.0.2;2016-11-28;697;405;227;32;25;21;37;21;77;134;1;0;82;6;11;240;8;186
47;1.7.0.3;2016-12-21;699;406;228;32;25;21;37;21;77;134;1;0;82;6;11;236;8;187
48;1.7.0.4;2017-01-10;701;408;228;32;25;21;37;21;77;134;1;0;82;6;11;234;10;186
49;1.7.0.5;2017-02-13;701;408;229;32;25;21;37;21;77;134;1;0;82;6;11;235;10;186
50;1.7.0.6;2017-03-03;701;408;231;32;25;21;37;21;77;134;1;0;82;6;11;235;10;185
51;1.7.1.0;2017-04-03;707;410;231;33;25;22;38;23;78;136;2;0;83;6;11;285;16;196
52;1.7.1.1;2017-04-20;707;411;232;33;25;22;38;23;78;136;2;0;83;6;11;285;14;197
53;1.7.1.2;2017-06-07;707;410;231;33;25;22;38;23;78;136;2;0;83;5;11;285;14;197
54;1.7.2.0;2017-07-20;689;398;221;32;25;22;39;22;75;135;2;0;82;5;11;278;14;193
55;1.7.2.1;2017-08-18;689;398;221;32;25;22;39;22;75;136;2;0;82;5;11;278;14;193
56;1.7.2.2;2017-08-31;689;397;221;32;26;22;39;22;75;136;2;0;82;5;11;277;14;193
57;1.7.2.3;2017-10-05;689;397;221;32;26;22;39;22;75;136;2;0;82;5;11;277;14;193
58;1.7.2.4;2017-10-24;689;397;221;32;26;22;39;22;75;136;2;0;82;5;11;279;14;193
59;1.7.2.5;2018-02-21;689;397;221;32;26;22;39;22;75;136;2;0;82;5;11;279;14;193
60;1.7.3.0;2018-02-26;687;396;222;33;26;22;39;22;74;135;3;0;83;5;3;207;15;196
61;1.7.3.1;2018-04-09;687;396;219;34;26;22;39;23;74;135;3;0;83;5;3;207;15;200
62;1.7.3.2;2018-05-03;687;397;219;34;26;22;39;23;74;135;3;0;83;5;3;208;15;199
63;1.7.3.3;2018-05-24;687;397;219;34;26;22;39;23;74;135;3;0;83;5;3;208;15;199
64;1.7.3.4;2018-06-27;687;397;219;34;26;22;39;23;74;135;3;0;83;5;3;208;15;199
65;1.7.4.0;2018-07-03;685;398;218;34;28;22;39;23;76;135;3;0;88;6;3;208;15;207
66;1.7.4.1;2018-07-16;688;398;218;34;28;22;39;23;76;135;3;0;89;6;3;208;15;207
67;1.7.4.2;2018-07-27;688;398;219;34;28;22;39;23;76;135;3;0;89;6;3;207;15;206
68;1.7.4.3;2018-10-03;688;398;219;34;28;22;39;23;76;135;3;0;89;6;3;207;15;206
69;1.7.4.4;2018-11-06;688;398;219;34;28;22;39;23;76;135;3;0;89;6;3;207;15;206
70;1.7.5.0;2018-12-17;683;391;214;34;28;22;39;23;78;132;4;0;99;6;5;211;19;210
71;1.7.5.1;2019-02-18;683;391;215;34;28;22;39;23;78;132;4;0;99;6;5;210;19;210
72;1.7.5.2;2019-05-02;683;391;215;34;28;22;39;23;78;132;4;0;99;6;5;210;19;210
73;1.7.6.0;2019-07-09;688;404;230;34;46;23;44;21;80;132;9;6;128;6;5;206;19;212
74;1.7.6.1;2019-08-26;688;404;230;34;46;23;44;21;80;132;9;6;129;6;5;206;19;210
