Id;Version;Date; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery
1;1.0.0;2014-02-17;0;0;0;0;2;0
2;1.0.1;2014-02-22;0;0;0;0;2;0
3;1.0.2;2014-02-28;0;0;0;0;2;0
4;1.0.3;2014-03-15;0;0;0;0;2;0
5;1.0.4;2014-05-04;0;0;0;0;5;0
6;1.0.5;2014-05-27;0;0;0;0;8;3
7;1.0.6;2014-06-30;0;0;0;0;8;3
8;1.0.7;2014-08-20;0;0;0;0;9;4
9;1.0.8;2014-09-19;0;0;0;0;10;4
10;1.0.9;2014-11-02;0;0;0;0;10;4
11;1.0.10;2014-12-07;0;0;0;0;23;16
12;1.0.11;2015-01-10;0;0;0;0;21;14
13;1.0.12;2015-02-22;0;0;0;3;14;24
14;1.0.13;2015-04-06;0;0;1;4;14;26
15;1.0.14;2015-05-02;0;0;1;4;18;26
16;1.0.15;2015-05-31;0;0;1;4;18;26
17;1.0.16;2015-06-28;0;0;2;4;18;26
18;1.0.17;2015-07-26;0;0;2;12;14;27
19;1.0.18;2015-08-30;0;0;2;13;13;36
20;1.0.19;2015-10-11;0;0;2;13;13;48
21;1.0.20;2015-10-24;0;0;2;13;13;48
22;1.0.21;2015-11-22;0;0;2;13;13;48
23;1.0.22;2015-12-14;0;0;2;13;13;48
24;1.0.23;2016-01-09;0;0;2;13;13;58
25;1.0.24;2016-01-24;0;0;2;15;13;59
26;1.0.25;2016-02-07;0;0;2;8;13;59
27;1.0.26;2016-02-28;0;0;2;14;13;59
28;1.0.27;2016-03-27;0;0;2;15;18;47
29;1.0.28;2016-05-08;0;0;2;28;18;47
30;1.0.29;2016-06-06;0;0;2;28;27;79
31;1.0.30;2016-06-09;0;0;2;28;27;79
32;1.0.31;2016-07-04;0;0;2;28;27;81
33;1.0.32;2016-08-01;0;0;2;27;26;49
34;1.0.33;2016-09-06;1;0;2;27;27;49
35;1.0.34;2016-10-11;1;0;2;27;27;49
36;1.0.35;2016-12-05;0;0;2;27;22;49
37;1.0.36;2016-12-31;0;0;2;27;20;45
38;1.0.37;2017-01-14;0;0;2;19;19;46
39;1.0.38;2017-01-28;0;0;2;19;19;46
40;1.0.39;2017-02-12;0;0;2;19;19;46
41;1.0.40;2017-02-25;0;0;2;19;19;46
42;1.0.41;2017-03-19;0;0;2;19;19;46
43;1.0.42;2017-04-08;0;0;2;19;19;31
44;1.0.43;2017-05-01;0;0;2;19;19;31
45;1.0.44;2017-05-29;0;0;2;19;19;31
46;1.0.45;2017-06-23;0;0;2;19;19;31
47;1.0.46;2017-08-13;0;0;2;19;19;31
48;1.0.47;2017-10-04;0;0;2;19;19;31
49;1.0.48;2017-10-24;0;0;2;19;19;31
50;1.1.0;2017-11-20;0;0;2;19;11;14
51;1.1.1;2017-12-09;0;0;2;19;11;14
52;1.2.0;2017-12-27;0;0;2;19;11;14
53;1.2.1;2018-03-01;0;0;2;19;11;14
54;1.2.2;2018-03-31;0;0;2;19;11;14
55;1.2.3;2018-04-19;0;0;2;19;11;14
56;1.2.4;2018-05-17;3;0;2;19;11;14
57;1.2.5;2018-06-15;3;0;2;19;10;13
58;1.2.6;2018-10-11;3;0;4;24;10;13
59;1.2.7;2018-12-20;3;0;4;24;10;13
60;1.2.8;2019-02-02;3;0;4;24;10;13
61;1.2.9;2019-04-06;3;0;4;24;8;9
62;1.2.10;2019-06-22;3;0;4;24;8;9
63;1.2.11;2019-08-24;3;0;4;24;11;15
64;1.2.12;2019-10-27;3;0;4;24;11;15
65;1.2.13;2019-12-16;3;0;4;24;11;15
