Id;Version;Date; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery
1;2005-07-01;2005-07-01;12;17;0;2;32;0
2;2005-07-13;2005-07-13;12;17;0;2;32;0
3;2005-09-19;2005-09-19;12;19;1;22;72;0
4;2005-09-22;2005-09-22;12;19;1;22;72;0
5;2006-03-05;2006-03-05;11;6;1;26;83;0
6;2006-03-09;2006-03-09;11;8;1;25;83;0
7;2006-11-06;2006-11-06;15;7;3;35;100;0
8;2007-06-26;2007-07-02;14;8;3;37;63;0
9;2008-05-04;2008-05-04;15;8;3;37;46;0
10;2008-05-05;2008-06-02;15;8;3;37;46;0
11;2010-11-07;2010-11-07;18;3;3;26;98;0
12;2010-11-07a;2011-01-16;18;3;3;26;98;0
13;2011_05_25;2011-05-25;19;4;3;26;102;0
14;2011_05_25a;2011-06-14;19;4;3;26;102;0
15;2012-01-25;2012-01-25;19;4;3;29;79;375
16;2012-01-25b;2012-07-13;19;4;3;29;79;375
17;2012-10-13;2012-10-13;23;4;3;28;79;378
18;2013-05-10;2013-05-10;21;5;4;28;67;288
19;2013-05-10a;2013-06-16;21;5;4;28;67;288
20;2013-12-08;2013-12-08;21;5;4;28;67;288
21;2014-05-05;2014-05-05;21;5;4;30;66;284
22;2014-05-05a;2014-06-25;21;5;4;30;66;284
23;2014-09-29;2014-09-29;21;5;4;30;70;292
24;2014-09-29a;2014-10-08;21;5;4;30;70;292
25;2014_09_29b;2014-12-03;21;5;4;30;70;292
26;2014_09_29c;2015-02-24;21;5;4;30;70;292
27;2014_09_29d;2015-03-19;21;5;4;30;70;292
28;2015-08-10;2015-08-10;11;5;4;24;66;332
29;2015-08-10a;2015-08-23;11;5;4;24;66;332
30;2016-06-26;2016-06-26;11;5;4;24;49;332
31;2016-06-26a;2016-07-03;11;5;4;24;49;332
32;2017-02-19;2017-02-19;7;5;4;20;17;55
33;2017-02-19a;2017-02-20;7;5;4;20;17;55
34;2017-02-19b;2017-03-07;7;5;4;20;17;55
35;2017-02-19c;2017-08-11;7;5;4;20;17;55
36;2017-02-19d;2017-08-22;7;5;4;20;17;55
37;2017-02-19e;2017-08-23;7;5;4;20;17;55
38;2018-04-22;2018-04-22;5;5;4;22;16;55
39;2018-04-22a;2018-05-03;5;5;4;22;16;55
40;2018-04-22b;2019-01-06;5;5;4;22;16;55
