Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;2.0.0;2002-04-04;35;28;20;0;5;0;0;0;6;4;0;0;0;1;0;75;0;42
2;2.0.1;2002-05-20;35;28;19;0;5;0;0;0;6;4;0;0;0;1;0;77;0;45
3;2.0.2;2002-08-08;35;28;20;0;5;0;0;0;6;4;0;0;0;1;0;76;0;45
4;2.0.3;2002-09-28;35;28;20;0;5;0;0;0;6;4;0;0;0;1;0;77;0;45
5;2.0.4;2003-01-15;36;28;20;0;5;0;0;0;6;4;0;0;0;1;0;76;0;45
6;2.0.5;2003-06-15;37;29;21;0;5;0;0;0;6;5;0;0;0;1;0;73;0;46
7;2.0.6;2003-08-03;37;29;21;0;5;0;0;0;6;5;0;0;0;1;0;75;0;46
8;2.0.7;2004-03-13;37;29;21;0;5;0;0;0;6;5;0;0;0;1;0;76;0;46
9;2.0.8;2004-03-25;37;29;21;0;5;0;0;0;6;5;0;0;0;1;0;77;0;46
10;2.0.8a;2004-03-28;37;29;21;0;5;0;0;0;6;5;0;0;0;1;0;77;0;46
11;2.0.9;2004-07-11;37;29;21;0;5;0;0;0;6;5;0;0;0;1;0;79;0;46
12;2.0.10;2004-07-17;37;28;21;0;5;0;0;0;6;5;0;0;0;1;0;81;0;46
13;2.0.11;2004-11-18;37;28;22;0;5;0;0;0;6;5;0;0;0;1;0;81;0;46
14;2.0.12;2005-02-21;37;28;22;0;5;0;0;0;6;5;0;0;0;1;0;72;0;46
15;2.0.13;2005-02-27;37;28;22;0;5;0;0;0;6;5;0;0;0;1;0;72;0;46
16;2.0.14;2005-04-18;37;28;22;0;5;0;0;0;5;4;0;0;0;0;0;71;0;46
17;2.0.15;2005-05-13;37;28;22;0;5;0;0;0;5;4;0;0;0;0;0;71;0;46
18;2.0.16;2005-06-28;37;28;22;0;5;0;0;0;5;4;0;0;0;0;0;71;0;46
19;2.0.17;2005-08-08;37;28;22;0;5;0;0;0;5;4;0;0;0;0;0;71;0;46
20;2.0.18;2005-10-31;37;28;23;0;5;0;0;0;5;4;0;0;0;0;0;70;0;47
21;2.0.19;2005-12-30;37;28;23;0;5;0;0;0;5;4;0;0;0;0;0;70;0;47
22;2.0.20;2006-04-05;37;28;24;0;5;0;0;0;5;4;0;0;0;0;0;71;0;47
23;2.0.21;2006-05-30;37;28;25;0;5;0;0;0;5;4;0;0;0;0;0;70;0;47
24;3.0.0;2007-12-12;395;293;244;17;6;0;3;0;26;58;0;0;0;3;0;618;0;118
25;3.0.1;2008-04-08;401;298;247;17;6;0;3;0;26;58;0;0;0;3;0;618;0;117
26;3.0.2;2008-07-10;403;300;248;17;6;0;3;0;27;58;0;0;0;3;0;618;0;117
27;3.0.3;2008-11-12;408;302;252;18;7;0;3;0;27;59;0;0;0;3;0;620;0;123
28;3.0.4;2008-12-13;408;303;251;18;7;0;3;0;27;59;0;0;0;3;0;627;0;123
29;3.0.5;2009-05-31;412;306;258;20;7;0;3;0;28;60;0;0;0;3;0;617;0;123
30;3.0.6;2009-11-17;439;326;274;20;7;0;3;1;34;65;0;0;0;3;0;687;0;145
31;3.0.7;2010-02-28;452;340;285;20;7;1;3;1;34;69;0;0;0;6;0;707;0;149
32;3.0.8;2010-11-19;456;344;286;21;7;1;3;1;34;69;0;0;0;6;0;704;0;149
33;3.0.9;2011-07-10;465;349;288;21;7;1;3;2;34;69;0;0;0;6;0;707;0;149
34;3.0.10;2012-01-02;453;344;282;20;7;1;3;2;33;68;0;0;0;6;0;708;0;149
35;3.0.11;2012-08-20;454;346;283;20;7;2;3;2;33;69;0;0;0;6;0;709;0;149
36;3.0.12;2013-09-28;458;347;284;20;7;2;3;2;33;69;0;0;0;6;0;709;0;149
37;3.1.0;2014-10-28;484;350;295;26;20;4;5;3;40;82;1;0;4;3;0;701;1;171
38;3.1.1;2014-11-01;484;350;295;26;20;4;5;3;40;82;1;0;4;3;0;702;1;171
39;3.1.2;2014-11-25;486;350;295;26;21;4;6;3;40;83;1;0;4;3;0;702;0;172
40;3.1.3;2015-02-01;486;350;295;26;22;4;6;3;40;84;1;0;4;3;0;700;0;172
41;3.1.4;2015-05-03;487;351;297;26;22;4;6;3;40;85;1;0;4;3;0;687;0;172
42;3.1.5;2015-06-14;491;354;297;27;22;4;7;3;41;85;1;0;5;3;0;690;0;172
43;3.1.6;2015-09-05;493;355;298;27;22;4;7;3;41;85;1;0;5;3;0;691;0;172
44;3.1.7;2015-12-19;494;356;299;27;22;4;7;3;41;85;1;0;5;3;0;692;0;172
45;3.1.8;2016-02-18;495;357;299;27;22;4;7;3;41;85;1;0;5;3;0;691;0;172
46;3.1.9;2016-04-16;497;357;299;28;22;4;7;3;41;85;1;0;5;3;0;691;0;172
47;3.1.10;2016-10-02;499;359;301;28;22;4;7;3;41;85;1;0;5;3;0;694;0;172
48;3.2.0;2017-01-07;503;353;303;25;24;4;7;3;48;89;3;0;15;0;0;218;0;148
49;3.2.1;2017-07-16;504;354;304;25;24;4;8;3;50;90;3;0;15;0;0;213;0;148
50;3.2.2;2018-01-07;504;355;305;25;24;4;8;3;50;90;3;0;15;0;0;213;0;150
