Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;2.0;2010-07-21;167;91;35;6;0;3;2;8;26;39;2;0;1;0;0;144;12;88
2;2.0.1;2010-08-04;168;91;34;6;0;3;2;8;26;39;2;0;1;0;0;143;12;91
4;2.0.3;2010-08-11;169;90;33;6;0;3;2;8;26;39;2;0;1;0;0;145;12;91
7;2.0.6;2010-09-01;171;90;33;6;0;3;2;8;27;40;2;0;1;2;0;150;12;91
10;2.0.9;2010-09-15;174;91;34;6;0;4;2;8;28;40;2;0;1;2;0;148;12;91
11;2.0.10;2010-09-30;176;91;34;6;0;4;2;8;28;40;2;0;1;2;0;149;12;91
12;2.0.11;2010-10-06;176;91;35;6;0;4;2;8;28;40;2;0;1;2;0;150;12;92
14;2.0.13;2010-10-27;183;96;35;6;0;4;2;9;29;40;2;0;1;3;0;155;12;96
15;2.0.14;2010-11-09;192;102;39;7;0;5;2;9;29;43;2;0;2;4;0;161;12;118
16;2.0.15;2010-11-25;195;103;41;8;0;5;2;9;31;44;3;0;2;4;0;161;12;124
17;2.0.16;2010-12-02;196;103;41;8;0;5;2;9;31;44;3;0;2;4;0;161;12;124
20;2.0.17.2;2011-01-18;204;110;45;8;0;5;2;9;31;47;3;0;2;4;0;194;12;127
21;2.0.17.3;2011-01-19;204;110;45;8;0;5;2;9;31;47;3;0;2;4;0;194;12;127
22;2.0.17.4;2011-01-25;204;110;45;8;0;5;2;9;31;47;3;0;2;4;0;189;12;127
24;2.0.17.6;2011-01-26;204;110;44;8;0;5;2;9;32;47;3;0;2;4;0;188;12;127
26;2.0.17.8;2011-01-31;209;114;45;8;0;5;2;9;32;48;3;0;2;4;0;192;12;130
27;2.0.17.9;2011-03-22;209;114;45;8;0;5;2;9;32;48;3;0;2;4;0;192;12;130
