Id;Version;Date; embed JS;inline JS;embed CSS;inline CSS;css in JS;css in JS: jquery
1;1.1.0;2003-12-08;2;2;3;6;20;0
2;1.2.0;2004-03-24;4;4;3;1;20;0
3;1.2.1;2004-03-28;4;4;3;1;20;0
4;1.2.2;2004-03-29;4;4;3;1;20;0
5;1.2.3;2004-04-02;4;4;3;1;20;0
6;1.2.4;2004-04-13;4;4;3;1;20;0
7;1.2.5;2004-05-03;4;4;3;1;20;0
8;1.2.6;2004-05-25;4;4;3;1;20;0
9;1.3.0;2004-08-12;3;2;3;9;35;0
10;1.3.1;2004-08-14;3;2;3;9;35;0
11;1.3.2;2004-08-30;3;2;3;9;35;0
12;1.3.3;2004-09-09;3;2;3;9;35;0
13;1.3.4;2004-09-29;3;3;3;9;35;0
14;1.3.5;2004-09-30;3;3;3;9;35;0
15;1.3.6;2004-10-14;3;3;3;9;35;0
16;1.3.7;2004-10-18;3;3;3;9;35;0
17;1.3.8;2004-11-15;3;3;3;9;35;0
18;1.3.9;2004-12-12;3;3;3;9;35;0
19;1.3.10;2005-02-04;3;3;3;9;35;0
20;1.3.11;2005-02-21;3;3;3;9;35;0
21;1.4.0;2005-03-21;5;3;4;25;45;0
22;1.4.1;2005-04-17;7;3;6;26;45;0
23;1.4.2;2005-04-21;7;3;6;26;45;0
24;1.4.3;2005-04-29;7;3;6;26;45;0
25;1.4.4;2005-05-04;7;3;6;26;45;0
26;1.4.5;2005-06-03;7;3;6;24;45;0
27;1.4.6;2005-07-07;7;3;6;24;45;0
28;1.4.7;2005-07-16;7;3;6;24;45;0
29;1.4.8;2005-08-23;7;3;6;24;45;0
30;1.4.9;2005-08-29;7;3;6;24;45;0
31;1.4.10;2005-09-21;7;3;6;24;45;0
33;1.5.0;2005-10-06;6;2;8;25;45;0
34;1.5.1;2005-10-26;6;2;8;26;45;0
35;1.5.2;2005-11-03;6;2;8;26;45;0
36;1.5.3;2005-12-04;6;2;8;26;45;0
37;1.5.4;2005-12-22;6;2;8;26;45;0
38;1.5.5;2006-01-05;6;2;8;26;45;0
39;1.5.6;2006-01-19;6;2;8;26;45;0
40;1.5.7;2006-03-02;6;2;8;26;45;0
41;1.5.8;2006-03-26;6;2;8;26;45;0
43;1.6.1;2006-04-05;16;4;15;42;58;0
44;1.6.2;2006-04-08;16;4;15;42;58;0
45;1.6.3;2006-04-11;16;4;15;42;58;0
46;1.6.4;2006-05-02;16;4;15;42;58;0
47;1.6.5;2006-05-03;16;4;15;42;58;0
48;1.6.6;2006-05-23;16;4;15;42;58;0
49;1.6.7;2006-06-06;16;4;15;42;58;0
50;1.7.0;2006-07-07;20;5;15;45;59;0
51;1.7.1;2006-07-09;20;5;15;45;59;0
52;1.8.0;2006-10-10;20;10;14;48;59;0
53;1.8.1;2006-10-11;20;10;14;48;59;0
54;1.8.2;2006-10-14;20;10;14;48;59;0
55;1.9.0;2007-01-10;22;10;14;49;54;0
56;1.9.1;2007-01-24;22;10;14;49;54;0
57;1.9.2;2007-02-14;22;10;14;49;54;0
58;1.9.3;2007-02-21;22;10;14;49;54;0
59;1.10.0;2007-05-09;22;10;14;53;57;0
60;1.10.1;2007-07-13;22;10;14;53;57;0
61;1.11.0;2007-09-10;23;6;14;53;58;0
62;1.11.1;2008-01-24;23;6;14;53;58;0
63;1.11.2;2008-03-03;23;6;14;53;58;0
64;1.12.0;2008-03-20;23;6;15;50;61;0
65;1.13.0;2008-08-14;21;6;15;67;74;0
66;1.13.1;2008-09-06;21;6;15;67;74;0
67;1.13.2;2008-10-02;21;6;15;67;74;0
68;1.13.3;2008-12-15;21;7;15;67;74;0
69;1.13.4;2009-02-07;21;7;15;67;74;0
71;1.14.0;2009-02-22;22;6;13;71;69;0
72;1.15.0;2009-06-10;22;6;13;66;70;0
73;1.15.1;2009-07-13;22;6;13;66;70;0
74;1.15.2;2010-03-08;22;6;13;66;70;0
75;1.15.4;2010-05-28;22;6;13;66;70;0
76;1.16.0;2010-07-28;9;4;6;55;86;19
77;1.16.1;2011-01-04;9;4;6;55;86;19
78;1.16.2;2011-02-01;9;4;6;55;86;19
79;1.16.3;2011-04-12;9;4;6;55;86;19
80;1.16.4;2011-04-14;9;4;6;55;86;19
81;1.16.5;2011-05-05;9;4;6;55;86;19
82;1.17.0;2011-06-22;12;3;5;54;91;232
84;1.18.0;2011-11-28;12;1;5;40;90;269
85;1.18.1;2012-01-11;13;1;5;40;90;269
86;1.18.2;2012-03-22;13;1;5;40;90;269
87;1.18.3;2012-04-25;13;1;5;40;90;269
88;1.19.0;2012-05-02;9;1;5;41;95;333
