Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;2005-07-01;2005-07-01;60;30;13;1;0;6;4;5;11;8;1;0;0;5;0;47;0;129
2;2005-07-13;2005-07-13;60;30;13;1;0;6;4;5;11;8;1;0;0;5;0;47;0;129
3;2005-09-19;2005-09-19;98;55;20;3;0;6;4;7;13;12;1;0;0;6;0;81;0;135
4;2005-09-22;2005-09-22;100;55;20;3;0;6;4;7;13;12;1;0;0;6;0;79;0;135
5;2006-03-05;2006-03-05;118;71;26;3;0;6;4;7;15;17;1;0;0;8;0;105;0;145
6;2006-03-09;2006-03-09;119;72;26;3;0;6;4;7;15;17;1;0;0;8;0;103;0;145
7;2006-11-06;2006-11-06;141;88;34;4;0;8;4;9;18;22;1;0;0;9;0;111;0;166
8;2007-06-26;2007-07-02;162;100;42;5;0;7;6;8;19;26;1;0;0;9;0;121;0;186
9;2008-05-04;2008-05-04;188;116;46;6;1;8;7;9;22;27;1;0;0;9;0;138;0;186
10;2008-05-05;2008-06-02;188;116;46;6;1;8;7;9;22;27;1;0;0;9;0;139;0;188
11;2010-11-07;2010-11-07;236;148;53;7;1;9;7;9;26;31;1;0;0;11;0;168;0;182
12;2010-11-07a;2011-01-16;236;149;53;7;1;9;7;9;26;31;1;0;0;11;0;168;0;182
13;2011_05_25;2011-05-25;273;164;53;8;1;10;6;9;28;36;1;0;0;11;0;178;0;188
14;2011_05_25a;2011-06-14;273;165;53;8;1;10;6;9;28;36;1;0;0;11;0;178;0;188
15;2012-01-25;2012-01-25;289;175;56;8;1;10;6;9;30;38;1;0;0;11;0;204;0;194
16;2012-01-25b;2012-07-13;289;175;56;8;1;10;6;9;30;38;1;0;0;11;0;204;0;194
17;2012-10-13;2012-10-13;298;178;58;8;1;11;6;9;31;39;1;0;0;11;0;164;0;192
18;2013-05-10;2013-05-10;301;182;61;9;1;9;7;7;30;45;1;0;0;12;0;145;0;194
19;2013-05-10a;2013-06-16;301;182;61;9;1;9;7;7;30;45;1;0;0;12;0;145;0;194
20;2013-12-08;2013-12-08;350;214;75;14;1;11;10;11;33;51;1;0;0;11;0;159;0;197
21;2014-05-05;2014-05-05;357;222;79;16;1;12;10;12;37;53;1;0;0;12;0;134;0;199
22;2014-05-05a;2014-06-25;357;222;79;16;1;12;10;12;37;53;1;0;0;12;0;134;0;199
23;2014-09-29;2014-09-29;361;227;79;16;1;12;10;12;37;55;1;0;0;13;0;114;0;197
24;2014-09-29a;2014-10-08;361;227;79;16;1;12;10;12;37;55;1;0;0;13;0;114;0;197
25;2014_09_29b;2014-12-03;361;227;79;16;1;12;10;12;37;55;1;0;0;13;0;114;0;197
26;2014_09_29c;2015-02-24;361;227;79;16;1;12;10;12;37;55;1;0;0;13;0;114;0;197
27;2014_09_29d;2015-03-19;361;227;79;16;1;12;10;12;37;55;1;0;0;13;0;114;0;197
28;2015-08-10;2015-08-10;357;218;74;15;1;11;9;11;38;54;1;0;0;13;0;93;0;198
29;2015-08-10a;2015-08-23;357;218;74;15;1;11;9;11;38;55;1;0;0;13;0;93;0;198
30;2016-06-26;2016-06-26;364;222;76;15;1;11;9;10;37;55;1;0;1;13;0;94;0;198
31;2016-06-26a;2016-07-03;364;222;76;15;1;11;9;10;38;55;1;0;1;13;0;94;0;198
32;2017-02-19;2017-02-19;272;172;50;7;0;7;4;8;29;35;1;0;1;13;0;82;0;183
33;2017-02-19a;2017-02-20;272;172;50;7;0;7;4;8;29;35;1;0;1;13;0;82;0;183
34;2017-02-19b;2017-03-07;272;172;50;7;0;7;4;8;29;35;1;0;1;13;0;82;0;183
35;2017-02-19c;2017-08-11;272;172;50;7;0;7;4;8;29;35;1;0;1;13;0;82;0;183
36;2017-02-19d;2017-08-22;272;172;50;7;0;7;4;8;29;35;1;0;1;13;0;82;0;183
37;2017-02-19e;2017-08-23;272;172;50;7;0;7;4;8;29;35;1;0;1;13;0;82;0;183
38;2018-04-22;2018-04-22;250;162;46;5;0;7;2;6;27;35;3;0;1;13;0;78;0;180
39;2018-04-22a;2018-05-03;250;162;46;5;0;7;2;6;27;35;3;0;1;13;0;78;0;180
40;2018-04-22b;2019-01-06;250;161;46;5;0;7;2;6;27;35;3;0;1;13;0;78;0;180
