Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;1.0.0;2014-02-17;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;1
2;1.0.1;2014-02-22;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;1
3;1.0.2;2014-02-28;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;1
4;1.0.3;2014-03-15;1;0;0;0;0;0;0;0;7;0;0;0;0;0;0;3;0;1
5;1.0.4;2014-05-04;1;0;1;0;0;0;1;0;8;1;0;0;2;0;0;4;0;11
6;1.0.5;2014-05-27;1;0;1;0;0;0;0;0;8;1;1;0;1;0;0;2;0;10
7;1.0.6;2014-06-30;1;0;1;0;0;0;0;0;9;1;1;0;0;0;0;2;0;10
8;1.0.7;2014-08-20;2;1;2;0;0;0;0;0;9;2;1;0;1;0;0;4;0;10
9;1.0.8;2014-09-19;1;0;2;1;0;0;0;1;9;4;1;0;0;0;0;4;0;0
10;1.0.9;2014-11-02;2;0;2;0;0;0;0;0;11;2;1;0;0;0;0;10;0;1
11;1.0.10;2014-12-07;2;0;2;0;0;0;0;0;10;4;1;0;0;0;0;9;0;3
12;1.0.11;2015-01-10;2;0;2;0;0;0;0;1;14;5;2;0;0;0;0;7;0;4
13;1.0.12;2015-02-22;3;1;3;0;0;0;0;1;16;4;2;0;1;0;0;2;0;4
14;1.0.13;2015-04-06;6;1;3;0;0;0;0;1;16;4;3;0;1;0;0;2;0;5
15;1.0.14;2015-05-02;6;1;3;0;0;0;0;1;17;5;3;0;1;0;0;4;0;6
16;1.0.15;2015-05-31;6;1;3;0;2;0;0;0;18;4;4;0;2;0;0;4;0;8
17;1.0.16;2015-06-28;7;1;3;0;2;0;0;0;19;4;4;0;2;0;0;5;0;9
18;1.0.17;2015-07-26;9;1;3;0;2;0;0;1;18;3;4;0;2;0;0;4;0;7
19;1.0.18;2015-08-30;9;1;3;0;2;0;0;1;18;5;4;0;2;0;0;5;0;6
20;1.0.19;2015-10-11;8;1;3;0;2;0;0;1;18;5;4;0;2;0;0;6;0;7
21;1.0.20;2015-10-24;8;2;3;0;2;0;0;1;18;5;4;0;1;0;0;4;0;7
22;1.0.21;2015-11-22;8;2;3;0;2;0;0;1;18;5;4;0;2;0;0;4;0;7
23;1.0.22;2015-12-14;8;2;4;0;2;0;0;1;15;2;4;0;2;0;0;4;4;6
24;1.0.23;2016-01-09;8;2;4;0;2;0;0;1;14;2;4;0;3;0;0;5;4;7
25;1.0.24;2016-01-24;8;2;4;0;2;0;0;1;11;2;5;0;2;0;0;4;0;7
26;1.0.25;2016-02-07;8;2;4;0;2;0;0;1;11;2;5;0;2;0;0;4;0;10
27;1.0.26;2016-02-28;8;2;4;0;2;0;0;1;13;3;5;0;2;0;0;2;0;11
28;1.0.27;2016-03-27;7;2;4;0;2;0;0;1;13;2;5;0;2;0;0;2;0;10
29;1.0.28;2016-05-08;6;2;4;0;2;0;0;0;12;1;6;0;3;0;0;3;0;10
30;1.0.29;2016-06-06;6;2;4;0;2;0;0;0;12;1;5;0;5;0;0;3;0;12
31;1.0.30;2016-06-09;6;2;4;0;2;0;0;0;12;1;5;0;5;0;0;3;0;12
32;1.0.31;2016-07-04;7;2;4;0;2;0;0;0;12;2;6;0;5;0;0;2;0;12
33;1.0.32;2016-08-01;5;2;4;0;2;0;0;0;11;1;6;0;5;0;0;2;0;12
34;1.0.33;2016-09-06;5;2;4;0;2;0;0;0;11;1;6;0;4;0;0;2;0;12
35;1.0.34;2016-10-11;5;2;4;0;3;0;0;0;11;2;6;0;4;0;0;2;0;12
36;1.0.35;2016-12-05;5;2;4;0;3;0;0;0;11;2;7;0;4;0;0;2;0;13
37;1.0.36;2016-12-31;5;2;4;0;3;0;0;0;11;2;7;0;4;0;0;2;0;13
38;1.0.37;2017-01-14;5;2;4;0;4;0;0;0;11;3;7;0;4;0;0;3;0;13
39;1.0.38;2017-01-28;5;2;4;0;4;0;0;0;11;3;7;0;4;0;0;3;0;15
40;1.0.39;2017-02-12;5;2;4;0;4;0;0;0;11;3;7;0;4;0;0;3;0;15
41;1.0.40;2017-02-25;6;2;4;0;4;0;0;0;9;3;7;0;4;0;0;3;0;15
42;1.0.41;2017-03-19;6;2;4;0;4;0;0;0;9;3;8;0;4;0;0;4;0;15
43;1.0.42;2017-04-08;6;2;4;0;4;0;0;0;10;3;7;0;4;0;0;4;0;15
44;1.0.43;2017-05-01;6;2;4;0;4;0;0;0;10;3;7;0;4;0;0;4;0;15
45;1.0.44;2017-05-29;7;3;4;0;4;0;0;0;10;3;8;0;4;0;0;3;0;15
46;1.0.45;2017-06-23;7;3;4;0;4;0;0;0;10;3;8;0;4;0;0;3;0;15
47;1.0.46;2017-08-13;7;3;4;0;4;0;0;0;10;3;8;0;4;0;0;3;0;15
48;1.0.47;2017-10-04;7;3;4;0;4;0;0;0;10;4;8;0;4;0;0;3;0;15
