Id;Version;Date; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks
1;1.1.0;2003-12-08;0;0;0;3;0;0
2;1.2.0;2004-03-24;0;1;1;3;0;0
3;1.2.1;2004-03-28;0;1;1;3;0;0
4;1.2.2;2004-03-29;0;1;1;3;0;0
5;1.2.3;2004-04-02;0;1;1;3;0;0
6;1.2.4;2004-04-13;0;1;1;3;0;0
7;1.2.5;2004-05-03;0;1;1;3;0;0
8;1.2.6;2004-05-25;0;1;1;3;0;0
9;1.3.0;2004-08-12;1;5;1;7;1;0
10;1.3.1;2004-08-14;1;5;1;7;1;0
11;1.3.2;2004-08-30;1;5;1;7;1;0
12;1.3.3;2004-09-09;1;5;1;7;1;0
13;1.3.4;2004-09-29;1;5;1;7;1;0
14;1.3.5;2004-09-30;1;5;1;7;1;0
15;1.3.6;2004-10-14;1;5;1;7;1;0
16;1.3.7;2004-10-18;1;5;1;7;1;0
17;1.3.8;2004-11-15;1;5;1;7;1;0
18;1.3.9;2004-12-12;1;5;1;7;1;0
19;1.3.10;2005-02-04;1;5;1;7;1;0
20;1.3.11;2005-02-21;1;5;1;7;1;0
21;1.4.0;2005-03-21;1;6;1;7;1;0
22;1.4.1;2005-04-17;1;6;1;7;1;0
23;1.4.2;2005-04-21;1;6;1;7;1;0
24;1.4.3;2005-04-29;1;6;1;7;1;0
25;1.4.4;2005-05-04;1;6;1;7;1;0
26;1.4.5;2005-06-03;1;6;1;7;1;0
27;1.4.6;2005-07-07;1;6;1;7;1;0
28;1.4.7;2005-07-16;1;6;1;7;1;0
29;1.4.8;2005-08-23;1;6;1;7;1;0
30;1.4.9;2005-08-29;1;6;1;7;1;0
31;1.4.10;2005-09-21;1;6;1;7;1;0
33;1.5.0;2005-10-06;1;9;1;7;1;0
34;1.5.1;2005-10-26;1;9;1;7;1;0
35;1.5.2;2005-11-03;1;9;1;7;1;0
36;1.5.3;2005-12-04;1;9;1;7;1;0
37;1.5.4;2005-12-22;1;9;1;7;1;0
38;1.5.5;2006-01-05;1;9;1;7;1;0
39;1.5.6;2006-01-19;1;9;1;7;1;0
40;1.5.7;2006-03-02;1;9;1;7;1;0
41;1.5.8;2006-03-26;1;9;1;7;1;0
43;1.6.1;2006-04-05;1;18;6;8;1;0
44;1.6.2;2006-04-08;1;18;6;8;1;0
45;1.6.3;2006-04-11;1;18;6;8;1;0
46;1.6.4;2006-05-02;1;18;6;8;1;0
47;1.6.5;2006-05-03;1;18;6;8;1;0
48;1.6.6;2006-05-23;1;18;6;8;1;0
