Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;1.5.5.1;2013-04-28;323;277;217;7;0;0;1;0;4;72;2;0;0;0;6;11;3;14
2;1.5.6;2013-08-01;430;356;285;12;0;2;1;2;23;104;2;0;0;35;11;34;5;29
3;1.5.6.1;2014-01-09;429;354;286;14;0;2;1;2;23;102;2;0;0;36;11;31;5;27
4;1.5.6.2;2014-04-10;431;357;285;14;0;2;1;2;23;102;2;0;0;36;11;30;5;27
5;1.5.6.3;2014-04-15;431;357;285;14;0;2;1;2;23;102;2;0;0;37;11;30;5;27
6;1.5.6.4;2014-04-24;431;357;285;14;0;2;1;2;23;102;2;0;0;37;11;28;5;25
7;2.0.0.0;2014-10-01;506;405;316;12;1;2;1;2;32;128;2;0;0;105;11;27;5;33
8;2.0.1.0;2014-11-30;526;425;323;13;1;2;1;2;34;129;2;0;0;106;11;26;5;28
9;2.0.1.1;2014-12-06;526;425;323;13;1;2;1;2;34;128;2;0;0;106;11;26;5;28
10;2.0.2.0;2015-03-30;555;439;337;14;2;2;1;2;36;139;2;0;0;127;11;29;5;26
11;2.0.3.0;2015-05-20;562;444;343;14;2;2;1;2;36;139;2;0;0;129;10;30;5;26
12;2.0.3.1;2015-05-27;562;444;343;14;2;2;1;2;36;139;2;0;0;129;10;30;5;26
13;2.1.0.0;2015-09-27;547;434;337;15;2;2;1;2;36;137;2;0;0;116;12;34;5;22
14;2.1.0.1;2015-10-06;547;434;337;15;2;2;1;2;36;137;2;0;0;116;12;34;5;22
15;2.1.0.2;2015-12-30;547;434;337;15;2;2;1;2;36;137;2;0;0;116;12;34;5;22
16;2.2.0.0;2016-03-02;576;458;354;15;2;2;1;2;35;143;2;0;0;123;9;39;6;62
17;2.3.0.0;2016-07-30;630;489;381;16;2;2;1;2;36;153;2;0;0;149;8;53;6;42
18;2.3.0.1;2016-07-31;630;489;381;16;2;2;1;2;36;153;2;0;0;149;8;53;6;42
19;2.3.0.2;2016-08-01;630;489;381;16;2;2;1;2;36;153;2;0;0;149;8;53;6;42
20;3.0.0.0;2017-06-19;689;521;364;18;2;3;1;3;42;164;5;0;7;153;5;69;6;139
23;3.0.1.1;2017-07-04;696;529;371;19;2;3;1;3;45;168;5;0;7;155;6;73;6;137
24;3.0.1.2;2017-07-07;696;529;371;19;2;3;1;3;45;168;5;0;7;155;6;74;6;137
25;3.0.2.0;2017-07-17;701;533;375;19;2;3;1;3;45;168;5;0;7;155;6;74;6;139
26;3.0.3.0;2019-01-02;722;542;381;20;2;5;1;6;49;172;5;0;7;156;6;73;6;166
27;3.0.3.1;2019-01-04;722;542;381;20;2;5;1;6;49;172;5;0;7;156;6;73;6;166
28;3.0.3.2;2019-04-09;724;545;383;20;2;5;1;6;49;172;5;0;7;156;6;73;6;164
