Id;Version;Date; max-lines;max-lines-per-function;max-params;complexity;max-depth;max-nested-callbacks
1;2.0;2010-07-21;6;124;32;50;30;1
2;2.0.1;2010-08-04;7;128;32;50;30;1
4;2.0.3;2010-08-11;7;130;32;50;30;1
7;2.0.6;2010-09-01;7;130;32;50;30;1
10;2.0.9;2010-09-15;7;129;32;50;30;1
11;2.0.10;2010-09-30;7;129;32;50;30;1
12;2.0.11;2010-10-06;7;129;32;50;30;1
14;2.0.13;2010-10-27;7;135;32;52;30;1
15;2.0.14;2010-11-09;8;154;36;62;30;1
16;2.0.15;2010-11-25;8;154;36;62;30;1
17;2.0.16;2010-12-02;8;154;36;62;30;1
20;2.0.17.2;2011-01-18;9;172;65;118;60;1
21;2.0.17.3;2011-01-19;9;172;65;118;60;1
22;2.0.17.4;2011-01-25;9;172;40;80;30;1
24;2.0.17.6;2011-01-26;9;173;40;80;30;1
26;2.0.17.8;2011-01-31;9;173;40;80;30;1
27;2.0.17.9;2011-03-22;9;173;40;80;30;1
28;2.0.17.10;2011-05-23;9;173;40;80;30;1
29;2.0.16.1;2011-05-24;8;154;36;62;30;1
30;2.0.18;2011-11-03;9;195;45;104;18;1
31;2.0.18.1;2011-11-08;9;195;45;104;18;1
32;2.0.18.3;2012-03-05;9;196;45;104;18;2
33;2.0.18.4;2012-03-26;9;196;45;104;18;2
34;2.0.18.5;2012-04-11;9;196;45;104;18;2
35;2.0.18.6;2013-03-22;9;196;45;104;18;2
37;2.0.18.8;2013-04-05;9;196;45;104;18;2
38;2.0.18.9;2013-11-26;9;197;45;104;18;2
39;2.0.18.10;2013-12-22;9;197;45;104;18;2
40;2.0.18.11;2014-04-21;9;197;45;104;18;2
41;2.1;2014-04-28;21;388;214;311;242;3
42;2.1.1;2014-08-02;21;389;214;311;242;3
43;2.1.2;2014-09-05;21;389;214;311;242;3
44;2.1.3;2014-09-09;21;389;214;311;242;3
45;2.1.6;2014-11-21;21;389;214;311;242;3
46;2.1.7;2015-01-09;21;389;214;311;242;3
47;2.1.8;2015-01-15;21;389;214;311;242;3
49;2.1.8p2;2015-01-16;21;389;214;311;242;3
50;2.1.9;2015-03-18;21;389;214;311;242;3
51;2.1.10;2015-05-04;21;389;214;311;242;3
52;2.1.11;2015-06-12;21;389;214;311;242;3
53;2.1.12;2015-10-15;21;389;214;311;242;3
54;2.1.12p3;2015-10-21;21;389;214;311;242;3
55;2.1.13p1;2015-11-02;21;389;214;311;242;3
56;2.2;2015-11-11;33;801;328;609;255;15
57;2.2.1;2016-05-07;33;801;328;609;255;15
58;2.3;2016-11-18;32;805;328;608;253;15
59;2.5;2017-12-23;42;1123;651;1077;296;18
60;2.5.1;2018-01-25;42;1123;651;1077;296;18
61;2.6;2018-05-15;41;1123;1309;1785;403;28
62;2.6.1;2018-08-17;41;1123;1309;1785;403;28
63;2.6.3;2018-09-24;41;1123;1309;1785;403;28
64;2.6.4;2018-10-29;41;1123;1309;1785;403;28
65;2.8;2019-02-07;41;1106;722;1169;322;19
66;2.8.1;2019-03-15;41;1107;722;1169;322;19
67;2.8.2;2019-04-16;40;1092;722;1166;322;19
68;2.8.3;2019-04-23;41;1107;722;1169;322;19
69;2.8.4;2019-06-04;41;1107;722;1169;322;19
70;3.0;2019-06-10;40;1091;723;1166;322;19
71;3.0.1;2019-06-11;40;1091;723;1166;322;19
72;3.0.2;2019-06-20;40;1091;723;1166;322;19
73;3.1;2019-07-10;40;1089;723;1166;322;19
74;3.2;2019-08-29;38;1070;720;1166;322;19
75;3.3;2019-10-28;38;1070;720;1166;322;21
