Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;3.0.0;2008-09-27;140;89;46;3;8;1;1;1;8;11;0;0;1;2;1;79;0;121
2;3.0.1;2008-10-22;140;89;46;3;8;1;1;1;8;11;0;0;1;2;1;79;0;121
3;3.0.1.1;2008-10-30;140;89;46;3;8;1;1;1;8;11;0;0;1;2;1;79;0;121
4;3.1.0;2008-11-28;153;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;123
5;3.1.1;2008-12-06;153;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;123
6;3.1.2;2009-01-19;154;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;121
7;3.1.3;2009-02-28;154;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;121
8;3.1.3.1;2009-03-24;154;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;121
9;3.1.3.2;2009-04-14;154;102;53;4;8;2;1;1;8;12;0;0;1;2;1;96;1;121
10;3.1.4;2009-04-25;154;102;53;4;8;2;1;2;8;12;0;0;1;2;1;96;1;121
11;3.1.5;2009-05-15;154;102;53;4;8;2;1;2;8;12;0;0;1;2;1;96;1;120
12;3.2.0;2009-06-15;155;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120
13;3.2.0.1;2009-06-30;155;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120
14;3.2.2;2009-09-13;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120
15;3.2.2.1;2009-10-12;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120
16;3.2.3;2009-10-30;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120
17;3.2.4;2009-12-02;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120
18;3.2.5;2010-01-10;156;103;53;4;8;2;1;3;9;12;0;0;1;2;1;98;1;120
19;3.3.0;2010-03-07;324;175;100;16;16;6;7;11;20;40;0;0;8;6;8;236;8;164
20;3.3.1;2010-03-16;324;175;100;16;16;6;7;11;20;40;0;0;8;6;8;236;8;164
21;3.3.2;2010-04-13;324;175;100;16;16;6;7;11;20;40;0;0;8;6;8;236;8;164
