Id;Version;Date; CyclomaticComplexity; NPathComplexity;ExcessiveMethodLength;ExcessiveClassLength;ExcessiveParameterList;ExcessivePublicCount;TooManyFields;TooManyMethods;TooManyPublicMethods;ExcessiveClassComplexity;NumberOfChildren;DepthOfInheritance;CouplingBetweenObjects;DevelopmentCodeFragment;UnusedPrivateField;UnusedLocalVariable;UnusedPrivateMethod;UnusedFormalParameter
1;0.1.0;2002-02-11;4;2;1;0;0;0;0;0;2;1;0;0;0;0;0;7;0;6
2;0.5.0;2002-12-14;6;4;1;1;0;2;0;1;5;2;0;0;0;0;0;83;0;28
3;0.6.0;2002-12-24;8;5;2;1;1;2;0;1;5;2;0;0;0;0;0;88;0;28
4;0.6.5;2003-01-17;11;5;2;1;1;1;1;1;5;3;0;1;0;0;0;108;0;22
5;3.0.1;2003-08-13;34;18;5;1;1;2;1;2;7;4;0;1;0;0;0;43;0;21
6;3.2.1;2003-12-03;40;25;15;2;1;2;1;2;6;4;0;2;0;0;0;58;0;17
7;3.3.1;2004-03-07;41;25;16;2;1;2;1;2;5;4;0;2;0;0;0;39;0;17
8;3.4.1;2004-07-01;54;33;20;2;7;3;1;3;7;5;0;2;0;0;0;48;0;28
9;3.5.1;2004-12-13;64;44;28;3;8;2;1;2;6;5;0;1;0;0;0;70;0;27
10;3.5.2;2005-02-18;64;44;28;3;8;2;1;2;6;5;0;1;0;0;0;70;0;27
11;3.5.3;2005-04-16;64;44;28;3;8;2;1;2;6;5;0;1;0;0;0;71;0;27
12;3.5.4;2005-07-15;64;44;28;3;8;2;1;2;6;6;0;1;0;0;0;71;0;27
13;3.5.5;2005-08-12;64;44;28;3;8;2;1;2;6;6;0;1;0;0;0;71;0;27
14;3.5.6;2005-10-18;64;44;28;3;8;2;1;2;6;6;0;1;0;0;0;71;0;27
15;4.0.1;2005-11-23;71;47;32;3;8;2;1;2;8;8;0;3;0;0;0;109;0;30
16;4.1.1;2007-03-24;80;55;37;3;11;2;1;2;11;9;1;3;0;0;0;140;0;30
17;4.1.2;2007-06-01;80;55;37;3;11;2;1;2;11;9;1;3;0;0;0;140;0;30
18;4.1.3;2007-07-11;80;55;37;3;11;2;1;2;11;9;1;3;0;0;0;115;0;30
19;4.2.1;2008-08-02;103;64;41;3;19;2;1;3;12;10;1;4;0;0;0;132;0;48
20;4.2.2;2008-12-18;103;64;41;3;20;2;1;4;12;10;1;4;0;0;0;132;0;50
21;4.2.3;2010-03-23;103;64;41;3;20;2;1;4;12;10;1;4;0;0;0;132;0;50
22;5.0.0;2010-11-29;112;68;44;2;15;1;1;2;7;4;0;1;1;0;0;115;0;11
23;5.0.1;2010-12-13;112;68;44;2;15;1;1;2;7;4;0;1;1;0;0;115;0;11
24;5.0.2;2011-01-03;112;68;45;2;15;1;1;2;7;5;0;2;1;0;0;115;0;11
25;5.0.3;2011-10-03;112;68;45;2;15;1;1;2;7;5;0;2;1;0;0;114;0;11
26;5.0.4;2012-03-22;111;68;46;2;15;2;1;2;7;5;0;2;1;0;0;116;0;11
27;5.1.0;2013-04-14;112;68;60;2;15;2;1;2;7;5;0;4;1;0;0;112;0;11
28;5.6.0;2018-11-12;114;68;60;2;15;2;1;2;7;5;0;7;1;0;0;111;0;11
29;7.12.0;2019-09-28;114;68;61;2;15;2;1;2;7;5;0;7;1;0;0;111;0;10
