"id";"version";"date"
"1";"2_7_2";"2005-06-01"
"2";"2_8_0";"2005-11-11"
"3";"2_8_1";"2006-01-17"
"4";"2_8_3";"2007-08-22"
"5";"2_9_0";"2008-08-06"
"6";"3_0_0";"2009-03-15"
"7";"3_0_1";"2009-03-31"
"8";"3_1_0";"2009-08-24"
"9";"3_2_0";"2010-02-16"
"10";"4_0_0";"2011-03-26"
"11";"4_1_0";"2011-09-21"
"12";"4_1_1";"2012-08-30"
"13";"4_1_2";"2013-08-17"
"14";"4_1_2_3";"2013-11-02"
"15";"4_1_2_6";"2014-06-07"
"16";"4_1_2_7";"2014-06-13"
"17";"4_2_0";"2014-12-21"
"18";"4_2_0_3";"2015-05-30"
"19";"4_2_1";"2016-03-24"
"20";"4_2_2";"2016-05-18"
"21";"5_0_0";"2017-02-14"
"22";"5_0_0_5";"2017-09-23"
"23";"5_0_0_6";"2017-11-10"
"24";"5_0_1";"2018-04-21"
"25";"5_0_1_1";"2018-04-28"
"26";"5_0_1_2";"2018-05-07"
"27";"5_0_1_3";"2018-05-28"
"28";"5_0_1_4";"2018-07-15"
"29";"5_0_1_5";"2018-08-17"
"30";"5_0_1_6";"2018-09-09"
"31";"5_0_1_7";"2019-02-15"
"32";"5_0_2";"2019-08-04"
"33";"5_0_2_1";"2019-10-11"
