"id";"version";"date"
"1";"3.0.0";"2008-09-27"
"2";"3.0.1";"2008-10-22"
"3";"3.0.1.1";"2008-10-30"
"4";"3.1.0";"2008-11-28"
"5";"3.1.1";"2008-12-06"
"6";"3.1.2";"2009-01-19"
"7";"3.1.3";"2009-02-28"
"8";"3.1.3.1";"2009-03-24"
"9";"3.1.3.2";"2009-04-14"
"10";"3.1.4";"2009-04-25"
"11";"3.1.5";"2009-05-15"
"12";"3.2.0";"2009-06-15"
"13";"3.2.0.1";"2009-06-30"
"14";"3.2.2";"2009-09-13"
"15";"3.2.2.1";"2009-10-12"
"16";"3.2.3";"2009-10-30"
"17";"3.2.4";"2009-12-02"
"18";"3.2.5";"2010-01-10"
"19";"3.3.0";"2010-03-07"
"20";"3.3.1";"2010-03-16"
"21";"3.3.2";"2010-04-13"
"22";"3.3.3";"2010-05-10"
"23";"3.3.4";"2010-06-28"
"24";"3.3.5";"2010-07-26"
"25";"3.3.5.1";"2010-08-20"
"26";"3.3.6";"2010-08-28"
"27";"3.3.7";"2010-09-07"
"28";"3.3.8";"2010-10-25"
"29";"3.3.8.1";"2010-11-29"
"30";"3.3.9";"2011-01-03"
"31";"3.3.9.1";"2011-02-08"
"32";"3.3.9.2";"2011-02-11"
"33";"3.3.10";"2011-03-19"
"34";"3.4.0";"2011-05-11"
"35";"3.4.1";"2011-05-20"
"36";"3.4.2";"2011-06-07"
"37";"3.4.3";"2011-06-27"
"38";"3.4.3.1";"2011-07-03"
"39";"3.4.3.2";"2011-07-23"
"40";"3.4.4";"2011-08-24"
"41";"3.4.5";"2011-09-14"
"42";"3.4.6";"2011-10-16"
"43";"3.4.7";"2011-10-23"
"44";"3.4.7.1";"2011-11-10"
"45";"3.4.8";"2011-12-01"
"46";"3.4.9";"2011-12-21"
"47";"3.4.10";"2012-02-14"
"48";"3.4.10.1";"2012-02-18"
"49";"3.4.10.2";"2012-03-28"
"50";"3.5.0";"2012-04-07"
"51";"3.5.1";"2012-05-03"
"52";"3.5.2";"2012-07-07"
"53";"3.5.2.1";"2012-08-03"
"54";"3.5.2.2";"2012-08-12"
"55";"3.5.3";"2012-10-08"
"56";"3.5.4";"2012-11-16"
"57";"3.5.5";"2012-12-20"
"58";"3.5.6";"2013-01-28"
"59";"3.5.7";"2013-02-15"
"60";"3.5.8";"2013-04-08"
